IBGE;q_Ident_0_1;q_Ident_0_2;q_Ident_0_3;q_Ident_0_4;q_Ident_0_5;q_Ident_0_6;q_Ident_0_7;q_Ident_0_8;q_Ident_0_9;q_Ident_0_10;q_Ident_0_11;q_Ident_0_12;q_Ident_0_13;q_Ident_0_14;p_latitude;p_longitude;q_1;q_2;q_3;q_4;q_5_1;q_5_2;q_5_3;q_5_4;q_5_5;q_6;q_7;q_8;q_8_99;q_9;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_99;q_10_99_99;q_11;q_12;q_13_1_1;q_13_1_2;q_13_1_3;q_13_2_1;q_13_2_2;q_13_2_3;q_13_3_1;q_13_3_2;q_13_3_3;q_13_4_1;q_13_4_2;q_13_4_3;q_14_1;q_14_2;q_14_3;q_15_1_1;q_15_2_1;q_15_3_1;q_15_1_2;q_15_2_2;q_15_3_2;q_15_1_3;q_15_2_3;q_15_3_3;q_15_1_4;q_15_2_4;q_15_3_4;q_15_1_5;q_15_2_5;q_15_3_5;q_15_1_6;q_15_2_6;q_15_3_6;q_16_99;q_18_1;UF;Região;q_5_1_velha;q_5_2_velha;q_5_3_velha;q_5_4_velha;q_5_5_velha;q_6_velha;q_7_velha;q_8_velha;q_9_velha;q_10_1_velha;q_10_2_velha;q_10_3_velha;q_10_4_velha;q_10_5_velha;q_10_99_velha;q_11_velha;q_12_velha;q_13_1_1_velha;q_13_1_2_velha;q_13_1_3_velha;q_13_2_1_velha;q_13_2_2_velha;q_13_2_3_velha;q_13_3_1_velha;q_13_3_2_velha;q_13_3_3_velha;q_13_4_1_velha;q_13_4_2_velha;q_13_4_3_velha;q_14_1_velha;q_14_2_velha;q_14_3_velha;q_5_5_rec;d_16_8bin1_sum;d_16_8bin2_sum;d_16_8bin3_sum;d_16_9bin1_sum;d_16_9bin2_sum;d_16_9bin3_sum;d_16_9bin4_sum;d_16_9bin5_sum;d_16_10bin1_sum;d_16_10bin2_sum;d_16_10bin3_sum;d_16_10bin4_sum;nu_trabalhadores;q_15_1_1_velha;q_15_2_1_velha;q_15_3_1_velha;q_15_1_2_velha;q_15_2_2_velha;q_15_3_2_velha;q_15_1_3_velha;q_15_2_3_velha;q_15_3_3_velha;q_15_1_4_velha;q_15_2_4_velha;q_15_3_4_velha;q_15_1_5_velha;q_15_2_5_velha;q_15_3_5_velha;q_15_1_6_velha;q_15_2_6_velha;q_15_3_6_velha;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO
11;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;AV. FARQUAR;2986;COMPLEXO RIO JAMARI CURVO 03 01 ANDAR.;Arigolândia;PALÁCIO RIO MADEIRA- COMPLEXO RIO JAMARI CURVO 03 01 ANDAR.;76801-348;PORTO VELHO;RO;feas.ro1995@gmail.com;(69) 32165375;0;(69) 32165399;-8.749.988.484.545.380;-6.391.087.174.415.580;1;2;3;0; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;29031,67;29031,67;0;60358,87;60385,87;0;0;0;0;126062,4;126062,4;0;0;0;0;215454,94;215454,94;0; ; ;11;1; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1; ; ; ;1; ;1; ;2;29031,67;29031,67;0;60358,87;60385,87;0;0;0;0;126062,4;126062,4;0;0;0;0;215454,94;215454,94;0;1;1,00044732447774; ;1; ;1; 
12;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Nações Unidas;2731; ;Estação Experimental; ;69912-600;RIO BRANCO;AC;gabinete.sedss@ac.gov.br;(68) 32262937; ;-68;-997.643.047.583.773;-6.780.590.772.650.610;1;2;3;2;0;0;1;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;100036;99864;0;406987,41;281272,82;0;479947,97;479930;0;11361579,42;10098963,54;0;7422259,73;7422259,73;0;19770810,53;18382290,09;0; ; ;12;1;0;0;1;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;6;1; ; ;1; ; ; ;6; ;6;100036;99864;0;406987,41;281272,82;0;479947,97;479930;0;11361579,42;10098963,54;0;7422259,73;7422259,73;0;19770810,53;18382290,09;0;,998280618977168;,691109388371498;,999962558441491;,888869686746422;1;,929769169660846; 
13;SECRETARIA DE ESTADO DE ASSISTÊNCIA SOCIAL;3;Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping;69050-020;MANAUS;AM;dgsuas@seas.am.gov.br;(92) 21217818;0;-92;-3.102;-60.025;1;2;1;3;0;0;0;20;20;1;1;4;proteção social básica, proteção social especial, gestão e benefícios eventuais;2;1;1;1;1;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;490463;371545;0;45030338;41658686;0;45520801;42030231;0; ; ;13;1;0;0;0;20;20;1;1;4;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20; ;2;1; ; ; ; ; ;1; ;2; ;3;0;0;0;0;0;0;0;0;0;490463;371545;0;45030338;41658686;0;45520801;42030231;0; ; ; ;,757539304697806;,925124879142591;,923319231575033; 
14;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Pavão;123; ;Mecejana; ;69304-350;BOA VISTA;RR;feas@setrabes.rr.gov.br;(95) 21212618; ;(95) 21212610;28.224.728.367.521.600;-60.694.098.472.595.200;1;2;1;0; ; ; ; ; ;1;0;1; ;0;1;1;1;0;0;0; ;1;0;15;0;0;15;0;0;15;0;0;1;0;0;0;0;0;406728;141495,34;0;1214787;143673,07;0;0;0;0;0;0;0;0;0;0;1625015;285168,41;0; ;1;14;1; ; ; ; ; ;1;0;1;0;1;1;1;0;0;0;1;0;15;0;0;15;0;0;15;0;0;1;0;0;0;0;0; ; ;2;9; ; ; ;1;1;10; ;1; ;11;406728;141495,34;0;1214787;143673,07;0;0;0;0;0;0;0;0;0;0;1625015;285168,41;0;,347886892468677;,118270174112828; ; ; ;,175486632431085; 
15;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;AVENIDA GOVERNADOR JOSE MALCHER;1018; ;NAZARE; ;66055-260;BELEM;PA;seasterpa@yahoo.com.br;(91) 32391414; ;-91;-1.456;-48.504;1;2;1;2;0;0;0;0;0;1;1;2; ;5;1;1;1;0;0;0; ;1;0;0;144;0;0;144;0;0;144;0;0;144;0;0;0;0;6237129,02;3811329,02;2425800;2504403,37;216258,37;2288145;21143070,79;21143070,49;0;13520597,63;13520597,63;0;0;0;0;43405200,81;38691255,81;4713945; ; ;15;1;0;0;0;0;0;1;1;2;5;1;1;1;0;0;0;1;0;0;144;0;0;144;0;0;144;0;0;144;0;0;0;0;0; ; ;1; ; ; ; ;1;1; ; ; ;1;6237129,02;3811329,02;2425800;2504403,37;216258,37;2288145;21143070,79;21143070,49;0;13520597,63;13520597,63;0;0;0;0;43405200,81;38691255,81;4713945;,61107105653556;,0863512533925396;,999999985810954;1; ;,891396770155848; 
16;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Rio Vila Nova;7; ;Central; ;68900-092;MACAPA;AP;sims@sims.ap.gov.br;(96) 21013409; ;-96;0.029246805828292186;-51.052.994.728.088.300;1;2;2;3;0;0;1;1;2;1;1;3;proteção social basica e proteção social especial de media complexidade  obs conforme planilha de pactuação na CIB;2;0;0;0;0;0;1;proteção social basica e proteção social especial de media complexidade  obs conforme planilha de pactuação na CIB;1;0;16;16;0;16;16;0;16;16;0;16;16;0;16;16;0;1848800;114179,8;1066863;2707668;3066820,9;0;1845800;106350;0;220000;262500;0;0;0;0;0;0;0; ; ;16;1;0;0;1;1;2;1;1;3;2;0;0;0;0;0;1;1;0;16;16;0;16;16;0;16;16;0;16;16;0;16;16;0;2; ;1;4; ;1; ; ; ;5; ; ; ;5;1848800;114179,8;1066863;2707668;3066820,9;0;1845800;106350;0;220000;262500;0;0;0;0;0;0;0;,0617588706187798;1,1326428867941;,057617293314552;1,19318181818182; ; ; 
17;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;Esplanada das Secretaria Praça dos Girassois;s/n; ;Centro; ;77003-902;PALMAS;TO;dsuas@setas.to.gov.br;(63) 32181988; ;(63) 32181990;-10.167;-48.333;1;2;3;0; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1343800;0;0;229700;0;0;0;0;0;70000;17700,26;0;0;0;0;1643500;17700,26;0; ; ;17;1; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1; ; ; ; ;2; ;1; ;3;1343800;0;0;229700;0;0;0;0;0;70000;17700,26;0;0;0;0;1643500;17700,26;0;0;0; ;,252860857142857; ;,0107698570124734; 
21;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;DAS GARDÊNIAS, QUADRA I;25;xxxxxxxxx;JARDIM RENASCENÇA;PLANTA TOWER , OFICE TOWER;65075-080;SAO LUIS;MA;saas100@outlook.com;(98) 20169206;9206;-98;-24.990.475.143.147.100;-4.429.224.014.282.220;1;3;1;0; ; ; ; ; ;1;1;1; ;0;1;1;1;1;0;0; ;0;1;1;1;0;0;0;0;0;0;0;1;1;0;65;65;0;0;0;0;0;0;0;1500000;1500000;0;0;0;0;0;0;0;1500000;1500000;0; ; ;21;2; ; ; ; ; ;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;65;65;0; ; ;2;4; ;1; ; ; ;4; ;1;1;6;0;0;0;0;0;0;1500000;1500000;0;0;0;0;0;0;0;1500000;1500000;0; ; ;1; ; ;1; 
22;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL; ;ACRE;340; ;CABRAL;PROXIMO A ASSEMBLEIA LEGISLATIVA;64001-650;TERESINA;PI;sasc@sasc.pi.gov.br;(86) 32215977; ;(86) 32217126;-5.089;-42.802;1;2;2;2;1;0;1;0;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;4486000;0;0;4000000;0;0;30556351;19251901;0;0;0;0;0;0;0;1;1;22;2;1;0;1;0;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;4486000;0;0;4000000;0;0;30556351;19251901;0;0;0;0;0;0;0; ;0;0;,630045812734642; ; ; 
23;FUNDO ESTADUAL DA ASSISTÊNCIA SOCIAL; ;Soriano Albuquerque;230; ;Joaquim Távora; ;60130-160;FORTALEZA;CE;feas.ce@stds.ce.gov.br;(85) 31014581; ;(85) 31014625;-37.477.181.115.618.600;-38.519.096.374.511.700;1;2;1;3;5;2;13;0;20;1;1;1; ;1;1;1;0;1;1;0; ;0;0;173;173;0;159;159;0;39;39;0;0;0;0;166;166;0;31095411,54;24210411,54;6885000;26907466,14;2578416,14;1122650;1000000;115000;885000;0;0;0;0;0;0;0;0;0; ; ;23;2;5;2;13;0;20;1;1;1;1;1;1;0;1;1;0;0;0;173;173;0;159;159;0;39;39;0;0;0;0;166;166;0;20;1;9;9; ; ; ;1; ;5;4;1;9;19;31095411,54;24210411,54;6885000;26907466,14;2578416,14;1122650;1000000;115000;885000;0;0;0;0;0;0;0;0;0;,778584695972157;,0958253046416358;,115; ; ; ; 
