IBGE;q_16_3;q_16_8;q_16_9;q_16_10;q_16_11;q_16_12;q_16_13;UF;Região;DataCenso;DataCenso_2018;q_16_2_rec;Idade;Faixas_etarias;d_16_8;d_16_10;d_16_8bin1;d_16_8bin2;d_16_8bin3;d_16_9bin1;d_16_9bin2;d_16_9bin3;d_16_9bin4;d_16_9bin5;d_16_10bin1;d_16_10bin2;d_16_10bin3;d_16_10bin4;d_16_8bin1_sum;d_16_8bin2_sum;d_16_8bin3_sum;d_16_9bin1_sum;d_16_9bin2_sum;d_16_9bin3_sum;d_16_9bin4_sum;d_16_9bin5_sum;d_16_10bin1_sum;d_16_10bin2_sum;d_16_10bin3_sum;d_16_10bin4_sum;nu_trabalhadores
14;1;257;274;138;249;20;02/01/2017;14;1;31.08.2018;8/31/2018;8/25/1980;38;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;257;237;138;251;20; ;14;1;31.08.2018;8/31/2018;2/6/1969;49;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;257;237;138;249;20; ;14;1;31.08.2018;8/31/2018;11/15/1972;45;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
50;2;255;238;138;250;20; ;50;5;31.08.2018;8/31/2018;7/9/1978;40;2;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;9;9;2;2; ; ; ;12; ;6; ;18
11;2;258;235;138;254;20; ;11;1;31.08.2018;8/31/2018;4/11/1978;40;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ;2; ;1; ; ; ;1; ;1; ;2
11;2;257;273;292;48;391;21/08/2018;11;1;31.08.2018;8/31/2018;12/17/1967;50;3;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ; ;2; ;1; ; ; ;1; ;1; ;2
12;1;257;237;292;249;20; ;12;1;31.08.2018;8/31/2018;10/17/1964;53;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;2;257;237;292;249;20; ;12;1;31.08.2018;8/31/2018;10/31/1972;45;3;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;2;257;232;292;48;20;27/11/2015;12;1;31.08.2018;8/31/2018;12/1/1974;43;3;2;3; ; ;1; ; ; ;1; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;1;258;275;292;249;20; ;12;1;31.08.2018;8/31/2018;6/11/1968;50;3;2;3; ; ;1;1; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;1;257;235;292;249;20; ;12;1;31.08.2018;8/31/2018;10/3/1982;35;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;1;257;237;292;249;20; ;12;1;31.08.2018;8/31/2018;3/18/1985;33;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
