NU_IDENTIFICADOR;IBGE;co_seq_dirigente;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;q_34_3;q_34_9;q_34_10;q_34_11;q_34_12;q_34_13;q_34_14;q_34_15;q_34_16;q_34_17;DataCenso;DataCenso_2018;q_34_2_rec;Idade;Faixas_etarias;d_34_9;d_34_11;d_34_9bin1;d_34_9bin2;d_34_9bin3;d_34_10bin1;d_34_10bin2;d_34_10bin3;d_34_10bin4;d_34_10bin5;d_34_11bin1;d_34_11bin2;d_34_11bin3;d_34_11bin4;d_34_9bin1_sum;d_34_9bin2_sum;d_34_9bin3_sum;d_34_10bin1_sum;d_34_10bin2_sum;d_34_10bin3_sum;d_34_10bin4_sum;d_34_10bin5_sum;d_34_11bin1_sum;d_34_11bin2_sum;d_34_11bin3_sum;d_34_11bin4_sum;nu_trabalhadores
43092096164;430920;567652;4309209;43;4;Gravataí;255660;243497;12163;Grande;463,499;2;257;283;138;248;18;31/07/2015;2;99;1;31.08.2018;8/31/2018;06/03/1983;35;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;2;5;5;2;1;0;1;0;9;0;0;3;12
12004097308;120040;1208820;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942;2;255;281;293;254;263;28/01/2017;2;3;99;31.08.2018;8/31/2018;8/20/1944;74;5;1;4; ;1; ; ; ; ; ; ; ; ; ;1;6;13;7;0;4;0;0;1;3;0;1;22;26
21030097868;210300;1412211;2103000;21;2;Caxias;155129;118534;36595;Grande;5196,769;1;257;281;266;249;20;07/02/2018;2;3; ;31.08.2018;8/31/2018;03/11/1971;47;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;4;7;0;3;0;1;1;0;0;1;13;14
26116096538;261160;738542;2611606;26;2;Recife;1537704;1537704;0;Metrópole;218,435;1;255;281;138;248;20;02/07/2018;3; ; ;31.08.2018;8/31/2018;9/19/1988;29;1;1;1; ;1; ; ; ; ; ; ;1; ; ; ;3;18;15;0;3;0;1;2;24;0;0;12;36
29136097900;291360;1348440;2913606;29;2;Ilhéus;184236;155281;28955;Grande;1584,693;2;257;281;266;249;18;06/09/2017;3; ; ;31.08.2018;8/31/2018;8/24/1988;30;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;4;6;0;1;0;0;3;1;0;0;10;11
33017093794;330170;1460730;3301702;33;3;Duque de Ca;855048;852138;2910;Grande;467,271;2;260;281;266;249;18;17/05/2018;2; ; ;31.08.2018;8/31/2018;06/05/1967;51;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;12;11;0;4;0;0;2;1;0;0;22;23
35028098030;350280;1450793;3502804;35;3;Araçatuba;181579;178077;3502;Grande;1167,126;2;257;281;293;248;20;05/09/2017;2;99;99;31.08.2018;8/31/2018;4/13/1977;41;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;3;9;0;2;0;1;2;1;1;0;11;13
35259095940;352590;969209;3525904;35;3;Jundiaí;370126;354204;15922;Grande;431,207;1;257;281;138;248;20;10/09/2014;2; ; ;31.08.2018;8/31/2018;1/15/1970;48;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;3;5;8;0;4;0;0;1;13;0;0;3;16
43144095738;431440;271121;4314407;43;4;Pelotas;328275;306193;22082;Grande;1610,084;1;257;281;139;252;20;16/12/2012;99; ; ;31.08.2018;8/31/2018;07/06/1950;68;5;2;2; ; ;1; ; ; ; ; ; ;1; ; ;1;7;6;0;3;0;0;1;3;8;0;3;14
52087098137;520870;1202239;5208707;52;5;Goiânia;1302001;1297076;4925;Metrópole;728,841;2;257;281;266;248;18;16/04/2018;2; ; ;31.08.2018;8/31/2018;5/17/1988;30;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;13;15;1;8;0;1;4;9;0;1;19;29
13205303522;320530;843439;3205309;32;3;Vitória;327801;327801;0;Grande;96,536;1;257;279;264;249;20;01/08/2013;2;2;2;31.08.2018;8/31/2018;03/01/1973;45;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;4;17;20;3;6;0;1;6;1;0;0;40;41
21030097868;210300;920549;2103000;21;2;Caxias;155129;118534;36595;Grande;5196,769;1;257;279;266;251;20;02/01/2017;1; ; ;31.08.2018;8/31/2018;10/24/1994;23;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;4;7;0;3;0;1;1;0;0;1;13;14
35517098026;355170;1466347;3551702;35;3;Sertãozinho;110074;108772;1302;Grande;403,089;1;257;279;138;249;272;19/04/2018;2;99;99;31.08.2018;8/31/2018;6/27/1991;27;1;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;6;6;2;1;0;0;1;8;0;2;3;13
