Código;Nome
IBGE; IBGE codigo_ibge _ codigo_ibge
IBGE7;Código IBGE com Dígito Verificador
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
NU_IDENTIFICADOR; NU_IDENTIFICADOR id_creas_pop
ident_1;ident_1_  v10083 _ Nome que identifica o Centro POP:
ident_2;ident_2_  v10084 _ Selecione/Indique o Tipo de Logradouro (avenida, rua, etc):
ident_3;ident_3_  v10085 _ Endereço:
ident_4;ident_4_  v10086 _ Número:
ident_5;ident_5_  v10087 _ Complemento:
ident_6;ident_6_  v10088 _ Bairro:
ident_7;ident_7_  v10089 _ Ponto de Referência:
ident_8;ident_8_  v10090 _ CEP:
ident_9;ident_9_  v10091 _ Município:
ident_10;ident_10_  v10092 _ UF:
ident_11;ident_11_  v10093 _ E-mail:
ident_12;ident_12_  v10094 _ DDD - Telefone:
ident_13;ident_13_  v10095 _ Ramal:
ident_14;ident_14_  v10096 _ Fax:
ident_15;ident_15_  v10097 _ Data de implantação do Centro POP:
p_latitude;  p_latitude _ Latitude:
p_longitude;  p_longitude _ Longitude:
q1_1; q1_1 v10098 _ Horário de funcionamento - Dias por semana:
q1_2; q1_2 v10099 _ Horário de funcionamento - Horas por dia:
q2; q2 v10101 _ O imóvel de funcionamento desta Unidade é compartilhado?
q3_1; q3_ v10102_1 _ 1 Secretaria da Assistência Social ou congênere
q3_2; q3_ v10102_2 _ 2 Outra unidade administrativa (Sede de Prefeitura, Administração Regional, Sub-Prefeitura etc)
q3_3; q3_ v10102_3 _ 3 Conselho Municipal de Assistência Social
q3_4; q3_ v10102_4 _ 4 CRAS ? Centro de Referência de Assistência Social
q3_5; q3_ v10102_5 _ 5 CREAS ? Centro de Referência Especializado de Assistência Social
q3_6; q3_ v10102_6 _ 6 Unidade de Acolhimento institucional (Abrigo)
q3_7; q3_ v10102_7 _ 7 Outra unidade pública de serviços da Assistência Social
q3_8; q3_ v10102_8 _ 8 Entidade e/ou Organizações da Sociedade Civil/Associação Comunitária
q3_99; q3_ v10102_99 _ 99 Outros
q3_99_qual; q3_99_ v10103 _ Qual?
q4_1; q4_ v10104_1 _ 1 Apenas o endereço é o mesmo, mas todos os espaços do Centro de Referência para População em Situação de Rua são independentes e de uso exclusivo, inclusive a entrada
q4_2; q4_ v10104_2 _ 2 Entrada / Porta de Acesso
q4_3; q4_ v10104_3 _ 3 Recepção
q4_4; q4_ v10104_4 _ 4 Algumas salas de atendimento
q4_5; q4_ v10104_5 _ 5 Todas as salas de atendimento
q4_6; q4_ v10104_6 _ 6 Salas administrativas
q4_7; q4_ v10104_7 _ 7 Espaço para atividades coletivas
q4_8; q4_ v10104_8 _ 8 Banheiros
q4_9; q4_ v10104_9 _ 9 Copa/cozinha
q4_10; q4_ v10104_10 _ 10 Área Externa
q4_11; q4_ v10104_11 _ 11 Almoxarifado ou similar
q4_12; q4_ v10104_12 _ 12 Refeitório
q4_13; q4_ v10104_13 _ 13 Lavanderia
q4_14; q4_ v10104_14 _ 14 Espaço para guarda de pertences
q4_99; q4_ v10104_99 _ 99 Outros
q5_1; q5_1_ v10105 _ Quantidade de Salas com capacidade máxima de 5 pessoas
q5_2; q5_2_ v10106 _ Quantidade de Salas com capacidade para 6 a 14 pessoas
q5_3; q5_3_ v10107 _ Quantidade de Salas com capacidade para 15 a 29 pessoas
q5_4; q5_4_ v10108 _ Quantidade de Salas com capacidade para 30 ou mais pessoas
q5_5; q5_5_ v10109 _ Salas exclusivas de Coordenação, equipe técnica ou administração <i>(não são salas de atendimento!)</i>
q5_6; q5_6_ v10110 _ Banheiro de uso exclusivo das(os) trabalhadoras(es) do Centro POP
q5_7; q5_7_ v10111 _ Banheiro para uso das(os) usuárias(os) do Centro POP
q5_8; q5_8_ v10112 _ Espaço para higiene pessoal (Box com chuveiros individualizados)
q5_9; q5_9_ v10113 _ Possui Recepção?
q5_10; q5_10_ v10114 _ Possui Cozinha/Copa?
q5_11; q5_11_ v10115 _ Possui Almoxarifado ou similar?
q5_12; q5_12_ v10116 _ Possui espaço externo para atividades coletivas e/ou comunitárias?
q5_13; q5_13_ v10117 _ Possui Refeitório?
q5_14; q5_14_ v10118 _ Possui Lavanderia?
q5_15; q5_15_ v10119 _ Possui espaço para guarda de pertences?
q5_16; q5_16_ v10120 _ Possui espaço para animais de estimação?
q6_1; q6_1_ v10121 _ Acesso principal adaptado com rampas e rota acessível desde a calçada até a recepção da Unidade
q6_2; q6_2_ v10122 _ Rota acessível aos principais espaços da Unidade (recepção, sala de atendimentos e espaço(s) para atividades coletivas)
q6_3; q6_3_ v10123 _ Rota acessível ao banheiro
q6_4; q6_4_ v10124 _ Banheiro adaptado para pessoas com dificuldades de locomoção
q7_1; q7_ v12648_1 _ 1 Sim, suporte de profissional com conhecimento em LIBRAS
q7_2; q7_ v12648_2 _ 2 Sim, suporte de material em braille
q7_3; q7_ v12648_3 _ 3 Sim, suporte para leitores de telas de computador para pessoas com deficiência visual
q7_4; q7_ v12648_4 _ 4 Sim, outras adaptações e tecnologias assistivas para deficiência física
q7_5; q7_ v12648_5 _ 5 Sim, outras adaptações e tecnologias assistivas para deficiência intelectual e autismo
q7_6; q7_ v12648_6 _ 6 Sim, pisos especiais com relevos para sinalização voltados para pessoa com deficiência visual
q7_0; q7_ v12648_0 _ 0 Não há outras adaptações
q7_4_qual; q7_4_qual_ v12649 _ Qual? - Tecnologias Assistivas para Deficiência Física
q7_5_qual; q7_5_qual_ v12650 _ Qual? - Tecnologias Assistivas para Deficiência Intelectual e Autismo
q8_1; q8_1_ v10125 _ Telefone - Disponível na Unidade
q8_2; q8_2_ v10147 _ Telefone - Disponível às(aos) usuárias(os)
