IBGE;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;NU_IDENTIFICADOR;ident_0_1;ident_0_2;ident_0_3;ident_0_4;ident_0_5;ident_0_6;ident_0_7;ident_0_8;ident_0_9;ident_0_10;ident_0_11;ident_0_12;ident_0_13;ident_0_14;Latitude;Longitude;q_1;q_2_1;q_2_2;q_2_3;q_2_4;q_3_1;q_3_2;q_4;q_5;q_6;q_7;q_7_1;q_8_1;q_8_2;q_8_3;q_8_0;q_9_1;q_9_2;q_9_3;q_9_0;q_9_3_1;q_10_0;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_6;q_10_7;q_10_8;q_10_9;q_10_10;q_10_99;q_11_1;q_11_2;q_11_3;q_11_4;q_11_99;q_11_0;q_11_99_1;q_12;q_12_1;q_13_1;q_13_2;q_13_3;q_13_4;q_13_5;q_13_6;q_13_7;q_13_8;q_13_9;q_13_10;q_13_11;q_13_12;q_13_0;q_14;q_15_1;q_15_2;q_15_3;q_15_4;q_15_5;q_15_6;q_16;q_17_1;q_17_2;q_17_3;q_17_4;q_17_5;q_17_99;q_17_99_1;q_18_1;q_18_2;q_18_3;q_18_4;q_18_5;q_18_6;q_18_7;q_18_8;q_18_9;q_18_10;q_18_11;q_18_12;q_18_13;q_18_14;q_18_15;q_19_1;q_19_2;q_19_3;q_19_4;q_20_1;q_20_2;q_20_3;q_20_4;q_20_5;q_20_6;q_20_0;q_20_4_1;q_20_5_1;q_21_1;q_21_2;q_21_3;q_21_4;q_21_5;q_21_6;q_21_7;q_21_8;q_21_9;q_21_10;q_21_11;q_21_12;q_21_13;q_21_14;q_21_15;q_21_16;q_21_17;q_21_18;q_21_19;q_21_20;q_21_21;q_21_22;q_21_23;q_21_24;q_21_25;q_21_24_1;q_22_1;q_22_2;q_22_3;q_22_4;q_22_5;q_22_6;q_22_7;q_22_8;q_22_9;q_22_10;q_22_11;q_22_12;q_22_13;q_22_14;q_22_15;q_22_16;q_22_17;q_22_18;q_22_19;q_22_20;q_22_21;q_22_22;q_22_23;q_22_24;q_22_25;q_23_1;q_23_2;q_23_3;q_23_4;q_23_5;q_23_6;q_23_7;q_23_8;q_23_9;q_23_10;q_23_11;q_23_12;q_23_13;q_23_14;q_23_15;q_23_16;q_23_17;q_23_18;q_23_19;q_23_20;q_23_21;q_23_22;q_23_99;q_23_0;q_23_99_1;q_24;q_25_1;q_25_2;q_25_3;q_25_4;q_25_5;q_25_6;q_25_7;q_25_8;q_25_9;q_25_10;q_25_11;q_26_1;q_26_2;q_26_3;q_26_4;q_26_5;q_26_99;q_26_99_1;q_27;q_28_1;q_28_2;q_28_3;q_28_4;q_28_5;q_28_99;q_28_99_1;q_29;q_30;q_31;q_32_1;q_32_2;q_32_3;q_32_4;q_32_5;q_32_6;q_32_7;q_32_99;q_33_1;q_33_1_99;q_33_2;q_33_2_99;q_33_3;q_33_3_99;q_33_4;q_33_4_99;q_33_5;q_33_5_99;q_33_6;q_33_6_99;q_33_7;q_33_7_99;q_34_1;q_34_1_99;q_34_2;q_34_2_99;q_35;q_35_99;q_36_1_1;q_36_1_2;q_36_1_3;q_36_1_4;q_36_1_5;q_36_1_6;q_36_1_7;q_36_1_8;q_36_1_9;q_36_1_10;q_36_2_1;q_36_2_2;q_36_2_3;q_36_2_4;q_36_2_5;q_36_2_6;q_36_2_7;q_36_2_8;q_36_2_9;q_36_2_10;q_36_3_1;q_36_3_2;q_36_3_3;q_36_3_4;q_36_3_5;q_36_3_6;q_36_3_7;q_36_3_8;q_36_3_9;q_36_3_10;q_36_4_1;q_36_4_2;q_36_4_3;q_36_4_4;q_36_4_5;q_36_4_6;q_36_4_7;q_36_4_8;q_36_4_9;q_36_4_10;q_36_5_1;q_36_5_2;q_36_5_3;q_36_5_4;q_36_5_5;q_36_5_6;q_36_5_7;q_36_5_8;q_36_5_9;q_36_5_10;q_36_6_1;q_36_6_2;q_36_6_3;q_36_6_4;q_36_6_5;q_36_6_6;q_36_6_7;q_36_6_8;q_36_6_9;q_36_6_10;q_37_1;q_37_2;q_37_3;q_37_4;q_37_5;q_37_6;q_37_7;q_37_8;q_37_9;q_37_10;q_37_11;q_37_12;q_37_13;q_37_14;q_37_99;q_37_0;q_37_99_1;q_38;q_38_1;q_39;Q_Municipio;Q_completo;d_3;d_18_atend;d_18_atend_categoria;d_18_adm_atend;d_18_adm_atend_categoria;d18_total_banheiros;d18_total_banheiro_cat;d_18_6_banheiro_trab;d_18_7_banheiro_usu;d21_telefone;d21_veiculo;d29_cap_atend_cat;d_32_1;d_32_2;d_32_3;d_32_4;d_32_5;d_32_6;d_32_7_total;d_33_1;d_33_2;d_33_3;d_33_4;d_33_5;d_33_6;d_33_7;d_34_1;d_34_2;d_35;d_38_1;d_40_9bin1_sum;d_40_9bin2_sum;d_40_9bin3_sum;d_40_10bin1_sum;d_40_10bin2_sum;d_40_10bin3_sum;d_40_10bin4_sum;d_40_10bin5_sum;d_40_11bin1_sum;d_40_11bin2_sum;d_40_11bin3_sum;d_40_11bin4_sum;nu_trabalhadores
110002;1100023;11;1;Ariquemes;90353;76525;13828;3;4426,571;1100023501072;CENTRO-DIA E SIMILARES;3;TABAPUA;4124; ;SETOR 04;76873-530;ARIQUEMES;RO;ape_ariquemes@hotmail.com;(69) 35353713; ; ;01/04/1983;-9.913;-63.041;2;1;1;1;0;5;8;2;04.900.106/0001-00;1;1; ;1;1;0;0;0;1;0;0; ;0;1;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0; ;1;11100021119; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;1;1;1;0;0;1;1;0;0;0;0;0; ;3;4;7;1;5;2;2;0;1;1;1;1;1;1;1;2;2;2;2;1;0;0;0;0;0;0; ; ;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;3;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;0;0;0;1;0; ;250;5;4;17;37;17;160;1;0;232; ;79; ;5; ;1; ;135; ;3; ;6; ;3; ;1; ;91; ; ;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0; ;1;1;1;1; ;2;15;5;20;5;4;3;2;2;1;1;13;1;2;1;5;1;0;5;4;1;1;5;1;1;1;1;4; ;1;13;13;25;13;1; ;1;1;14; ; ;37;51
110009;1100098;11;1;Espigão D'Oeste;28729;20610;8119;2;4518,026;1100093502313;CENTRO-DIA E SIMILARES;3;Piauí;3447; ;Liberdade;76974-000;ESPIGAO DOESTE;RO;apaespigaodoeste@gmail.com;(69) 34813689; ; ;25/06/1995;-11.535.029.553.861.500;-610.093.116.760.254;2;1;1;0;0;5;8;2;01.971.598/0001-29;1;1; ;1;1;0;0;0;1;1;0;Emendas parlamentares;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;Conselho de Alimentação Escolar;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;1;1;0;0;0;0;0; ;0;18;0;0;4;6;7;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0; ; ;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0; ;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0; ;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;Psicopedagogos, Fisioterapeutas e Fonoaudiologos.;2;1;0;0;0;0;0; ;74;5;4;15;33;13;79;0;0;140; ;40; ;3; ;1; ;89; ;0; ;7; ;0; ; ;1;93; ; ;1; ; ; ; ; ; ; ; ;1;0;0;0;0;1;0;1;0;1;0;0; ; ; ; ; ; ; ; ;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;1;1; ;2;18;5;22;5;13;5;4;4;1;1;8;1;2;1;4;0;0;5;2;1;1;4;0;1;0; ;4; ; ;5;1;23;18; ; ; ; ;21; ; ;8;29
110012;1100122;11;1;Ji-Paraná;116610;104858;11752;4;6896,649;1100123502325;CENTRO-DIA E SIMILARES -  ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS;32;Dr Antonio Lazaro De Moura;1123; ;Jardim dos Migrantes;76900-673;JI-PARANA;RO;apaejiparana@bol.com.br;(69) 34212219; ; ;14/08/1987;-10.882;-61.944;2;1;1;1;0;5;8;2;05.881.925/0001-02;1;1; ; ; ; ;1;1;1;0;0; ;0;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;CONSELHO DA EDUCAÇÃO, CONSELHO DOS DIREITOS HUMANOS E CONSELHO DA SAÚDE;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;0;0;1;1;0;0;0;0;0; ;5;5;2;1;4;4;11;1;1;1;1;1;1;1;1;1;1;2;2;1;0;0;1;1;0;0;ORTESES ADAPTAÇÃO DE PRANCHAS;SALA DE COMPUTADOR;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0; ;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0; ;1;1;1;1;0;0;0; ;80;5;4;36;47;18;158;2;0;261; ;2; ;1; ;2; ;252; ;0; ;252; ;0; ; ;1;198; ; ;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;1;1; ;2;13;5;17;5;15;5;3;5;1;1;8;2;3;1;5;1;0;5;1;1;1;5;0;5;0; ;5; ; ;5;11;31;1;1; ; ;2; ;3; ;44;47
110037;1100379;11;1;Alto Alegre dos Parecis;12816;3657;9159;1;3958,273;1100373502273;CENTRO-DIA E SIMILARES;3;AFONSO PENA;4236; ;JARDIM AMERICA;76952-000;ALTO ALEGRE DOS PARECIS;RO;altoalegredosparecis@apaero.org.br;(69) 36431092; ; ;22/01/2005;-12.134.043.771.353.700;-61.850.806.474.685.600;2;1;0;0;0;5;3;2;07.487.330/0001-00;1;1; ;1;0;0;0; ; ; ;1; ;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;2;0;0;0;0;0;1;kombi;0;3;0;0;4;1;4;1;1;1;1;0;0;1;0;2;2;1;1; ; ; ; ; ;0;1; ; ;1;0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;1; ;1;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0; ;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0; ;2;1;0;0;0;0;0; ;20;5;4;2;11;1;20;0;0;34; ;5; ;2; ;4; ;15; ;5; ;1; ;0; ;0; ;34; ;0; ;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0; ; ; ; ; ; ; ; ;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0; ;0; ;2;1; ;0;3;2;7;4;5;3;1;3;1;1;2;1;1;1;1;0;0;2;1;1;1;1;1;1;0;0;2;0; ; ;1;3;2; ; ; ; ;4; ; ; ;4
110045;1100452;11;1;Buritis;32383;18122;14261;2;3265,809;1100453502359;CENTRO-DIA E SIMILARES - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BURITIS;32;BRASILIA;2790; ;SETOR 07;76880-000;BURITIS;RO;apaesonhomeu2011@hotmail.com;(69) 32383552; ; ;14/08/1999;-10.210.698.778.176.600;-63.840.608.596.801.700;2;1;1;1;0;5;8;2;03.536.126/0001-73;1;1; ; ; ; ;1;0;1;0;0; ;0;1;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;1;1;0;0;0;0;0; ;5;2;2;0;6;4;2;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;Cadeiras Adaptadas, mesas e barra de apoio;Material pedagógico;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0; ;1;1;0;1;1;1;0; ;80;5;4;33;56;20;58;2;0;169; ;8; ;3; ;7; ;81; ;55; ;15; ;0; ;2; ; ;1; ;1; ; ; ; ; ; ; ; ;0;1;1;1;0;0;0;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0; ;0; ;2;1; ;2;9;5;15;5;6;4;3;2;1;1;8;2;3;1;3;1;0;5;1;1;1;4;3;1;0;1; ; ; ;4;8;22;15;1; ; ;2;15;4;2;13;34
130260;1302603;13;1;Manaus;1802014;1792881;9133;5;11401,092;1302603500143;CENTRO-DIA E SIMILARES - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS / MANAUS;3;PERIMETRAL;0;CONJ.CASTELO BRANCO;PARQUE 10;69055-021;MANAUS;AM;saude@apaemanaus.org.br;(92) 36438400; ; ;04/05/1973;-30.851.191.512.471.900;-6.001.179.814.338.680;2;1;1;1;0;5;8;2;04.216.628/0001-80;1;1; ; ; ; ;1; ; ; ;1; ;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0; ;1;13026096252;0;0;0;0;0;0;1;0;1;1;0;1;0;4;1;1;1;0;0;0;2;0;0;1;0;1;0; ;4;3;1;1;1;5;7;1;1;1;1;1;1;1;1;2;1;1;1;0;0;0;1;0;0;0;para psicomotricidade; ;1;0;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1; ;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;0;0; ;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;1;0; ;0; ; ; ; ; ; ; ;100;5;4;80;60;50;80;0;0;270; ;110; ;0; ;0; ;135; ;0; ;9; ;16; ;0; ;225; ;97; ;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0; ;0; ;1;1; ;2;9;5;10;5;12;5;3;4;1;1;10;4;3;3;4;0;0;5;5;0;0;5;0;1;1;0;5;4; ; ; ;11; ;2; ; ;2;3; ; ;8;11
130260;1302603;13;1;Manaus;1802014;1792881;9133;5;11401,092;1302603501166;CENTRO-DIA E SIMILARES - ASSOCIAÇÃO PESTALOZZI DO AMAZONAS;3;AV. DANILO AREOSA;380;-;Distrito Industrial;69075-350;MANAUS;AM;pestalozziam32@hotmail.com;(92) 32374461; ; ;16/11/1978;-31.376.825.848.345.000;-5.998.246.014.118.190;2;1;1;0;0;5;8;2;04.499.992/0001-02;1;2; ; ; ; ;1;0;0;1;0;POLÍTICA NACIONAL PARA INTEGRAÇÃO DA PESSOA COM DEFICIÊNCIA;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;0; ; ; ; ; ; ; ;4;0;1;1;2;2;6;0;1;1;1;1;1;1;0;1;1;1;1; ; ; ; ; ;0;1; ; ;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0; ;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0; ;0; ; ; ; ; ; ; ;60;5;4;14;41;25;83;5;29;197; ;31; ;4; ;6; ;105; ;39; ;10; ;2; ;5; ;87; ;106; ;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0; ;0; ;1;1; ;2;6;4;8;5;8;5;2;4;1;1;6;1;3;2;4;1;2;5;2;1;1;5;2;1;1;1;4;5; ; ;2;6; ;2; ; ;1; ; ; ;8;8
150060;1500602;15;1;Altamira;99075;84092;14983;3;159533,328;1500603500896;CENTRO-DIA E SIMILARES ASSOCIAÇÃO DAS PESSOAS COM DEFICIÊNCIA TRANSAMAZÔNICA APDT ALTAMIRA;32;UM;3097;ACESSO UM;MUTIRAO;68370-000;ALTAMIRA;PA;joao_1745@hotmail.com;(93) 991450750; ; ;23/03/1994;-31.894.720.957.934.300;-522.101.640.701.294;2;1;1;1;0;5;5;2;34.890.988/0001-23;0; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;0;1;0;0;0; ;1;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0; ; ; ; ; ;0;1; ; ;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1; ;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;10;1;1;4;5;4;50;49;8;120; ;50; ;20; ;10; ;15; ;15; ;5; ;5; ;2; ;0; ; ;1; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Saúde e Ação Jurídica;0; ;1;1; ;0;1;1;2;2;1;1;1;1;1;0;1;1;1;1;3;3;1;5;3;1;1;1;1;1;1;1;0; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1
150060;1500602;15;1;Altamira;99075;84092;14983;3;159533,328;1500603500942;CENTRO-DIA E SIMILARES ASSOCIAÇÃO DOS APOSENTADOS, PENSIONISTAS E IDOSOS  ALTAMIRA;32;LUIS COUTINHO;969; ;BRASILIA;68370-000;ALTAMIRA;PA;associacaodosidosos.altamira@gmail.com;(93) 991372270; ; ;27/01/1993;-31.969.063.475.907.900;-5.221.297.502.517.700;2;1;1;1;1;5;8;2;34.890.822/0001-07;0; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0; ; ; ; ; ; ; ;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2; ; ; ; ; ;0;1; ; ;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0; ;1;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0; ;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0; ;0; ; ; ; ; ; ; ;20;3;2;2;3;8;12;30;10;65; ;10; ;2; ;8; ; ;1;1; ;2; ; ;1;25; ;20; ; ;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0; ;0; ;1;1; ;2;2;2;3;2;2;2;1;1;1;0;2;1;1;1;1;2;1;3;1;1;1; ;1;1; ;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1
150060;1500602;15;1;Altamira;99075;84092;14983;3;159533,328;1500603500945;CENTRO-DIA E SIMILARES CASA DO IDOSO ALTAMIRA;31;MAGALHÃES BARATA;845;LOTEAMENTO VIENA;LIBERDADE;68370-000;ALTAMIRA;PA;eliseuaguair.atm@hotmail.com;(93) 991686072; ; ;29/10/2009;-3.182.680.527.713.090;-5.222.458.362.579.340;2;0;0;1;1;7;24;2;11.332.625/0001-77;0; ; ; ; ; ;1;0;0;1;0;Doações do Ministério Público;1; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;0;0; ; ; ; ; ; ; ;6;2;2;1;1;2;2;1;0;0;1;0;0;1;1;1;1;1;1; ; ; ; ; ;0;1; ; ;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;35;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0; ;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0; ;3;0;1;0;0;0;0; ;35;6;7;0;0;0;0;15;10;25; ;8; ;2; ;3; ;0; ;2; ;0; ;0; ;22; ;0; ;1; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ;1;0;1;1;1;1;0;1;0;1;0;0; ; ; ; ; ; ; ; ;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ;0; ;3;1; ;3;11;5;12;5;4;3;2;2;1;1;4;0;0;0;0;1;1;2;1;1;1;0;1;0;0;2;0;1; ;1;2; ; ; ; ; ; ; ; ; ;3;3
