NU_IDENTIFICADOR;IBGE;Regiao;q_45_2;q_45_3;q_45_9;q_45_10;q_45_11;q_45_12;q_45_13;q_45_14;Q_completo;DataCenso;DataCenso_2018;q_45_2_rec;Idade;Faixas_etarias;d_45_9;d_45_11;d_45_9bin1;d_45_9bin2;d_45_9bin3;d_45_10bin1;d_45_10bin2;d_45_10bin3;d_45_10bin4;d_45_10bin5;d_45_11bin1;d_45_11bin2;d_45_11bin3;d_45_11bin4;d_45_9bin1_sum;d_45_9bin2_sum;d_45_9bin3_sum;d_45_10bin1_sum;d_45_10bin2_sum;d_45_10bin3_sum;d_45_10bin4_sum;d_45_10bin5_sum;d_45_11bin1_sum;d_45_11bin2_sum;d_45_11bin3_sum;d_45_11bin4_sum;nu_trabalhadores
1501403300023;15;Região Norte;03.07.1984;FEMININO;Médio Completo;Profissional de nível médio;Sem vínculo;Outros;De 21 a 30 horas semanais;01/11/2015;;31.08.2018;31/ago/18;03/jul/84;34;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;31,00;34,00;1,00;6,00;0,00;0,00;4,00;57,00;0,00;0,00;11,00;68
2111303300284;21;Região Nordeste;02.11.1979;FEMININO;Superior Completo;Enfermeira(o);Servidor(a) Temporário(a);Técnico(a) de Nível Superior;De 21 a 30 horas semanais;01/07/2016;;31.08.2018;31/ago/18;02/nov/79;38;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;16,00;61,00;23,00;1,00;1,00;0,00;0,00;1,00;27,00;0,00;0,00;73,00;100
2304403300011;23;Região Nordeste;02.04.1960;FEMININO;Médio Completo;Profissional de nível médio;Empregada(o) Celetista do Setor Privado;Outros;De 31 a 40 horas semanais;01/07/2013;;31.08.2018;31/ago/18;02/abr/60;58;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;25,00;65,00;22,00;3,00;4,00;0,00;0,00;0,00;26,00;0,00;0,00;86,00;112
2606003300159;26;Região Nordeste;25.06.1973;FEMININO;Médio Completo;Profissional de nível médio;Terceirizada(o);Serviços Gerais;De 31 a 40 horas semanais;04/03/2013;;31.08.2018;31/ago/18;25/jun/73;45;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;41,00;28,00;7,00;4,00;0,00;1,00;2,00;0,00;0,00;0,00;72,00;72
2606003300159;26;Região Nordeste;26.10.1986;FEMININO;Médio Completo;Profissional de nível médio;Terceirizada(o);Cozinheiro(a);De 31 a 40 horas semanais;01/03/2016;;31.08.2018;31/ago/18;26/out/86;31;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;41,00;28,00;7,00;4,00;0,00;1,00;2,00;0,00;0,00;0,00;72,00;72
2606003300159;26;Região Nordeste;01.05.1993;MASCULINO;Médio Completo;Profissional de nível médio;Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Cozinheiro(a);De 41 a 44 horas semanais;01/07/2016;;31.08.2018;31/ago/18;01/mai/93;25;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;41,00;28,00;7,00;4,00;0,00;1,00;2,00;0,00;0,00;0,00;72,00;72
2611603300009;26;Região Nordeste;10.04.1973;FEMININO;Médio Completo;Profissional de nível médio;Servidor(a) Temporário(a);Outros;De 31 a 40 horas semanais;01/08/2016;;31.08.2018;31/ago/18;10/abr/73;45;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;12,00;55,00;25,00;3,00;3,00;0,00;0,00;3,00;20,00;0,00;0,00;72,00;92
2611603300009;26;Região Nordeste;22.05.1968;FEMININO;Fundamental Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;13/08/1980;;31.08.2018;31/ago/18;22/mai/68;50;41 a 50 anos;Nível fundamental;Servidor Estatutário;Nível fundamental;;;;;;;;Servidor Estatutário;;;;12,00;55,00;25,00;3,00;3,00;0,00;0,00;3,00;20,00;0,00;0,00;72,00;92
2611603300084;26;Região Nordeste;08.10.1966;FEMININO;Médio Completo;Profissional de nível médio;Terceirizada(o);Cozinheiro(a);De 41 a 44 horas semanais;04/03/2013;;31.08.2018;31/ago/18;08/out/66;51;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;4,00;17,00;13,00;4,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;33,00;34
2800303305714;28;Região Nordeste;24.04.1995;MASCULINO;Médio Incompleto;Sem formação profissional;Terceirizada(o);Serviços Gerais;De 31 a 40 horas semanais;01/12/2015;;31.08.2018;31/ago/18;24/abr/95;23;16 a 29 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;9,00;22,00;4,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;31,00;35
2800303305714;28;Região Nordeste;16.09.1969;MASCULINO;Superior Completo;Administrador(a);Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;05/06/2017;;31.08.2018;31/ago/18;16/set/69;48;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;9,00;22,00;4,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;31,00;35
2800303305714;28;Região Nordeste;21.05.1972;FEMININO;Superior Completo;Outra formação de nível superior;Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;05/06/2017;;31.08.2018;31/ago/18;21/mai/72;46;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;9,00;22,00;4,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;31,00;35
2800303305714;28;Região Nordeste;02.12.1974;FEMININO;Médio Completo;Profissional de nível médio;Terceirizada(o);Serviços Gerais;De 31 a 40 horas semanais;03/06/1996;;31.08.2018;31/ago/18;02/dez/74;43;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;9,00;22,00;4,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;31,00;35
3106203304083;31;Região Sudeste;14.03.1968;FEMININO;Médio Incompleto;Sem formação profissional;Empregada(o) Celetista do Setor Privado;Auxiliar de Cuidador(a);De 41 a 44 horas semanais;20/11/2014;;31.08.2018;31/ago/18;14/mar/68;50;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4,00;1,00;6,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;11,00;11
3132403305300;31;Região Sudeste;11.10.1957;FEMININO;Fundamental Incompleto;Sem formação profissional;Empregada(o) Celetista do Setor Privado;Outros;De 41 a 44 horas semanais;16/10/2015;;31.08.2018;31/ago/18;11/out/57;60;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;6,00;3,00;14,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;23,00;23
3300203303502;33;Região Sudeste;05.05.1975;FEMININO;Fundamental Completo;Profissional de nível médio;Outro vínculo não permanente;Outros;De 31 a 40 horas semanais;01/01/2016;;31.08.2018;31/ago/18;05/mai/75;43;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;7,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;7,00;9
3300303303503;33;Região Sudeste;13.02.1967;FEMININO;Superior Completo;Outra formação de nível superior;Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Técnico(a) de Nível Superior;De 11 a 20 horas semanais;14/04/2016;;31.08.2018;31/ago/18;13/fev/67;51;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;15,00;9,00;8,00;1,00;1,00;0,00;1,00;0,00;2,00;0,00;0,00;30,00;32
1200203301526;12;Região Norte;25.04.1994;FEMININO;Superior Incompleto;Sem formação profissional;Servidor(a) Temporário(a);Apoio Administrativo;De 31 a 40 horas semanais;01/02/2016;;31.08.2018;31/ago/18;25/abr/94;24;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;03.08.1962;FEMININO;Médio Completo;Profissional de nível médio;Servidor(a)/Estatutário(a);Educador(a)/Orientador(a) Social;De 31 a 40 horas semanais;01/01/1988;;31.08.2018;31/ago/18;03/ago/62;56;51 a 60 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;17.05.1963;FEMININO;Superior Completo;Assistente Social;Servidor(a)/Estatutário(a);Técnico(a) de Nível Superior;De 31 a 40 horas semanais;04/04/1986;;31.08.2018;31/ago/18;17/mai/63;55;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;07.06.1956;FEMININO;Fundamental Incompleto;Sem formação profissional;Terceirizada(o);Serviços Gerais;De 31 a 40 horas semanais;01/01/2010;;31.08.2018;31/ago/18;07/jun/56;62;Mais de 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;17.06.1964;MASCULINO;Fundamental Incompleto;Sem formação profissional;Terceirizada(o);Outros;De 31 a 40 horas semanais;11/10/2007;;31.08.2018;31/ago/18;17/jun/64;54;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;04.04.1988;MASCULINO;Médio Completo;Sem formação profissional;Terceirizada(o);Outros;De 31 a 40 horas semanais;01/01/2015;;31.08.2018;31/ago/18;04/abr/88;30;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;26.07.1975;FEMININO;Superior Incompleto;Sem formação profissional;Terceirizada(o);Outros;De 31 a 40 horas semanais;01/10/2007;;31.08.2018;31/ago/18;26/jul/75;43;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;08.12.1975;MASCULINO;Fundamental Incompleto;Sem formação profissional;Terceirizada(o);Outros;De 31 a 40 horas semanais;01/03/2007;;31.08.2018;31/ago/18;08/dez/75;42;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;19.05.1977;FEMININO;Superior Completo;Outra formação de nível superior;Terceirizada(o);Outros;De 31 a 40 horas semanais;01/07/2016;;31.08.2018;31/ago/18;19/mai/77;41;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;30.04.1989;FEMININO;Superior Completo;Enfermeira(o);Servidor(a) Temporário(a);Coordenador(a);De 31 a 40 horas semanais;12/09/2012;;31.08.2018;31/ago/18;30/abr/89;29;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200203301526;12;Região Norte;25.04.1988;FEMININO;Médio Completo;Sem formação profissional;Terceirizada(o);Cuidador(a);De 31 a 40 horas semanais;01/01/2015;;31.08.2018;31/ago/18;25/abr/88;30;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;9,00;11
1200403303575;12;Região Norte;21.10.1988;MASCULINO;Fundamental Incompleto;Sem formação profissional;Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Serviços Gerais;De 31 a 40 horas semanais;01/09/2017;;31.08.2018;31/ago/18;21/out/88;29;16 a 29 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;04.08.1995;FEMININO;Superior Incompleto;Profissional de nível médio;Sem vínculo;Estagiário(a);De 21 a 30 horas semanais;01/06/2016;;31.08.2018;31/ago/18;04/ago/95;23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;02.12.1949;MASCULINO;Fundamental Incompleto;Sem formação profissional;Servidor(a)/Estatutário(a);Motorista;De 31 a 40 horas semanais;01/02/1982;;31.08.2018;31/ago/18;02/dez/49;68;Mais de 60 anos;Nível fundamental;Servidor Estatutário;Nível fundamental;;;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;29.08.1956;FEMININO;Médio Completo;Profissional de nível médio;Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;01/03/2015;;31.08.2018;31/ago/18;29/ago/56;62;Mais de 60 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;09.03.1955;FEMININO;Médio Completo;Profissional de nível médio;Servidor(a)/Estatutário(a);Cozinheiro(a);De 31 a 40 horas semanais;01/01/0982;;31.08.2018;31/ago/18;09/mar/55;63;Mais de 60 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;04.03.1961;FEMININO;Fundamental Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;09/03/1994;;31.08.2018;31/ago/18;04/mar/61;57;51 a 60 anos;Nível fundamental;Servidor Estatutário;Nível fundamental;;;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;25.12.1961;FEMININO;Superior Completo;Outra formação de nível superior;Servidor(a)/Estatutário(a);Apoio Administrativo;De 31 a 40 horas semanais;02/02/1983;;31.08.2018;31/ago/18;25/dez/61;56;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;15.10.1963;FEMININO;Fundamental Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;30/06/1988;;31.08.2018;31/ago/18;15/out/63;54;51 a 60 anos;Nível fundamental;Servidor Estatutário;Nível fundamental;;;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;11.11.1966;FEMININO;Superior Completo;Outra formação de nível superior;Servidor(a)/Estatutário(a);Apoio Administrativo;De 31 a 40 horas semanais;01/07/1985;;31.08.2018;31/ago/18;11/nov/66;51;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;15.07.1953;FEMININO;Fundamental Incompleto;Sem formação profissional;Servidor(a)/Estatutário(a);Cozinheiro(a);De 31 a 40 horas semanais;01/07/1988;;31.08.2018;31/ago/18;15/jul/53;65;Mais de 60 anos;Nível fundamental;Servidor Estatutário;Nível fundamental;;;;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;04.04.1965;FEMININO;Superior Completo;Pedagoga(o);Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;01/04/1984;;31.08.2018;31/ago/18;04/abr/65;53;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;08.01.1972;FEMININO;Médio Incompleto;Profissional de nível médio;Servidor(a) Temporário(a);Outros;De 31 a 40 horas semanais;01/09/2017;;31.08.2018;31/ago/18;08/jan/72;46;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;25.06.1966;FEMININO;Médio Completo;Sem formação profissional;Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Serviços Gerais;De 31 a 40 horas semanais;02/05/2010;;31.08.2018;31/ago/18;25/jun/66;52;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;04.12.1965;FEMININO;Superior Completo;Outra formação de nível superior;Servidor(a) Temporário(a);Coordenador(a);De 31 a 40 horas semanais;01/01/2015;;31.08.2018;31/ago/18;04/dez/65;52;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;14.02.1974;FEMININO;Superior Incompleto;Profissional de nível médio;Servidor(a) Temporário(a);Outros;De 31 a 40 horas semanais;15/05/2017;;31.08.2018;31/ago/18;14/fev/74;44;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;06.06.1987;FEMININO;Superior Completo;Assistente Social;Servidor(a) Temporário(a);Técnico(a) de Nível Superior;De 41 a 44 horas semanais;01/06/2015;;31.08.2018;31/ago/18;06/jun/87;31;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;28.07.1972;FEMININO;Médio Completo;Profissional de nível médio;Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Serviços Gerais;De 31 a 40 horas semanais;17/04/2016;;31.08.2018;31/ago/18;28/jul/72;46;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;12.08.1973;FEMININO;Médio Incompleto;Sem formação profissional;Trabalhador(a) de empresa/cooperativa/entidade prestadora de serviço;Serviços Gerais;De 31 a 40 horas semanais;19/04/2017;;31.08.2018;31/ago/18;12/ago/73;45;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
1200403303575;12;Região Norte;19.01.1985;FEMININO;Superior Completo;Psicóloga(o);Servidor(a)/Estatutário(a);Técnico(a) de Nível Superior;De 31 a 40 horas semanais;04/05/2012;;31.08.2018;31/ago/18;19/jan/85;33;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;8,00;7,00;6,00;1,00;1,00;0,00;0,00;1,00;10,00;0,00;0,00;11,00;21
