id_acolhimento;q_0_1;q9;IBGE7;Nome_UF;Região;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;area Km2
3111203305596;UNIDADE DE ACOLHIMENTO;311120;3111200;MG;SE;Campo Belo;111762;51544;48626;2918;Médio;528,225
3120603304527;UNIDADE DE ACOLHIMENTO - ASSOPOC - ASSOCIAÇÃO DOS PROTETORES DOS PODRES E CARENTES;312060;3120607;MG;SE;Crucilândia;61411;4757;2979;1778;Pequeno I;167,164
3132503307959;;313250;3132503;MG;SE;Itamarandiba;197507;32175;21988;10187;Pequeno II;2735,573
3151803303261;UNIDADE DE ACOLHIMENTO ALBERGUE NOTURNO DEUS E CARIDADE;315180;3151800;MG;SE;Poços de Caldas;342055;152435;148722;3713;Grande;546,67
3162503306295;UNIDADE DE ACOLHIMENTO ALBERGUE SANTO ANTÔNIO;316250;3162500;MG;SE;São João del Rei;182696;84469;79857;4612;Médio;1452,002
3162503307761;UNIDADE DE ACOLHIMENTO CASA DE PASSAGEM;316250;3162500;MG;SE;São João del Rei;182696;84469;79857;4612;Médio;1452,002
3170103309494;Unidade de Acolhimento;317010;3170107;MG;SE;Uberaba;346024;295988;289376;6612;Grande;4523,957
3300453302538;UNIDADE DE ACOLHIMENTO CASA LAR VIVA RIO;330045;3300456;RJ;SE;Belford Roxo;11601307;469332;469332;0;Grande;78,985
3304553309164;UNIDADE DE ACOLHIMENTO HOTEL SOLIDÁRIO BONSUCESSO;330455;3304557;RJ;SE;Rio de Janeiro;11601307;6320446;6320446;0;Metrópole;1200,177
3513803306687;;351380;3513801;SP;SE;Diadema;13804831;386089;386089;0;Grande;30,732
3517503305326;UNIDADE DE ACOLHIMENTO;351750;3517505;SP;SE;Guapiaçu;763534;17869;15805;2064;Pequeno I;325,126
3517503308658;UNIDADE DE ACOLHIMENTO ASSOCIAÇÃO MAMÃE IDALINA;351750;3517505;SP;SE;Guapiaçu;763534;17869;15805;2064;Pequeno I;325,126
3521153309336;UNIDADE DE ACOLHIMENTO;352115;3521150;SP;SE;Ipiguá;763534;4463;2697;1766;Pequeno I;136,028
3522403305892;UNIDADE DE ACOLHIMENTO - RESIDÊNCIA INCLUSIVA;352240;3522406;SP;SE;Itapeva;240465;87753;73956;13797;Médio;1826,258
3527203302563;UNIDADE DE ACOLHIMENTO VILA VICENTINA DE LORENA;352720;3527207;SP;SE;Lorena;402133;82537;80173;2364;Médio;414,16
3533253306773;UNIDADE DE ACOLHIMENTO;353325;3533254;SP;SE;Novais;221465;4592;4181;411;Pequeno I;117,772
3534203303626;UNIDADE DE ACOLHIMENTO CASA LAR MARIA FRANCISCA DA SILVA;353420;3534203;SP;SE;Orindiúva;763534;5675;5223;452;Pequeno I;247,378
3541903307621;Unidade de Acolhimento;354190;3541901;SP;SE;Queluz;402133;11309;9275;2034;Pequeno I;249,399
4111553303136;UNIDADE DE ACOLHIMENTO;411155;4111555;PR;S;Ivaté;265092;7514;5233;2281;Pequeno I;410,907
4112703308588;;411270;4112702;PR;S;Jataizinho;71173;11875;11053;822;Pequeno I;159,178
4202903309252;UNIDADE DE ACOLHIMENTO ASILO DOM BOSCO;420290;4202909;SC;S;Brusque;677376;105503;102025;3478;Grande;283,223
4322503305875;UNIDADE DE ACOLHIMENTO CASA ABRIGO DIVINA PROVIDENCIA - ASSOCIAÇÃO VACARIENSE DE AUXILIO AOS NECESSITADOS;432250;4322509;RS;S;Vacaria;157337;61342;57339;4003;Médio;2124,582
4322503307579;Unidade de Acolhimento Associação Beneficente Santa Isabel;432250;4322509;RS;S;Vacaria;157337;61342;57339;4003;Médio;2124,582
5007303309058;Unidade de Acolhimento;500730;5007307;MS;CO;Rio Negro;873851;5036;3665;1371;Pequeno I;1807,668
5205103305297;UNIDADE DE ACOLHIMENTO FUNDAÇÃO ESPÍRITA ANTERO DA COSTA CARVALHO;520510;5205109;GO;CO;Catalão;147276;86647;81064;5583;Médio;3821,463
5214803304066;Unidade de Acolhimento Lar de Idosos São Sebastião;521480;5214804;GO;CO;Nova Aurora;147276;2062;1873;189;Pequeno I;302,655
5300103300727;UNIDADE DE ACOLHIMENTO SOCIEDADE CRISTÃ MARIA E JESUS - NOSSO LAR;530010;5300108;DF;CO;Brasília;2570160;2570160;2482210;87950;Metrópole;5779,997
5300103303821;UNIDADE DE ACOLHIMENTO CASA DA CRIANÇA BATUIRA;530010;5300108;DF;CO;Brasília;2570160;2570160;2482210;87950;Metrópole;5779,997
