IBGE;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;ident_0_1;ident_0_2;ident_0_3;ident_0_4;ident_0_5;ident_0_6;ident_0_7;ident_0_8;ident_0_9;ident_0_10;ident_0_11;ident_0_12;ident_0_13;ident_0_14;ident_0_15;Latitude;Longitude;q_1;q_2;q_3;q_4_1;q_4_2;q_4_3;q_4_0;q_4_99;q_5_1;q_5_2;q_5_99;q_5_0;q_5_99_1;q_6;q_7;q_9_1;q_9_2;q_9_3;q_9_4;q_10;q_11;q_12;q_13;q_13_99;q_14;q_14_99;q_15;q_16_1_1;q_16_1_2;q_16_1_3;q_16_1_4;q_16_1_5;q_16_1_6;q_16_1_7;q_16_2_1;q_16_2_2;q_16_2_3;q_16_2_4;q_16_2_5;q_16_2_6;q_16_2_7;q_17_1;q_17_2;q_17_3;q_17_4;q_17_5;q_17_6;q_17_7;q_17_8;q_17_9;q_18_1;q_18_1_99;q_18_2;q_18_2_99;q_19_1;q_19_1_99;q_19_2;q_19_2_99;q_19_3;q_19_3_99;q_19_4;q_19_4_99;q_20;q_21_1;q_21_1_0;q_21_2;q_21_2_0;q_22;q_23;q_24;q_25;q_26_1;q_26_2;q_26_3;q_26_4;q_26_5;q_26_6;q_26_7;q_26_8;q_26_9;q_26_10;q_26_11;q_26_12;q_26_13;q_26_14;q_26_15;q_26_16;q_26_17;q_26_18;q_26_19;q_26_20;q_26_21;q_26_22;q_26_23;q_26_24;q_26_25;q_26_0;q_27;q_28_1;q_28_2;q_28_3;q_28_98;q_28_99;q_28_0;q_28_98_1;q_29;q_30_99;q_31;q_32;d_13_faixa;d_14_faixa;d_15_faixa;q_16_1_7_recod;q_16_2_7_recod;q_17_9_recod;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
110020;1100205;11;1;Porto Velho;428527;390733;37794;4;34090,962;1;1100203309440;Unidade de Acolhimento;32;Geraldo Ferreira;135;CREAS;Agenor de Carvalho;CREAS;76820-316;1100205;RO; ;(69) 3901-3221;3221; ;13/12/2017;-8.755.939.914.528.560;-6.387.045.621.871.940;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2017;1;960; ;3; ;3;0;0;1;0;0;0;1;0;0;1;1;0;0;2;0;0;3;0;0;0;0;0;3;0; ;0; ;0; ;0; ;0; ;3; ;0; ;1;17; ;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;6;1;0;0;0;0;0; ;3; ;0;3; ;1;1;1;2;3;0;0;3;0;1;0;0;2;3;0;0;0;3
110033;1100338;11;1;Nova Mamoré;22546;13067;9479;2;10071,643;1;1100333309456;Unidade de Acolhimento Família Acolhedora;3;Antônio Lucas de Araujo;3208; ;João Francisco Clímaco;Em Frente ao CAPS;76857-000;1100338;RO; ;(69) 3544-2732; ; ;16/10/2017;-10.411;-65.331;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2017;1;600; ;6; ;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3; ;0; ;0; ;0; ;0; ;1; ;0;0; ;18; ;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;5;1;0;0;0;0;0; ;3; ;0;2; ;1;1;1;0;1;1;0;3;0;1;0;0;1;4;0;0;0;4
120040;1200401;12;1;Rio Branco;336038;308545;27493;4;8834,942;1;1200403306082;UNIDADE DE ACOLHIMENTO SERVIÇO DE ACOLHIMENTO FAMILIAR;32;TAMISA;96; ;MANOEL JULIAO; ;69918-884;1200401;AC; ;(68) 3223-6768; ; ;07/10/2013;-9.975;-67.81;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2013;0;0; ;4; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3; ;0; ;0; ;0; ;0; ;0; ;0;0; ;6; ;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;1;1;0;0;0; ;2; ;1;1; ;1;1;0;0;0;0;0;5;1;1;0;0;2;4;0;0;1;5
130250;1302504;13;1;Manacapuru;85141;60174;24967;3;7336,579;1;1302503305939;UNIDADE DE ACOLHIMENTO - FAMÍLIA ACOLHEDORA;32;Raimundo Pacheco Teles;878; ;São José; ;69400-752;1302504;AM; ;(92) 99148-3009; ; ;10/11/2014;-33.001.661.198.568.200;-6.062.097.072.601.310;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2015;1;937; ;6; ;3;0;0;1;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;3; ;1; ;1; ;1; ;1; ;1; ;1;0; ;1; ;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0; ;3; ;2;3; ;1;1;2;1;3;0;9;1;0;1;0;0;0;0;0;0;10;10
130340;1303403;13;1;Parintins;102033;69890;32143;4;5956,373;1;1303403309096;UNIDADE DE ACOLHIMENTO FAMILIAR EM FAMÍLIA ACOLHEDORA;32;FURTADO BELÉM;493;casa;CENTRO; ;69151-000;1303403;AM; ;(92) 99270-3249; ; ;01/10/2017;-2.625.971.318.888.770;-5.672.906.398.773.190;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;2;2017;1;954; ;5; ;5;3;0;0;0;0;0;3;2;0;0;0;0;0;2;0;0;5;0;0;0;0;0;5;0; ;5; ;0; ;0; ;1; ;5; ;0;0; ;18; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;1;1;0;0;0; ;4; ;1;1; ;1;1;3;2;5;0;1;1;0;2;0;0;0;0;0;0;2;2
150230;1502301;15;1;Capitão Poço;51893;21441;30452;3;2899,553;1;1502303306524;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;32;JOSEFA ALVES BEZERRA;381; ;TATAJUBA;NO MESMO ESPAÇO DA UNIDADE DE ACOLHIMENTO INSTITUCIONAL MUNICIPAL;68650-000;1502301;PA; ;(91) 99808-4500; ; ;15/06/2010;-17.424.074.339.772.600;-4.706.775.101.743.910;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2011;1;150; ;1; ;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0; ;0; ;0; ;0; ;0; ;1; ;0; ;1;17; ;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;6;0;1;0;0;0;0; ;3; ;0;3; ;1;1;0;1;1;0;0;3;1;1;0;0;1;0;0;0;3;3
150320;1503200;15;1;Igarapé-Açu;35887;21207;14680;2;785,983;1;1503203308388;UNIDADE DE ACOLHIMENTO;35;SETE DE SETEMBRO;3100; ;CENTRO; ;68725-000;1503200;PA; ;(91) 3441-1304; ; ;12/05/2014;-11.295.016.102.126.300;-47.625.539.302.825.900;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2014;1;9540; ;3; ;3;0;1;0;0;0;0;1;1;0;0;0;1;0;2;1;0;0;0;2;0;0;0;3;0; ;0; ;1; ;0; ;0; ;0; ;0; ;1; ;1;2;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;5;0;1;1;0;0;0; ;2; ;0;3; ;1;1;1;2;3;1;1;5;1;2;0;1;1;1;0;0;6;7
150510;1505106;15;1;Óbidos;49333;25466;23867;2;28021,443;1;1505103306376;UNIDADE DE ACOLHIMENTO - FAMILIA ACOLHEDORA;35;LIBERDADE;0; ;Fatima; ;68250-000;1505106;PA; ;(93) 99213-6094; ; ;23/01/2012;-19.095.615.983.398.100;-55.514.726.042.747.500;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2012;1;400; ;6; ;5;0;1;1;0;0;0;2;0;1;2;0;0;0;3;0;0;0;5;0;0;0;0;5;1; ;0; ;0; ;0; ;5; ;0; ;0;0; ;17; ;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;5;0;1;1;0;0;0; ;3; ;0;0; ;1;1;2;3;5;0;1;3;0;1;0;1;1;0;0;0;4;4
150563;1505635;15;1;Piçarra;12697;3581;9116;1;3312,708;1;1505633308394;UNIDADE DE ACOLHIMENTO;32;RUA PAULO FONTELES;0; ;CENTRO; ;68575-000;1505635;PA; ;(94) 43422-1309; ; ;02/07/2015;-6.438;-48.872;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2015;1;954; ;6; ;3;0;0;0;1;0;0;1;0;0;0;2;0;0;2;0;1;0;0;0;2;0;0;3;3; ;0; ;1; ;0; ;3; ;0; ;0; ;1;18; ;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;5;0;0;0;0;0;1; ; ; ;0;0; ;1;1;1;2;3;0;0;2;0;1;0;0;1;0;0;0;2;2
150680;1506807;15;1;Santarém;294580;215790;78790;4;17898,389;1;1506803308526;Unidade de Acolhimento - Serviço de Acolhimento em Família Acolhedora;3;Sérgio Henn;838; ;Aeroporto Velho;O Serviço fica localizado no prédio da Secretaria Municipal de Trabalho e Assistência Social (SEMTRAS) que fica ao lado da Prefeitura Municipal de Santarém.;68020-250;1506807;PA; ;(93) 2101-5130;201; ;18/03/2014;-2.443;-54.708;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2014;0;0; ;13; ;2;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;2;8; ;3; ;0; ;0; ;2; ;1; ;0;0; ;17; ;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;1;1;1;0;0;Agente de Proteção;3; ;3;2; ;2;1;1;1;2;0;2;2;0;2;0;0;1;0;0;0;4;4
