IBGE;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;q_33_2;q_33_3;q_33_9;q_33_10;q_33_11;q_33_12;q_33_13;q_33_14;DataCenso;DataCenso_2018;q_33_2_rec;Idade;d_33_2_Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
316555;3165552;31;3;Setubinha;266651;10885;2802;8083;1;534,655;1;3165553305505;19/06/1987;1;257;273;142;218;20;02/06/2013;31.08.2018;8/31/2018;6/19/1987;31;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;0;2;0;1;0;0;1;0;0;0;2;2
421720;4217204;42;4;São Miguel do Oeste;174732;36306;32065;4241;2;234,036;1;4217203308694;17/10/1987;1;257;273;138;218;20;13/02/2017;31.08.2018;8/31/2018;10/17/1987;30;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;0;2;0;1;0;0;1;2;0;0;0;2
110020;1100205;11;1;Porto Velho;540320;428527;390733;37794;4;34090,962;1;1100203309440;16/03/1981;1;257;274;138;218;20;16/08/2010;31.08.2018;8/31/2018;3/16/1981;37;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;0;3;0;1;0;0;2;3;0;0;0;3
110020;1100205;11;1;Porto Velho;540320;428527;390733;37794;4;34090,962;1;1100203309440;07/07/1986;1;257;273;138;218;18;27/09/2010;31.08.2018;8/31/2018;7/7/1986;32;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;0;3;0;1;0;0;2;3;0;0;0;3
110020;1100205;11;1;Porto Velho;540320;428527;390733;37794;4;34090,962;1;1100203309440;22/11/1982;1;257;274;138;21;20;13/12/2017;31.08.2018;8/31/2018;11/22/1982;35;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;0;3;0;1;0;0;2;3;0;0;0;3
110033;1100338;11;1;Nova Mamoré;540320;22546;13067;9479;2;10071,643;1;1100333309456;27/11/1993;1;257;274;138;218;20;16/10/2017;31.08.2018;8/31/2018;11/27/1993;24;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ;1;0;3;0;1;0;0;1;4;0;0;0;4
110033;1100338;11;1;Nova Mamoré;540320;22546;13067;9479;2;10071,643;1;1100333309456;26/06/1983;1;257;273;138;21;20;16/10/2017;31.08.2018;8/31/2018;6/26/1983;35;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;1;0;3;0;1;0;0;1;4;0;0;0;4
110033;1100338;11;1;Nova Mamoré;540320;22546;13067;9479;2;10071,643;1;1100333309456;15/07/1965;0;252;239;138;372;20;01/08/2018;31.08.2018;8/31/2018;7/15/1965;53;4;0;1;1; ; ; ; ; ; ; ;1; ; ; ;1;0;3;0;1;0;0;1;4;0;0;0;4
110033;1100338;11;1;Nova Mamoré;540320;22546;13067;9479;2;10071,643;1;1100333309456;16/10/1977;1;257;238;138;216;20;01/08/2018;31.08.2018;8/31/2018;10/16/1977;40;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;0;3;0;1;0;0;1;4;0;0;0;4
120040;1200401;12;1;Rio Branco;418113;336038;308545;27493;4;8834,942;1;1200403306082;22/01/1982;1;258;274;138;218;20;03/02/2010;31.08.2018;8/31/2018;1/22/1982;36;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;0;5;1;1;0;0;2;4;0;0;1;5
120040;1200401;12;1;Rio Branco;418113;336038;308545;27493;4;8834,942;1;1200403306082;28/06/1971;0;257;275;138;21;20;01/01/2018;31.08.2018;8/31/2018;6/28/1971;47;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;0;5;1;1;0;0;2;4;0;0;1;5
120040;1200401;12;1;Rio Branco;418113;336038;308545;27493;4;8834,942;1;1200403306082;03/07/1972;1;258;274;138;218;20;01/06/2018;31.08.2018;8/31/2018;7/3/1972;46;3;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;0;5;1;1;0;0;2;4;0;0;1;5
120040;1200401;12;1;Rio Branco;418113;336038;308545;27493;4;8834,942;1;1200403306082;25/02/1986;1;257;237;138;217;263;03/11/2016;31.08.2018;8/31/2018;2/25/1986;32;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;0;5;1;1;0;0;2;4;0;0;1;5
120040;1200401;12;1;Rio Branco;418113;336038;308545;27493;4;8834,942;1;1200403306082;21/01/1990;1;257;273;293;218;20;03/11/2016;31.08.2018;8/31/2018;1/21/1990;28;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;0;5;1;1;0;0;2;4;0;0;1;5
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;21/09/1989;1;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;9/21/1989;28;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;25/02/1991;1;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;2/25/1991;27;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;01/04/1997;1;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;4/1/1997;21;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;11/03/1997;0;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;3/11/1997;21;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;05/06/1971;0;255;238;266;349;263;02/01/2017;31.08.2018;8/31/2018;6/5/1971;47;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
130250;1302504;13;1;Manacapuru;2039536;85141;60174;24967;3;7336,579;1;1302503305939;20/06/1972;1;258;273;266;21;18;01/09/2015;31.08.2018;8/31/2018;6/20/1972;46;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;9;1;0;1;0;0;0;0;0;0;10;10
