IBGE;Ident_0_1;Ident_0_2;Ident_0_3;Ident_0_4;Ident_0_5;Ident_0_6;Ident_0_7;Ident_0_8;Ident_0_9;Ident_0_10;Ident_0_11;Ident_0_12;Ident_0_13;Ident_0_14;Latitude;Longitude;q_1;q_2_1;q_2_2;q_2_3;q_2_4;q_2_5;q_2_6;q_2_7;q_2_99;q_2_99_1;q_3_1;q_3_2;q_3_3;q_3_4;q_3_5;q_3_6;q_3_7;q_3_8;q_3_9;q_4;q_4_99;q_5;q_5_99;q_6;q_6_99;q_7_1_1;q_7_1_2;q_7_1_3;q_7_1_0;q_7_2_1;q_7_2_2;q_7_2_3;q_7_2_4;q_7_2_5;q_7_2_0;q7_3_1;q7_3_2;q7_3_3;q7_3_4;q7_3_0;q_8;q_9_1;q_9_2;q_9_3;q_9_4;q_9_99;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_6;q_10_7;q_10_8;q_10_9;q_10_10;q_10_11;q_10_12;q_10_13;q_10_99;q_10_99_1;q_11;q_12;q_13_1;q_13_2;q_13_1_1;q_13_2_1;q_14_1;q_14_2;q_14_3;q_14_4;q_14_5;q_14_6;q_14_7;q_14_8;q_14_9;q_14_99;q_14_99_1;q_15;q_16_1;q_16_2;q_16_3;q_16_4;q_16_5;q_16_6;q_16_7;q_16_8;q_16_9;q_17_1;q_17_2;q_17_3;q_17_4;q_17_1_1;q_17_2_1;q_17_3_1;q_17_4_1;q_18;q_19_1;q_19_2;q_19_3;q_19_4;q_19_5;q_19_6;q_19_7;q_19_99;q_19_99_1;q_20;q_21;q_22;q_23_1_1;q_23_1_2;q_23_1_3_1;q_23_1_3_2;q_23_2_1;q_23_2_2;q_23_2_3_1;q_23_2_3_2;q_23_3_1;q_23_3_2;q_23_3_3_1;q_23_3_3_2;q_23_4_1;q_23_4_2;q_23_4_3_1;q_23_4_3_2;q_24_1_1;q_24_1_2;q_24_2_1;q_24_2_2;q_24_3_1;q_24_3_2;q_24_4_1;q_24_4_2;q_25_1_1;q_25_1_2;q_25_2_1;q_25_2_2;q_25_3_1;q_25_3_2;q_25_4_1;q_25_4_2;q_25_5_1;q_25_5_2;q_25_6_1;q_25_6_2;q_26;q_27;q_28;q_29;q_30;q_31;q_32;q_33;q_34_1;q_34_1_2;q_34_1_3;q_34_1_99;q_34_1_99_1;q_35;q_36_1_1;q_36_1_2;q_36_1_3;q_36_1_4;q_36_1_5;q_36_2_1;q_36_2_2;q_36_2_3;q_36_2_4;q_36_2_5;d_37_9bin1_sum;d_37_9bin2_sum;d_37_9bin3_sum;d_37_10bin1_sum;d_37_10bin2_sum;d_37_10bin3_sum;d_37_10bin4_sum;d_37_10bin5_sum;d_37_11bin1_sum;d_37_11bin2_sum;d_37_11bin3_sum;d_37_11bin4_sum;nu_trabalhador
11;Secretaria de Estado da Assistência e do Desenvolvimento Social;3;Farquar;2986;Complexo Rio Madeira, Prédio Rio Jamarí, 1º Andar;Pedrinhas;Entre Avenida Farquar e Rua PIO XII.;76801-348;PORTO VELHO;RO;cas@seas.ro.gov.br;(69) 32165399;0;(69) 84829984;-8749704828268130;-6,39104318618774E+015;2;0;0;0;1;1;1;1;1;CREPAD E PROCON;1;2;0;0;1;1;1;1;2; ;1;2017; ; ;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;0;0;35;1;10;1;1;1;7;0;1;1;1140;1;0;0; ; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;2;6;2;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ; ;4;8; ;7; ; ; ;1; ;11; ;12
12;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;3;NAÇÕES UNIDAS;2731;Ao lado do ISE;ESTAÇÃO EXPERIMENTAL; ;69918-172;RIO BRANCO;AC;gabinete.seds@ac.gov.br;(68) 32262937; ;(68) 32262937;-996686403427369;-6,78315210342407E+015;1; ; ; ; ; ; ; ; ; ;2;2;2;0;2;2;2;2;2; ;1;2015; ;2017; ;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;0;22;22;1;23;0;1;0; ; ; ;1;1589;1;0;0; ; ; ;1;60;0; ;1;100;0; ;6;6;3;2;2;2;0;1;1;1;0;0;1;1;1;1;3;4;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;21;38;81;7;21;1;5;3;78; ;45;17;140
13;SECRETARIA DE ESTADO DE ASSISTÊNCIA SOCIAL;3;Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping;69050-020;MANAUS;AM;dgsuas@seas.am.gov.br;(92) 21217818;0;-92;-3.09254343288988E+16;-6,00218510627746E+016;1; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;1;2017; ;2016; ; ;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;0;0;19;0; ; ; ;0; ; ; ;1;659;1;0;1;67;1;0;1;548;0; ;1;237;0; ;3;3;3;4;2;4;2;1;1;0;1;0;1;1;1;1;5;2;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;23;86;187;2;65; ;6;26;78;20;120;78;296
14;SECRETARIA DE ESTADO DO TRABALHO E BEM-ESTAR SOCIAL;3;MARIO HOMEM DE MELO;2310;não tem;MECEJANA;ao lado da escola Estadual Ana Libória;69304-350;BOA VISTA;RR;gabinetesetrabes@gmail.com;(95) 21212630;2632;(95) 21212640;28224792;-60693928;2;0;0;0;1;1;1;0;0; ;2;2;2;1;1;1;1;1;2; ;1;2016; ;2017; ;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1; ;8;1;1;1;1;1;1;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;15;15;1;146;0;1;0; ; ; ;1;89;1;0;0; ; ; ;1;25;0; ;1;25;0; ;6;6;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;9;1;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;104;396;148;7;21;1;3;10;405; ;142;101;648
15;SECRETARIA DE ESTADO  DE ASSISTÊNCIA SOCIAL, TRABALHO, EMPREGO E RENDA;3;GOVERNADOR JOSÉ MALCHER;1018;entre a Alameda Joaquim Nabuco e Av. Wandecolk;NAZARÉ;PANIFICADORA METROPOLE;66055-260;BELEM;PA;seasterpa@yahoo.com.br;(91) 32391414; ;(91) 32196304;-1450791275261860;-4,84850692749023E+015;2;0;0;0;0;0;1;0;0; ;0;2;2;0;2;2;2;2;2; ;1;2016; ;2017; ;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0; ;1;1;0;1; ;17;1;1;1;0;0;0;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;144;56;0; ; ; ;0; ; ; ;1;343;1;0;0; ; ; ;1;36;0; ;1;108;0; ;7;7;2;2;2;2;1;1;1;1;1;1;1;1;1;1;5;2;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ; ;8;115;7;65; ;1;14;105; ;9;9;123
16;Secretaria da Inclusão e Mobilização Social;3;Rio Vila Nova;7;Centro Administrativo, Bloco C;Central; ;68900-081;MACAPA;AP;sims@sims.ap.gov.br;(96) 21013431; ;(96) 21013405;0.4126856;-517352709;2;0;0;0;1;0;0;0;1;nda e cidadania;2;2;2;2;1;1;1;2;0; ;1;2012; ;2012; ;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;0;0;16;1;34;1;0;0; ; ; ;1;171;1;0;0; ; ; ;1;5;0; ;1;24;0; ;6;6;3;3;1;1;0;0;1;1;1;0;0; ;1;1;5;3;0;2;0;0;1;1;PLano cargos carreiras do Estado;2015;0; ; ; ; ;0; ; ; ; ; ;18;77;4;37; ;1;4;71; ;23;1;95
17;SECRETARIA DO TRABALHO E DA ASSISTÊNCIA SOCIAL;27;Esplanada das Secretarias Praça dos Girassois;0; ;centro; ;77001-002;PALMAS;TO;gabinete@setas.to.gov.br;(63) 32181926; ;(63) 32181990;-1.01823362602027E+16;-483307671546936;2;0;0;0;0;1;1;0;1;Economia Solidária;1;2;2;0;2;1;1;1;1; ;1;2016; ;2017; ;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;0;1; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1; ; ; ;1; ; ; ; ; ; ; ; ; ;0;0;139;1;37;1;1;0; ; ; ;1;1859;1;0;0; ; ; ;0; ;0; ;0; ;0; ;8;8;5;5;1;1;0;0;2;2;0;0;1;1;1;1;1;10;0;2;0;0;0;1;SECAD (secretaria da Administração);2014;0; ; ; ; ;0; ; ; ; ; ;15;87;14;33; ;1;2;69; ;24;9;102
21;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;32;DAS GARDÊNIAS, QUADRA 01;25; ;JARDIM RENASCENÇA;PLANTA TOWER , OFICE TOWER;65075-080;SAO LUIS;MA;saas100@outlook.com;(98) 20169200; ;-98;-2.50146992299313E+16;-4,42902874946594E+015;2;0;0;0;0;1;1;0;0; ;1;1;2;0;1;1;1;1;1; ;1; ;1;2017; ;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;Reunião de Apoio Técnico, Plantão de Atendimento e Elaboração de Boletim Informativo da Vigilância Socioassistencial;1;4;77;1;104;1;1;0; ; ; ;1;1227;1;0;0; ; ; ;1;1;0; ;1;1;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;1;0;0;1;0; ;2015;0; ; ; ; ;0; ; ; ; ; ;11;49;4;30; ; ;2;24;6;20;10;60
22;SECRETARIA DA ASSISTENCIA SOCIAL E CIDADANIA - SASC;32;ACRE;340; ;CABRAL;PROXIMO A ASSEMBLEIA LEGISLATIVA;64001-650;TERESINA;PI;sasc@sasc.pi.gov.br;(86) 32264880; ;(86) 32217126;-5080185439245900;-4,27992904186248E+015;2;0;0;0;0;1;0;1;0; ;1;2;2;0;1;1;1;1;2; ;1;2012; ;2017; ;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;1;0;0;0;0;0;0;1;0; ; ;20; ;1; ; ; ; ; ; ; ; ; ;1;80;173;1;38;0;1;0; ; ; ;1;953;1;0;1;76;1;0;0; ;0; ;0; ;0; ;6;6;4;6;1;0;0;0;1;0;0;0;1;1;1;1;1;6;0;1;1;0;0;0; ;2014;0; ; ; ; ;0; ; ; ; ; ;3;22;3;16; ; ;2;8; ;11;6;25
23;SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL;32;SORIANO ALBUQUERQUE;230; ;Joaquim Távora;PRÉDIO DA ANTIGA L.B.A.;60130-160;FORTALEZA;CE;gabinete@stds.ce.gov.br;(85) 31014597;2121;(85) 31012121;-3.7477716410239104E+16;-3,85192573070526E+015;2;0;0;0;0;1;1;0;0; ;1;1;2;2;1;1;1;1;1; ;1;2017; ;2017; ;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;0;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;0;0;0;0;0;0;0;1;0;0; ;2; ; ;1; ; ; ; ; ; ; ; ;Atendimento no órgão gestor estadual.;1;184;158;1;10;0;1;0; ; ; ;1;1437;1;0;0; ; ; ;1;36;0; ;1;300;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;8;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;68;140;158;25;35; ;9;6;110;39;1;216;366
