IBGE7,IBGE_2,NU_IDENTIFICADOR,Região,UF,codigo_ibge,q0_1,q1_1,q1_2,q3,q7,q8,incompletos,IBGE,uf_s,Região_2,UF_2,Municipio_2013,area,Pop_Total2010,Pop_Urbana2010,Pop_Rural2010,Porte_pop2010
2200053,220005,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220005,PI,Região Nordeste,PI,Acauã,1029.41,6749,901,5848,Pequeno I
2200103,220010,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220010,PI,Região Nordeste,PI,Agricolândia,112.42,5098,3602,1496,Pequeno I
2200202,220020,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220020,PI,Região Nordeste,PI,Água Branca,97.04,16451,14539,1912,Pequeno I
2200251,220025,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220025,PI,Região Nordeste,PI,Alagoinha do Piauí,448.1,7341,2669,4672,Pequeno I
2200277,220027,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220027,PI,Região Nordeste,PI,Alegrete do Piauí,281.27,5153,2837,2316,Pequeno I
2200301,220030,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220030,PI,Região Nordeste,PI,Alto Longá,1621.35,13646,6714,6932,Pequeno I
2200400,220040,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220040,PI,Região Nordeste,PI,Altos,957.62,38822,27388,11434,Pequeno II
2200459,220045,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220045,PI,Região Nordeste,PI,Alvorada do Gurguéia,2131.94,5050,1849,3201,Pequeno I
2200509,220050,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220050,PI,Região Nordeste,PI,Amarante,1304.78,17135,8772,8363,Pequeno I
2200608,220060,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220060,PI,Região Nordeste,PI,Angical do Piauí,201.21,6672,5214,1458,Pequeno I
2200707,220070,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220070,PI,Região Nordeste,PI,Anísio de Abreu,326.82,9098,4503,4595,Pequeno I
