IBGE;UF;Região;Pop_Total2010;Quant_municipios;q19_3;q19_8;q19_9;q19_10;q19_11;q19_12;q19_13;q19_2_rec;Idade;Faixas_etarias;d_19_8;d_19_8bin1;d_19_8bin2;d_19_8bin3;d_19_9;d_19_9bin1;d_19_9bin2;d_19_9bin3;d_19_9bin4;d_19_9bin5;d_19_10;d_19_10bin1;d_19_10bin2;d_19_10bin3;d_19_10bin4;d_19_8bin1_sum;d_19_8bin2_sum;d_19_8bin3_sum;d_19_9bin1_sum;d_19_9bin2_sum;d_19_9bin3_sum;d_19_9bin4_sum;d_19_9bin5_sum;d_19_10bin1_sum;d_19_10bin2_sum;d_19_10bin3_sum;d_19_10bin4_sum;nu_trabalhadores
11;RO;Norte;1562409;52;Masculino;Ensino Superior Incompleto;Outro(a) profissional de nível superior;Comissionado (a);Outros;De 31 a 40 horas semanais;;20/mai/99;20;16 a 29 anos;Nível Médio;#NULO!;Nível Médio;#NULO!;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;1,00;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;1,00;#NULO!;1,00;#NULO!;2
11;RO;Norte;1562409;52;Masculino;Especialização;Administrador (a);Servidor/Estatutário (a);Outros;De 31 a 40 horas semanais;;11/abr/78;41;41 a 50 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;#NULO!;1,00;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;1,00;#NULO!;1,00;#NULO!;2
12;AC;Norte;733559;22;Feminino;Ensino Superior Completo;Outro(a) profissional de nível superior;Comissionado (a);Técnico(a) de nível superior;De 31 a 40 horas semanais;;18/mar/85;34;30 a 40 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;1,00;5,00;#NULO!;2,00;#NULO!;#NULO!;#NULO!;2,00;#NULO!;4,00;#NULO!;6
12;AC;Norte;733559;22;Feminino;Ensino Superior Completo;Assistente Social;Comissionado (a);Ordenador(a) de Despesas;De 31 a 40 horas semanais;27/05/2019;22/ago/78;41;41 a 50 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Assistente Social;#NULO!;Assistente Social;#NULO!;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;1,00;5,00;#NULO!;2,00;#NULO!;#NULO!;#NULO!;2,00;#NULO!;4,00;#NULO!;6
12;AC;Norte;733559;22;Feminino;Ensino Superior Completo;Assistente Social;Servidor/Estatutário (a);Coordenador(a);De 31 a 40 horas semanais;;30/mai/75;44;41 a 50 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Assistente Social;#NULO!;Assistente Social;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;#NULO!;1,00;5,00;#NULO!;2,00;#NULO!;#NULO!;#NULO!;2,00;#NULO!;4,00;#NULO!;6
12;AC;Norte;733559;22;Feminino;Ensino Superior Completo;Outro(a) profissional de nível superior;Comissionado (a);Técnico(a) de nível superior;De 31 a 40 horas semanais;;27/fev/73;46;41 a 50 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;1,00;5,00;#NULO!;2,00;#NULO!;#NULO!;#NULO!;2,00;#NULO!;4,00;#NULO!;6
12;AC;Norte;733559;22;Feminino;Ensino Superior Completo;Outro(a) profissional de nível superior;Comissionado (a);Técnico(a) de nível superior;De 31 a 40 horas semanais;;17/out/64;54;51 a 60 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;1,00;5,00;#NULO!;2,00;#NULO!;#NULO!;#NULO!;2,00;#NULO!;4,00;#NULO!;6
12;AC;Norte;733559;22;Feminino;Ensino Médio Completo;Profissional de nível médio;Servidor/Estatutário (a);Técnico(a) de nível superior;De 31 a 40 horas semanais;;01/out/58;60;51 a 60 anos;Nível Médio;#NULO!;Nível Médio;#NULO!;Profissional de nível médio;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;#NULO!;1,00;5,00;#NULO!;2,00;#NULO!;#NULO!;#NULO!;2,00;#NULO!;4,00;#NULO!;6
13;AM;Norte;3483985;62;Masculino;Ensino Superior Completo;Administrador (a);Comissionado (a);Técnico(a) de nível superior;De 31 a 40 horas semanais;;13/mai/78;41;41 a 50 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;#NULO!;2,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;1,00;#NULO!;1,00;#NULO!;2
13;AM;Norte;3483985;62;Feminino;Ensino Superior Completo;Contador;Servidor/Estatutário (a);Técnico(a) de nível superior;De 31 a 40 horas semanais;;07/out/56;62;Mais de 60 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;2,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;1,00;#NULO!;1,00;#NULO!;2
