NU_IDENTIFICADOR;IBGE;IBGE7;Regiao;UF;Município;Municipio_2013;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;Q_completo;q33_3;q33_9;q33_10;q33_11;q33_12;q33_13;q33_14;q33_15_1;q33_15_2;q33_15_3;q33_5_velha;q33_14_velha;DataCenso;DataCenso_2019;q33_2_rec;Idade;Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
11002096408;110020;1100205;1;11;Porto Velho;Porto Velho;34082,37;428527;390733;37794;4;0;2;257;274;138;249;18;20/03/2014;2; ; ;2798539;20/03/2014;31.08.2019;8/31/2019;1/10/1985;34;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;0;3;0;0;0;0;1;2;0;1;0;3
11002096408;110020;1100205;1;11;Porto Velho;Porto Velho;34082,37;428527;390733;37794;4;0;1;257;276;292;21;20;08/04/2015;99; ; ;200600206;08/04/2015;31.08.2019;8/31/2019;8/23/1963;56;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ;0;0;3;0;0;0;0;1;2;0;1;0;3
11002096408;110020;1100205;1;11;Porto Velho;Porto Velho;34082,37;428527;390733;37794;4;0;1;257;238;138;254;20;30/05/2014;99; ; ;827299;30/05/2014;31.08.2019;8/31/2019;7/24/1984;35;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;0;3;0;0;0;0;1;2;0;1;0;3
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;1;256;239;142;253;18;02/01/2018;2;3; ;13052209;02/01/2018;31.08.2019;8/31/2019;5/20/1998;21;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;4;14;4;0;3;0;0;1;2;0;1;19;22
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;2;256;239;142;253;18;22/07/2019;1; ; ;1074604;22/07/2019;31.08.2019;8/31/2019;7/14/1994;25;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;4;14;4;0;3;0;0;1;2;0;1;19;22
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;2;256;239;142;253;18;08/07/2019;3;4; ;10590803;08/07/2019;31.08.2019;8/31/2019;8/15/1996;23;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;4;14;4;0;3;0;0;1;2;0;1;19;22
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;1;256;239;142;253;18;08/10/2018;2;3; ;12767824;08/10/2018;31.08.2019;8/31/2019;5/15/2000;19;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;4;14;4;0;3;0;0;1;2;0;1;19;22
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;1;256;239;142;253;18;15/02/2019;2;3; ;415901;15/02/2019;31.08.2019;8/31/2019;8/4/1985;34;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;4;14;4;0;3;0;0;1;2;0;1;19;22
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;2;255;238;138;248;20;15/02/2008;2; ; ;432448;15/02/2008;31.08.2019;8/31/2019;5/14/1965;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;4;14;4;0;3;0;0;1;2;0;1;19;22
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;1;257;274;138;249;20;22/02/2019;2;3; ;11001194;22/02/2019;31.08.2019;8/31/2019;9/14/1990;28;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ;4;14;4;0;3;0;0;1;2;0;1;19;22
12004097308;120040;1200401;1;12;Rio Branco;Rio Branco;9222,58;336038;308545;27493;4;0;1;258;273;293;249;20;21/07/2016;2; ; ;420089;21/07/2016;31.08.2019;8/31/2019;1/14/1984;35;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;4;14;4;0;3;0;0;1;2;0;1;19;22
