Código;Nome
NU_IDENTIFICADOR;NU_IDENTIFICADOR_id_creas_pop_NU_IDENTIFICADOR
IBGE;IBGE_codigo_ibge_IBGE
IBGE7;IBGE7
Região;Grande Região
UF;Unidade da Federação
Município;Município
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
Pop_Total2010;Pop_Total2010
Pop_Urbana2010;Pop_Urbana2010
Pop_Rural2010;Pop_Rural2010
area;area
Latitude;Latitude_p_latitude_43. Latitude
Longitude;Longitude_p_longitude_44. Longitude
Q_completo;Q_completo
q0_1;q0_1_v10083_0.1. Nome que identifica o Centro POP:
q0_3;q0_3_v10085_0.3. Endereço:
q0_5;q0_5_v10087_0.5. Complemento:
q0_6;q0_6_v10088_0.6. Bairro:
q0_7;q0_7_v10089_0.7. Ponto de Referência:
q0_8;q0_8_v10090_0.8. CEP:
q0_9;q0_9_v10091_0.9. Município:
q0_11;q0_11_v10093_0.11. E-mail:
q0_12;q0_12_v10094_0.12. DDD - Telefone:
q0_15;q0_15_v10097_0.15. Data de implantação do Centro POP:
q0_2;q0_2_v10084_0.2. Selecione/Indique o Tipo de Logradouro (avenida, rua, etc):
q0_4;q0_4_v10086_0.4. Número:
q0_10;q0_10_v10092_0.10. UF:
q0_13;q0_13_v10095_0.13. Ramal:
q0_14;q0_14_v10096_0.14. Fax:
q1_1;q1_1_v10098_1.1. Horário de funcionamento - Dias por semana:
q1_2;q1_2_v10099_1.2. Horário de funcionamento - Horas por dia:
q2;q2_v10101_2. O imóvel de funcionamento desta Unidade é compartilhado?
q3_1;q3_1_v10102_1_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.1: Secretaria da Assistência Social ou congênere
q3_2;q3_2_v10102_2_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para PopRua compartilha o imóvel.2: Outra unidade administrativa (Sede de Prefeitura, Administração Regional, Sub-Prefeitura etc)
q3_3;q3_3_v10102_3_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.3: Conselho Municipal de Assistência Social
q3_4;q3_4_v10102_4_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.4: CRAS – Centro de Referência de Assistência Social
q3_5;q3_5_v10102_5_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.5: CREAS – Centro de Referência Especializado de Assistência Social
q3_6;q3_6_v10102_6_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.6: Unidade de Acolhimento institucional (Abrigo)
q3_7;q3_7_v10102_7_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.7: Outra unidade pública de serviços da Assistência Social
q3_8;q3_8_v10102_8_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.8: Entidade e/ou Organizações da Sociedade Civil/Associação Comunitária
q3_99;q3_99_v10102_99_3. Especifique o tipo de unidade com a qual este Centro de Referência Especializado para População em Situação de Rua compartilha o imóvel.99: Outros
q3_99_1;q3_99_1_v10103_3.99.1. Qual?
q4_1;q4_1_v10104_1_4.Especifique espaço imóvel compartilhados entre Centro Ref PopRua e outra Un:1: Apenas o endereço é o mesmo, todos os espaços do Centro de Referência para PopRua são independentes e de uso exclusivo, inclusive a entrada
q4_2;q4_2_v10104_2_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:2: Entrada / Porta de Acesso
q4_3;q4_3_v10104_3_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:3: Recepção
q4_4;q4_4_v10104_4_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:4: Algumas salas de atendimento
q4_5;q4_5_v10104_5_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:5: Todas as salas de atendimento
q4_6;q4_6_v10104_6_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:6: Salas administrativas
q4_7;q4_7_v10104_7_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:7: Espaço para atividades coletivas
q4_8;q4_8_v10104_8_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:8: Banheiros
q4_9;q4_9_v10104_9_4. Especifique quais espaços do imóvel são compartilhados entre o Centro de Referência Especializado para População em Situação de Rua e a outra Unidade:9: Copa/cozinha
