IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q1_1;q2;q3;q4;q5;q6;q7;q8_1;q8_2;q8_3;q8_4;q8_5;q8_6;q8_7;q8_8;q8_9;q8_10;q8_11;q8_99;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q10_1;q10_2;q10_3;q10_4;q10_5;q10_6;q10_7;q10_8;q10_9;q10_10;q10_11;q10_12;q10_13;q11_1;q11_2;q11_3;q11_4;q12;q13;q14_1;q14_2;q15_1;q15_2;q16;q17;q18;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8;q20;q21;q22;q22_98;q23_1;q23_2;q23_3;q23_4;q23_99;q23_99_1;q24_1;q24_2;q24_3;q24_4;q24_5;q24_6;q24_7;q24_8;q24_99_1;q25;q26;q27;q28_0;q28_1;q28_2;q28_3;q28_4;q28_5;q28_6;q28_7;q29;q30_1;q30_2;q30_3;q30_4;q30_5;q30_99;q30_99_1;q31;q31_1_99;q32_1;q32_2;q32_3;q32_4;q32_5;q32_6;q32_7;q32_8;q32_9;q32_10;q32_11;q32_12;q32_13;q32_14;q32_15;q32_16;q32_17;q32_18;q32_19;q32_20;q32_21;q32_22;q32_23;q32_24;q32_25;q32_26;q32_27;q32_28;q32_29;q32_99;q32_99_1;q33;q34;q35;q36;q36_98;q37;q38;q39;q40;q41_1;q41_2;q41_3;q41_4;q41_5;q42;q43;q44;q45_1;q45_1_98;q45_2;q45_2_98;q45_3;q45_3_98;q46;q47;q48;q48_1;q49_1;q49_2;q49_3;q49_4;q49_5;q49_6;q49_7;q49_8;q49_9;q49_99;q49_99_1;q50;q51;q51_98;q52_1;q52_1_98;q52_2;q52_2_98;q53_1;q53_2;q53_3;q53_99;q53_0;q53_99_1;q54;q54_98;q55;q55_98;q56;q56_97;q57;q58;q59;q60;q61;q62;q63_1;q63_2;q63_0;q64_1;q64_2;q64_3;q64_4;q64_5;q64_6;q64_99;q64_99_1;q65_1;q65_2;q65_3;q65_4;q65_99;q65_0;q65_99_1;q66;q67_1;q67_2;q67_3;q67_4;q67_5;q67_6;q67_7;q67_8;q67_99;q67_99_1;q68_1;q68_2;q69_1;q69_2;q69_3;q69_4;q70_1;q70_2;q70_3;q70_4;q70_5;q70_6;UF;Regiao;Q_completo;q1_velha;q1_1_velha;q2_velha;q3_velha;q5_velha;q8_1_velha;q8_2_velha;q8_3_velha;q8_4_velha;q8_5_velha;q8_6_velha;q8_7_velha;q8_8_velha;q8_9_velha;q8_10_velha;q8_11_velha;q8_99_velha;q13_velha;q14_1_velha;q14_2_velha;q22_velha;q22_98_velha;q28_0_velha;q28_1_velha;q28_2_velha;q28_3_velha;q28_4_velha;q28_5_velha;q28_6_velha;q28_7_velha;q30_1_velha;q30_2_velha;q30_3_velha;q30_4_velha;q30_5_velha;q30_99_velha;q36_velha;q36_98_velha;q43_velha;q44_velha;q45_1_velha;q45_1_98_velha;q45_2_velha;q45_2_98_velha;q45_3_velha;q45_3_98_velha;q48_velha;q48_1_velha;q49_1_velha;q49_2_velha;q49_3_velha;q49_4_velha;q49_5_velha;q49_6_velha;q49_7_velha;q49_8_velha;q49_9_velha;q49_99_velha;q51_velha;q51_98_velha;q52_1_velha;q52_1_98_velha;q52_2_velha;q52_2_98_velha;q53_1_velha;q53_2_velha;q53_3_velha;q53_99_velha;q53_0_velha;q54_velha;q54_98_velha;q55_velha;q55_98_velha;q56_velha;q56_97_velha;q63_1_velha;q63_2_velha;q63_0_velha;q64_1_velha;q64_2_velha;q64_3_velha;q64_4_velha;q64_5_velha;q64_6_velha;q64_99_velha;q65_1_velha;q65_2_velha;q65_3_velha;q65_4_velha;q65_99_velha;q65_0_velha;q67_1_velha;q67_2_velha;q67_3_velha;q67_4_velha;q67_5_velha;q67_6_velha;q67_7_velha;q67_8_velha;q67_99_velha;d1;d3;d5;d9_exclusivas;d9_exclusivas_categoria;d9_compartilhadas;d9_compartilhadas_categoria;d9_maximo15;d9_maximo15_categoria;d9_mais15;d9_mais15_categoria;d9_total;d9_total_categoria;d9_5;d11_exclusivos;d11_exclusivos_categoria;d11_compartilhados;d11_compartilhados_categoria;d11_internet;d11_internet_categoria;d11_total;d11_total_categoria;d15_2;d25;d27;d31_1_99;d36;d45_1;d45_2;d45_3;d48_1;d50;d51;d52;d52_total;d54;d55;d56;d71_6bin1_sum;d71_6bin2_sum;d71_6bin3_sum;d71_6bin4_sum;d71_6bin1_TIT_sum;d71_6bin1_SUPL_sum;d71_6bin2_TIT_sum;d71_6bin2_SUPL_sum;d71_6bin3_TIT_sum;d71_6bin3_SUPL_sum;d71_6bin4_TIT_sum;d71_6bin4_SUPL_sum;d71_6bin5_TIT_sum;d71_6bin5_SUPL_sum;nu_conselheiros
11;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;DUQUE DE CAXIAS;654; ;CAIARÍ;Casa dos Conselhos - SEAS;76801-170;PORTO VELHO;11;ceas.ro@hotmail.com;(69) 3216-7387; ;(69) 3216-7387;-8.760.944.874.148.220;-6.390.558.242.797.850;1995; ;0; ;1;2019;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;1;1;0;0;1;0;1;0;1;0;1;0;1;1;2;1;0;0;1;1;1;0;5;6;1;1;3;1;1;1;1;3;3;3;3;1;3;4; ;1;1;1;1;0; ;0;1;1;1;1;1;0;0; ;0;1;18;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0; ;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;0; ;1;4;1;2018; ;1;1;1;1;3;3;3;3;2;3;2;1;2; ;3; ;5; ;0;1;4;2011;1;1;1;1;1;1;1;1;1;0; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ; ;1;1;2;1;1;1;1;1;1;0;1;1;1;0;1;1;0; ;0;1;0;0;0;0; ;1;1;1;1;1;0;1;0;1;0; ;18;18;9;9;18;18;3;3;3;6;6;6;11;1;0;1995; ;0; ;2019;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;4; ;0;1;0;0;0;0;0;0;0;1;1;0;1;0;2018; ;2;1;2; ;3; ;5; ;4;2011;1;1;1;1;1;1;1;1;1;0;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ; ;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;0;2; ;6;1;1;1;1;1;1;1;1;2;1;2;3;2;0;0;1;2;3;2;1; ;5; ;6;1;1;1;5;0;0;0;0;0;1; ;6;4;6;9;3;3;2;2;3;3;4;5;8;8;25
12;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Nações Unidas;2731; ;ESTAÇÃO EXPERIMENTAL;CASA DOS CONSELHOS;69918-172;RIO BRANCO;12;ceas.secias@ac.gov.br;(68) 3227-4269; ;(68) 3227-4269;-9.966.377.955.746.740;-6.783.214.330.673.210;1996; ;1;2001;1;2001;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;3;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;6;6;1;1;1;5;5;8;1;1;4;3;0;3;3;0;0;0;3;1;3;3; ;1;0;1;1;0; ;0;1;1;0;1;1;0;0; ;1;1;12;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0; ;0; ;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0; ;0;3;0; ; ;1;1;1;1;0;3;0;4;0;3;1;1;0; ;4; ;4; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;1;1;0;1;1;0;0;0;1;0; ;0;1;0;0;0;0; ;1;1;0;1;1;0;1;0;0;0; ;20;20;10;10;10;10;2;4;4;2;4;4;12;1;0;1996; ;1;2001;2001;0;0;0;0;0;0;0;0;0;0;1;0;1;1;5;3; ;0;1;1;0;0;0;0;0;0;1;1;0;0;0; ; ;1;1;0; ;4; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;2;3;3;2;2;2;2;2;2;2;2;4;1;2;2;2;12;5;7;4;14;5;1;1;5; ; ;0;1;1; ;0;0;0;0;0;1;1;8;6;3;17;3;5;3;3;3; ;8;9;9;8;34
13;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping.;69050-020;MANAUS;13;ceasamazonas@gmail.com;(92) 2121-7842; ;(92) 2121-7842;-3.092.684.239.623.740;-60.022.157.549.707;1995; ;1;2017;1;2019;1;1;1;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;2;1;1;0;0;1;1;0;0;1;0;1;1;1;1;5;5;0;0;1;1;7;1;5;8;1;1;1;3;3;3;3;3;0;3;3;1;1;3; ;1;1;1;0;1;realiza visitas da Comissão de acompanhamento aos CMAS, Convoca para Reuniões Ampliadas, mobiliza para cumprimento dos prazos.;1;1;1;1;1;1;1;0; ;2;1;14;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0; ;0; ;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;Acompanhamento a execução de Saldo do Fundo Estadual de Assistência Social - FEAS,  Análise e deliberação do Resultado do Processo de Seleção do Edital de Chamamento Público nº 01/2018-SEAS e inclusão de Crédito Suplementar no valor de R$ 2.000.000,00 (dois milhões de reais), visando ampliação do atendimento conforme previsto no Edital nº 1/2018 da SEAS, Adesão da Estação Conecta PCF/SUAS do Programa Criança Feliz no valor de R$ 41.600,00 (quarenta e um mil e seiscentos reais), Plano de Ação do Cofinanciamento do Governo Federal / SUAS ? ano 2018, Acompanhamento ao cumprimento das metas do Pacto de Aprimoramento de Gestão,;1;3;0; ; ;1;1;1;1;4;3;4;4;1;3;1;1;3; ;17; ;20; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;1;2;1;1;1;1;0;1;0;0;0;0;0;0;1;0; ;0;1;1;0;0;0; ;1;1;1;1;1;0;1;0;0;1;Comissão de Acompanhamento às deliberações de Conferência;18;18;9;9;9;9;3;3;3;3;3;3;13;1;0;1995; ;1;2017;2019;1;0;0;0;0;0;0;0;0;0;1;1;1;7;1;3; ;0;1;1;0;0;0;0;0;0;1;1;0;0;0; ; ;1;1;3; ;17; ;20; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;1;2;6;6;3;2;1;1;3;2;1;1;4;1;2;10;4;0;0;5;3;10;4;1;1;5; ; ;1;2;2; ;0;0;0;0;0;1;1;5;6;6;19;3;2;3;3;3;3;9;10;9;8;36
14;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;MARIO HOMEM DE MELO;2310; ;MECEJANA;ANEXO A SECRETARIA DE ESTADO DO TRABALHO E BEM-ESTAR SOCIAL   CASA DOS CONSELHOS;69304-350;BOA VISTA;14;ceas_rr@hotmail.com;(95) 3224-9883; ; ;28.234.104.707.037.600;-60.693.771.243.095.400;1996; ;0; ;1;2018;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;1;0;1;0;0;1;0;0;0;1;2;2;0;0;1;1;2;0;5;6;1;1;4;0;0;0;0;0;0;0;0;0;4;4; ;1;1;0;0;0; ;0;0;0;1;0;0;0;0; ;0;1;20;0;1;1;0;0;0;0;0;1;1; ; ; ; ; ; ;0; ;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0; ;0;6;0; ; ;2;2;1;1;4;0;0;0;0;2;1;1;0; ;5; ;5; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ;0;0;0;1;0;não fazemos inscrições;0; ;0; ;0; ;0;2;1;1;1;1;0;1;0;0;0;0;0;1;0;0; ;1;1;0;0;0;0; ;1;0;0;0;0;0;0;0;0;1;Comissão de POLITICA, NORMAS e REGULAMENTAÇÃO, Comissão de ARTICULAÇÃO, DESCENTRALIZAÇÃO, MUNICIPALIZAÇÃO e PUBLICIZAÇÃO, e Comissão de FUNDOS, ORÇAMENTO e MONITORAMENTO.;12;12;6;6;6;6;2;2;2;2;2;2;14;1;0;1996; ;0; ;2018;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;4; ;0;1;1;0;0;0;0;0;1;0;0;0;0;0; ; ;1;1;0; ;5; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;1;0;0; ;0; ;0; ;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2; ;6;1;1;1;1;1;1;1;1;2;1;2;4;3;0;0;2;2;4;3;1; ;5; ; ;0;1;1; ;0;0;0;0;0;1;1;3;4;1;11;2;1;2;2; ;1;5;6;4;4;19
15;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;ALMIRANTE BARROSO;1765; ;MARCO;ENFRENTE AO HOSPITAL ADVENTISTA DE BELÉM;66010-150;BELEM;15;ceas_pa@yahoo.com.br;(91) 3233-2471; ;(91) 3233-2471;-14.352.286.711.571.300;-48.457.506.895.065.300;1996; ;0; ;1;2008;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;2;2;1;2;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;3;2;5;8;1;1;4;3;3;3;1;1;1;1;1;1;2;8; ;1;0;1;1;0; ;0;0;0;0;1;1;1;0; ;1;1;11;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0; ;0; ;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0; ;0;4;0; ; ;1;0;1;1;1;4;3;0;0;0; ; ;0; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ;0;0;0;1;0;0;0; ;0; ;0; ;0;2;1;1;1;1;0;1;0;0;0;0;0;1;1;0; ;1;0;0;0;0;0; ;1;0;1;1;1;0;0;0;1;1;comissão de acompanhamento ao PBF;18;18;9;9;9;9;3;3;3;3;3;3;15;1;0;1996; ;0; ;2008;0;0;0;0;1;0;0;0;0;0;1;0;1;3;2;8; ;0;1;1;0;0;0;0;0;0;1;1;0;0;0; ; ; ;0;0; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;1;0;0; ;0; ;0; ;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;2; ;4;3;2;3;2;3;2;3;2;6;2;2;2;2;2;2;2;2;4;3;1;1;5; ; ;0;0;0; ;0;0;0;0;0;1;1;6;5;6;15;3;3;3;2;3;3;6;9;9;8;32
16;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Euclides da Cunha;843; ;santa rita;próximo hospital Sao Camilo;68901-257;MACAPA;16;ceasamapa@yahoo.com.br;(96) 99154-3106; ; ;0.0406193699189946;-5.106.958.150.863.640;1995; ;0; ;1;2005;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;2;2;1;1;2;0;5;10;1;1;3;3;3;3;3;3;0;3;3;1;1;5; ;1;1;1;1;0; ;0;0;0;1;1;0;0;0; ;0;1;7;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0; ;0; ;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0; ;1;6;1;2016; ;1;2;1;1;4;3;0;1;0;2;3;1;0; ;10; ;10; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;1;2;1;1;1;3;0;1;0;0;0;1;0;0;0;0; ;1;1;0;0;0;0; ;1;1;1;1;1;0;1;0;0;0; ;16;16;8;8;16;16;2;3;3;2;3;3;16;1;0;1995; ;0; ;2005;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;5; ;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2016; ;3;1;0; ;10; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;2; ;4;0;0;2;2;1;1;1;1;2;1;2;2;2;4;3;3;2;6;3;2; ;4; ;6;0;1;1; ;0;0;0;0;0;1;1;4;4;4;9;2;2;1;3;3;1;7;2;6;6;21
17;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;28;103 NORTE, RUA NO 11 CONJUNTO 4;11;lote 11-A;plano diretor norte; ;77001-036;PALMAS;17;ceastocantins@gmail.com;(63) 3218-1938; ; ;-101.782.026;-4.833.746.350.000.000;1995; ;1;2009;1;2018;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;4;0;1;0;0;1;0;0;0;1;0;1;0;1;1;3;3;1;1;1;1;1;1;5;8;1;1;2;3;3;3;3;3;3;2;3;1;1;8; ;1;1;1;0;0; ;0;0;0;0;1;1;0;0; ;2;1;11;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0; ;0; ;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;0;1;0; ;0;3;1;2017; ;1;1;1;1;4;3;4;3;0;1;2;0;0; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;0;1;0;0;0;0;0;0;1;0; ;0;1;0;0;0;0; ;1;1;1;1;1;0;1;0;0;0; ;12;12;6;6;12;12;2;2;2;4;4;4;17;1;0;1995; ;1;2009;2018;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;8; ;0;1;1;0;0;0;0;0;0;1;0;0;1;0;2017; ;2;0;0; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;2;5;6;0;0;2;2;1;1;1;1;2;1;3;6;3;2;2;4;3;8;4;1;1;5; ;6;0;0;0; ;0;0;0;0;0;1;1;5;4;3;12;3;2;2;2;1;2;6;6;6;6;24
21;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;Rua Cento e Cinco S/N;0; ;Vinhais;Ao lado da Unidade de Pronto Atendimento - UPA do Vinhaisantigo CSU.;65070-000;SAO LUIS;21;ceasma.diretoria@yahoo.com.br;(98) 99104-5229; ; ;-25.138.748.719.593.800;-4.425.268.650.098.580;1995; ;0; ;1;2009;1;1;0;0;0;0;0;0;0;0;1;0;1;0;7;2;0;2;11;1;1;1;1;1;0;0;0;1;1;0;1;1;1;8;8;0;0;1;1;11;10;5;10;1;1;3;3;3;2;2;1;1;2;3;1;1;8; ;0;1;1;0;1;REALIZA CAPACITAÇÕES QUANDO O CMAS SOLICITA;0;0;1;1;1;0;0;1;CONTROLE SOCIAL E PARTICIPAÇÃO POPULAR;0;1;9;1; ; ; ; ; ; ; ;1;0;1;0;0;0;0; ;0; ;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0; ;1;6;1;2017; ;2;1;1;1;4;0;0;1;0;3;3;0;1; ;1; ;2; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;0;1;0;0;0;0;0;0;1;1;SINDICATOS/PATORAIS/ENTIDADES DE USUÁRIOS;1;1;0;0;0;0; ;1;1;1;1;1;0;1;0;0;0; ;18;18;9;9;18;18;2;4;3;4;8;6;21;2;0;1995; ;0; ;2009;0;0;0;0;0;0;0;0;1;0;1;0;1;11;10;8; ;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2017; ;3;0;1; ;1; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;2; ;5;9;5;2;2;7;4;4;3;11;3;5;16;5;0;0;8;4;16;5;2; ;4; ;6;1;1;1; ;0;0;0;0;0;1;1;5;6;2;14;3;2;4;2;2; ;7;7;9;4;27
22;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;AV. PINEL;620; ;CABRAL;IGREJA DO BAIRRO CABRAL;64000-650;TERESINA;22;ceas.conselho@gmail.com;(86) 3221-6681; ; ;-5.080.097.274.043.350;-4.280.271.291.732.780;1995; ;1;1996;1;2011;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;3;1;0;0;0;1;0;0;0;0;0;1;1;0;1;2;1;0;0;0; ; ; ;5;6;1;1;3;2;0;3;3;0;0;0;0;0;1;5; ;1;1;1;0;0; ;0;0;0;1;1;0;0;0; ;0;1;17;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0; ;0; ;0;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0; ;0;6;0; ; ;2;2;1;1;0;0;3;0;0;0; ; ;0; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;1;0;0;0;0;0;0;1;0;0; ;1;1;0;0;0;0; ;1;1;1;1;1;0;0;0;0;0; ;18;16;9;9;18;16;3;3;3;6;4;6;22;2;0;1995; ;1;1996;2011;0;0;0;0;0;0;0;0;0;0;1;0; ; ; ;5; ;0;1;0;0;0;0;0;0;0;1;0;0;0;0; ; ; ;0;0; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;2;2;5;1;1;1;1;1;1;1;1;2;1;2;3;2;0;0;1;2;3;2;1; ;5; ; ;0;0;0; ;0;0;0;0;0;1;1;3;6;6;18;3; ;3;3;3;3;9;9;9;6;33
23;CONSELHO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;SILVA PAULET;334; ;MEIRELES; ;60120-020;FORTALEZA;23;ceas.ce@hotmail.com;(85) 3101-3007; ;(85) 3101-1562;-37.467.545.806.850.100;-3.850.926.876.068.110;1995; ;1;2008;1;2017;1;1;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;4;1;1;0;0;1;1;1;1;1;0;1;1;1;1;6;6;2;2;1;1;4;4;5;8;1;1;1;3;3;3;3;3;0;0;3;1;1;8; ;1;1;1;1;1;Inscrição das Entidades Socioassistenciais no CMAS, Capacitação Introdutórias para os novos Colegiados;1;1;1;1;1;1;1;0; ;2;1;12;0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;site do Ceas-CE;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0; ;1;1;1;2008; ;1;1;1;1;2;3;3;2;2;1;3;0;4; ;0; ;4; ;1;1;47;2017;1;1;1;1;1;1;1;1;1;0; ;0;0; ;0; ;0; ; ; ; ; ;1; ;0; ;0; ;0; ;0;2;1;1;1;1;1;0;0;1;1;1;1;0;0;0; ;1;1;0;0;0;0; ;1;1;1;1;1;1;1;0;0;1;Comissão Temática de Recursos Humanos e Capacitação;18;18;9;9;9;9;3;3;3;3;3;3;23;2;0;1995; ;1;2008;2017;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;8; ;0;1;1;0;0;0;0;0;0;1;0;1;1;1;2008; ;3;0;4; ;0; ;4; ;47;2017;1;1;1;1;1;1;1;1;1;0;0; ;0; ;0; ;0;0;0;0;1;0; ;0; ;0; ;1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1;2;4;6;3;2;2;2;3;2;2;2;5;1;3;12;5;4;3;8;4;16;5;1;1;5;2;4;1;0;1;6;0;0;0;0;0;1;1;5;5;4;13;2;3;3;2;2;2;7;6;7;7;27
