IBGE;NU_IDENTIFICADOR;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;q0_15;q0_16;Latitude;Longitude;q1;q2;q3;q4_1;q4_2;q4_3;q4_0;q4_98;q5_1;q5_2;q5_99;q5_0;q5_99_1;q6;q7;q9_1;q9_2;q9_3;q9_4;q10;q11;q12;q13;q13_98;q14;q14_98;q15;q16_1_1;q16_1_2;q16_1_3;q16_1_4;q16_1_5;q16_1_6;q16_1_7;q16_2_1;q16_2_2;q16_2_3;q16_2_4;q16_2_5;q16_2_6;q16_2_7;q17_1;q17_2;q17_3;q17_4;q17_5;q17_6;q17_7;q17_8;q17_9;q18_1;q18_1_98;q18_2;q18_2_98;q19_1;q19_1_98;q19_2;q19_2_98;q19_3;q19_3_98;q19_4;q19_4_98;q20;q21_1;q21_1_1;q21_2;q21_2_1;q22;q23;q24;q25;q26_1;q26_2;q26_3;q26_4;q26_5;q26_6;q26_7;q26_8;q26_9;q26_10;q26_11;q26_12;q26_13;q26_14;q26_15;q26_16;q26_17;q26_18;q26_19;q26_20;q26_21;q26_22;q26_23;q26_24;q26_25;q26_0;q27;q28_1;q28_2;q28_3;q28_99;q28_98;q28_0;q28_99_1;q29;q30_97;q31;q32;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_completo;PrimaryFirst;q2_velha;q4_1_velha;q4_2_velha;q4_3_velha;q4_0_velha;q4_98_velha;q5_1_velha;q6_velha;q7_velha;q9_1_velha;q9_2_velha;q9_3_velha;q9_4_velha;q10_velha;q12_velha;q13_velha;q13_98_velha;q16_1_1_velha;q16_1_2_velha;q16_1_3_velha;q16_1_4_velha;q16_1_5_velha;q16_1_6_velha;q16_1_7_velha;q16_2_1_velha;q16_2_2_velha;q16_2_3_velha;q16_2_4_velha;q16_2_5_velha;q16_2_6_velha;q16_2_7_velha;q16_total;q17_1_velha;q17_2_velha;q17_3_velha;q17_4_velha;q17_5_velha;q17_6_velha;q17_7_velha;q17_8_velha;q17_9_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q26_1_velha;q26_2_velha;q26_3_velha;q26_4_velha;q26_5_velha;q26_6_velha;q26_7_velha;q26_8_velha;q26_9_velha;q26_10_velha;q26_11_velha;q26_12_velha;q26_13_velha;q26_14_velha;q26_15_velha;q26_16_velha;q26_17_velha;q26_18_velha;q26_19_velha;q26_20_velha;q26_21_velha;q26_22_velha;q26_23_velha;q26_24_velha;q26_25_velha;q26_0_velha;q28_1_velha;q28_2_velha;q28_3_velha;q28_98_velha;q28_99_velha;q28_0_velha;q29_velha;d_13_faixa;d_14_faixa;d_15_faixa;q_16_1_7_recod;q_16_2_7_recod;q_17_9_recod;Estado;d_30_9bin1_sum;d_30_9bin2_sum;d_30_9bin3_sum;d_30_10bin1_sum;d_30_10bin2_sum;d_30_10bin3_sum;d_30_10bin4_sum;d_30_10bin5_sum;d_30_11bin1_sum;d_30_11bin2_sum;d_30_11bin3_sum;d_30_11bin4_sum;nu_familias;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum
110020;1100203309440;UNIDADE DE ACOLHIMENTO;32;Geraldo Ferreira;135;CREAS;Agenor de Carvalho;CREAS;76820-316;1100205;RO; ;(69) 98473-6021; ; ;13/12/2017;Família Acolhedora;-8.756.385.273.834.830;-63.870.332.837.104.800;315;1; ; ; ; ; ; ; ;0;0;0; ;2; ; ; ; ; ;1;2017;1;998; ;2; ;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1; ;0; ;0; ;0; ;0; ;1; ;0; ;1;17; ;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;5;1;0;0;0;0;0; ;3; ;1;3;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;1;1; ; ; ; ; ;1;2; ; ; ; ; ;1;1;998; ;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;3;3;1;1;1;0;1;2;1;6;2; ; ; ; ; ; ; ; ;9;9; ; ;3; ;1; ; ;2;3; ; ; 
110033;1100333309456;Unidade de Acolhimento Família Acolhedora;3;Antônio Lucas de Araujo;3208; ;João Francisco Clímaco;Em Frente ao CAPS;76857-000;1100338;RO; ;(69) 3544-2732; ; ;16/10/2017;Família Acolhedora;-10.416.636.140.495.300;-6.533.131.599.426.270;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2017;1;600; ;1; ;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0; ;0; ;0; ;1; ;0; ;1; ;0; ;1;18; ;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;5;1;0;0;0;0;0; ;3; ;0;2;1100338;11;1;Nova Mamoré;22546;13067;9479;Pequeno II;10071,643; ;1;1; ; ; ; ; ;0;2; ; ; ; ; ;1;1;600; ;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;3;3;1;1;1;0;1;2;2; ; ; ; ; ; ; ; ; ; ;2;2;1;1;2; ;1; ; ;1;4; ; ; 
120040;1200403306082;UNIDADE DE ACOLHIMENTO SERVIÇO DE ACOLHIMENTO FAMILIAR;32;MENDES DE SA;485; ;BAHIA VELHA;AO LADO DA ESCOLA FREI THIAGO M. MATIOLLI;69911-564;1200401;AC; ;(68) 3225-4404; ; ;07/10/2013;Família Acolhedora;-99.880.026;-678.345.658;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2013;0; ; ;4; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2; ;1; ;0; ;0; ;0; ;0; ;0;0; ;12; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;5;1;1;1;0;0;0; ;2; ;1;1;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;1;1; ; ; ; ; ;0;2; ; ; ; ; ;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;2; ;1;1;0;0;0;2; ; ;5;1; ; ;1; ; ; ; ;5;5; ;1;5;1;1; ; ;1;4; ; ;2
130260;1302603310450;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA  LAR BATISTA JANELL DOYLE;32;IGARAPÉ DE MAUÁ;1; ;MAUAZINHO;PRÓXIMO A UBS DO MAUAZINHO;69075-291;1302603;AM; ;(92) 3615-8302; ; ;01/03/2018;Família Acolhedora;-31.206.331.007.017.600;-5.993.853.360.414.500;315;2;63.692.354/0001-64;0;1;0;0;0;1;1;0;0; ;2; ; ; ; ; ;1;2019;1;1300; ;8; ;5;2;1;1;0;0;0;4;1;0;0;0;0;0;1;1;0;0;2;2;0;0;0;5;0; ;1; ;0; ;0; ;0; ;0; ;0; ;1;18; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;0;0;1;0;0;JUIZADO DA INFÂNCIA;3; ;3;3;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;1;2;0;1;0;0;0;1;2; ; ; ; ; ;1;1;1300; ;2;1;1;0;0;0;4;1;0;0;0;0;0;1;5;1;0;0;2;2;0;0;0;5;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;3;4;1;1;4;1;5;2; ;4;1; ; ; ; ; ; ; ; ;5;5; ; ;3; ;1; ; ;2; ; ; ;3
130260;1302603310468;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA ABRIGO O CORAÇÃO DO PAI;32;FRANCISCO PEREIRA DA SILVA;113; ;JAPIIM II; ;69076-780;1302603;AM; ;(92) 3343-8321; ; ;05/05/2019;Família Acolhedora;-31.166.327.886.113.500;-59.974.930.936.837.100;315;2;13.434.693/0001-72;1;0;0;0;0;1;1;0;0; ;2; ; ; ; ; ;1;2019;1;1300; ;5; ;2;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;2;0; ;0; ;0; ;0; ;0; ;2; ;0;0; ;18; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;1;0;0;0;0;0; ;3; ;2;3;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;1;2;1;0;0;0;0;1;2; ; ; ; ; ;1;1;1300; ;1;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;1;1;0;0;0;0;0;2;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;3;4;1;1;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ;2;2; ;1;2; ;1; ; ;1; ; ; ;3
130340;1303403309096;UNIDADE DE ACOLHIMENTO FAMILIAR EM FAMÍLIA ACOLHEDORA;32;NOVE;1732;casa;UNIÃO; ;69151-000;1303403;AM; ;(92) 99270-3249; ; ;01/10/2017;Família Acolhedora;-26.240.421.548.427.200;-5.672.977.209.091.180;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2017;1;998; ;0; ;3;1;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;3;0;0;3;2; ;0; ;0; ;0; ;3; ;3; ;0;0; ;18; ;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;5;0;0;1;0;0;0; ;3; ;1;1;1303403;13;1;Parintins;102033;69890;32143;Grande;5956,373; ;1;1; ; ; ; ; ;1;2; ; ; ; ; ;1;1;998; ;1;0;0;0;0;0;1;2;0;0;0;0;0;2;3;0;0;0;0;0;3;0;0;3;0;0;3;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;3;3;1;1;1;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ; ;1; ; ; ;3
150230;1502303306524;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;32;JOSEFA ALVES BEZERRA;381; ;TATAJUBA;NO MESMO ESPAÇO DA UNIDADE DE ACOLHIMENTO INSTITUCIONAL MUNICIPAL;68650-000;1502301;PA; ;(91) 99808-4500; ; ;15/06/2010;Família Acolhedora;-1.742.255.349.861.120;-4.706.571.936.607.360;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2011;1;150; ;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1;17; ;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;5;0;1;0;0;0;0; ;3; ;0;3;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;1;1; ; ; ; ; ;0;2; ; ; ; ; ;1;1;150; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;3;2;1;1;0;0;0;2;1;3;1; ; ; ;1; ; ; ; ;5;5; ; ;3;1;1; ; ;1; ; ; ;3
150320;1503203308388;UNIDADE DE ACOLHIMENTO;35;BARÃO DO RIO BRANCO;1825;EM FRENTE A TRAVESSA SÃO SEBASTIÃO;CENTRO; ;68725-000;1503200;PA; ;(91) 98482-3288; ; ;12/05/2014;Família Acolhedora;-11.279.676.843.590.500;-4.762.867.212.295.530;315;1; ; ; ; ; ; ; ;0;0;1; ;2; ; ; ; ; ;1;2014;1;998; ;2; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1; ;1; ;0; ;0; ;0; ;0; ;0; ;1; ;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;5;0;1;0;0;0;0; ;3; ;0;2;1503200;15;1;Igarapé-Açu;35887;21207;14680;Pequeno II;785,983; ;1;1; ; ; ; ; ;0;2; ; ; ; ; ;1;1;998; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;3;3;1;1;0;0;0;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1;1;4;1;1; ;1;1; ; ; ;6
150510;1505103306376;UNIDADE DE ACOLHIMENTO - FAMILIA ACOLHEDORA;35;LIBERDADE;0; ;Fatima; ;68250-000;1505106;PA; ;(93) 99213-6094; ; ;23/01/2012;Família Acolhedora;-19.096.152.127.290.000;-5.551.490.306.854.240;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2012;1;400; ;16; ;5;0;1;1;0;0;0;2;0;1;2;0;0;0;3;0;0;0;0;5;0;0;0;5;11; ;0; ;0; ;0; ;5; ;0; ;0; ;1;17; ;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;0;1;1;0;0;0; ;3; ;0;2;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;1;1; ; ; ; ; ;0;2; ; ; ; ; ;1;1;400; ;0;1;1;0;0;0;2;0;1;2;0;0;0;3;5;0;0;0;0;5;0;0;0;5;0;0;5;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;3;2;2;1;2;3;5;2;3;5;1; ; ; ; ; ;1; ; ;8;9; ;1;3; ;1; ;1;1; ; ; ;4
150563;1505633308394;UNIDADE DE ACOLHIMENTO;32;RUA PAULO FONTELES;0; ;CENTRO; ;68575-000;1505635;PA; ;(94) 43422-1309; ; ;02/07/2015;Família Acolhedora;-6.438;-48.872;315;1; ; ; ; ; ; ; ;1;0;0; ;2; ; ; ; ; ;1;2015;1;998; ;9; ;3;0;0;0;1;0;0;1;0;0;0;1;1;0;2;0;0;0;0;1;2;0;0;3;6; ;0; ;0; ;0; ;3; ;0; ;0; ;1;17; ;1;0;1;1;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;5;0;1;0;0;0;0; ;3; ;0;3;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708; ;1;1; ; ; ; ; ;1;2; ; ; ; ; ;1;1;998; ;0;0;0;1;0;0;1;0;0;0;1;1;0;2;3;0;0;0;0;1;2;0;0;3;0;0;3;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;3;3;1;1;1;2;3;2;1;1; ; ; ; ; ; ; ; ; ;2;2; ; ;3;1;1; ; ;1; ; ; ;3
