IBGE;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;q37_14;q37_15;q37_16;q37_17;UF;Regiao;Q_completo;DataCenso;DataCenso_2019;q37_2_rec;Idade;Faixas_etarias;d_37_9;d_37_9bin1;d_37_9bin2;d_37_9bin3;d_37_10;d_37_10bin1;d_37_10bin2;d_37_10bin3;d_37_10bin4;d_37_10bin5;d_37_11;d_37_11bin1;d_37_11bin2;d_37_11bin3;d_37_11bin4;d_37_9bin1_sum;d_37_9bin2_sum;d_37_9bin3_sum;d_37_10bin1_sum;d_37_10bin2_sum;d_37_10bin3_sum;d_37_10bin4_sum;d_37_10bin5_sum;d_37_11bin1_sum;d_37_11bin2_sum;d_37_11bin3_sum;d_37_11bin4_sum;nu_trabalhador
13;2;257;235;138;216;18; ; ; ; ;13;1;0;31.08.2019;8/31/2019;11/13/1954;64;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;21;80;185;3;71;1;4;24;77;25;111;73;286
13;2;257;237;138;217;18; ; ; ; ;13;1;0;31.08.2019;8/31/2019;7/5/1962;57;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;21;80;185;3;71;1;4;24;77;25;111;73;286
13;2;257;237;292;222;20;20/01/1986; ; ; ;13;1;0;31.08.2019;8/31/2019;7/1/1949;70;6;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;21;80;185;3;71;1;4;24;77;25;111;73;286
13;2;257;273;293;218;20;05/07/2018; ; ; ;13;1;0;31.08.2019;8/31/2019;4/28/1973;46;4;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;21;80;185;3;71;1;4;24;77;25;111;73;286
13;2;257;237;138;222;20; ; ; ; ;13;1;0;31.08.2019;8/31/2019;7/7/1973;46;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;21;80;185;3;71;1;4;24;77;25;111;73;286
13;2;257;273;292;218;20;01/01/2019; ; ; ;13;1;0;31.08.2019;8/31/2019;2/7/1973;46;4;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ;21;80;185;3;71;1;4;24;77;25;111;73;286
13;2;257;273;139;217;18;05/07/2018; ; ; ;13;1;0;31.08.2019;8/31/2019;3/26/1981;38;3;2; ; ;1;2; ;1; ; ; ;2; ;1; ; ;21;80;185;3;71;1;4;24;77;25;111;73;286
13;2;258;273;139;218;18; ; ; ; ;13;1;0;31.08.2019;8/31/2019;5/12/1986;33;3;2; ; ;1;2; ;1; ; ; ;2; ;1; ; ;21;80;185;3;71;1;4;24;77;25;111;73;286
14;2;255;239;292;216;18; ; ; ; ;14;1;0;31.08.2019;8/31/2019;2/1/1969;50;4;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;1;255;238;138;217;20; ; ; ; ;14;1;0;31.08.2019;8/31/2019;10/12/1960;58;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;2;255;238;266;219;20; ; ; ; ;14;1;0;31.08.2019;8/31/2019;8/15/1960;59;5;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;80;334;165;11;18;1;7;15;351; ;178;50;579
14;1;255;239;138;216;18; ; ; ; ;14;1;0;31.08.2019;8/31/2019;6/11/1972;47;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;1;260;234;292;21;20;20/12/2018; ; ; ;14;1;0;31.08.2019;8/31/2019;5/19/1971;48;4;2; ; ;1;3; ; ;1; ; ;3; ; ;1; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;1;257;238;138;217;20; ; ; ; ;14;1;0;31.08.2019;8/31/2019;2/14/1972;47;4;2; ; ;1;6; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;1;255;238;138;219;20; ; ; ; ;14;1;0;31.08.2019;8/31/2019;7/4/1966;53;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;2;255;238;138;21;20; ; ; ; ;14;1;0;31.08.2019;8/31/2019;8/5/1970;49;4;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;1;255;238;138;217;20; ; ; ; ;14;1;0;31.08.2019;8/31/2019;3/8/1979;40;3;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;2;257;240;138;216;18; ; ; ; ;14;1;0;31.08.2019;8/31/2019;2/19/1978;41;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
14;2;257;238;138;216;20;08/04/2005; ; ; ;14;1;0;31.08.2019;8/31/2019;7/6/1978;41;4;2; ; ;1;6; ; ; ; ; ;1;1; ; ; ;80;334;165;11;18;1;7;15;351; ;178;50;579
15;2;257;276;138;218;263; ; ; ; ;15;1;0;31.08.2019;8/31/2019;5/13/1962;57;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;8;128;11;68; ;1;14;108; ;22;6;136
15;2;257;237;292;21;20; ; ; ; ;15;1;0;31.08.2019;8/31/2019;10/22/1957;61;6;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ;8;128;11;68; ;1;14;108; ;22;6;136
16;1;257;238;138;216;20;05/07/2011; ; ; ;16;1;0;31.08.2019;8/31/2019;4/25/1991;28;2;2; ; ;1;6; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;1;257;273;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;2/17/1984;35;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;276;138;218;18;20/06/1994; ; ; ;16;1;0;31.08.2019;8/31/2019;9/27/1960;58;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;292;21;263; ; ; ; ;16;1;0;31.08.2019;8/31/2019;10/30/1964;54;5;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;273;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;4/2/1968;51;5;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;138;216;20;01/10/1996; ; ; ;16;1;0;31.08.2019;8/31/2019;11/8/1967;51;5;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;1;255;239;292;222;20;22/04/2019; ; ; ;16;1;0;31.08.2019;8/31/2019;1/20/1974;45;4;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;237;292;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;3/3/1975;44;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;3/6/1977;42;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;276;138;218;20;22/06/2011; ; ; ;16;1;0;31.08.2019;8/31/2019;2/16/1985;34;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;420;292;222;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;9/20/1975;43;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;275;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;10/26/1977;41;4;2; ; ;1;1;1; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;138;218;272; ; ; ; ;16;1;0;31.08.2019;8/31/2019;11/23/1979;39;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;237;138;218;18;05/07/2011; ; ; ;16;1;0;31.08.2019;8/31/2019;11/1/1977;41;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;1;257;238;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;11/1/1979;39;3;2; ; ;1;6; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;273;138;218;20;26/06/2012; ; ; ;16;1;0;31.08.2019;8/31/2019;10/13/1978;40;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;5/25/1979;40;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;273;138;218;18; ; ; ; ;16;1;0;31.08.2019;8/31/2019;7/11/1978;41;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;273;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;4/11/1982;37;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;1;257;235;138;218;20;05/07/2012; ; ; ;16;1;0;31.08.2019;8/31/2019;8/8/1981;38;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;238;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;3/3/1982;37;3;2; ; ;1;6; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;276;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;2/20/1982;37;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;235;138;21;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;12/8/1981;37;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;420;292;21;20;05/04/2019; ; ; ;16;1;0;31.08.2019;8/31/2019;3/28/1983;36;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;1;258;237;138;218;18;01/07/2011; ; ; ;16;1;0;31.08.2019;8/31/2019;12/14/1982;36;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;273;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;6/16/1982;37;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;256;239;292;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;2/17/1984;35;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;266;218;18; ; ; ; ;16;1;0;31.08.2019;8/31/2019;11/1/1985;33;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;4/26/1987;32;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;258;273;292;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;8/10/1986;33;3;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;260;274;138;218;20;26/06/2012; ; ; ;16;1;0;31.08.2019;8/31/2019;7/28/1986;33;3;2; ; ;1;5; ; ; ; ;1;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;2;257;273;138;218;18; ; ; ; ;16;1;0;31.08.2019;8/31/2019;3/16/1988;31;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
16;1;257;240;138;218;20; ; ; ; ;16;1;0;31.08.2019;8/31/2019;5/11/1987;32;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;37;115;5;38; ;1;6;97; ;51;4;152
23;2;257;273;264;218;20;02/05/2019; ; ; ;23;2;0;31.08.2019;8/31/2019;6/15/1987;32;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;67;148;172;25;37; ;13;8;108;40;4;235;387
23;1;257;416;264;218;20;01/07/2017; ; ; ;23;2;0;31.08.2019;8/31/2019;10/16/1952;66;6;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;67;148;172;25;37; ;13;8;108;40;4;235;387
33;2;257;235;292;216;20; ; ; ; ;33;3;0;31.08.2019;8/31/2019;11/19/2015;3; ;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;41;134;156;10;30; ;33;6;25; ;256;50;331
33;2;257;273;292;21;20; ; ; ; ;33;3;0;31.08.2019;8/31/2019;3/3/1985;34;3;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ;41;134;156;10;30; ;33;6;25; ;256;50;331
33;1;257;237;292;218;20; ; ; ; ;33;3;0;31.08.2019;8/31/2019;4/23/1986;33;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;41;134;156;10;30; ;33;6;25; ;256;50;331
33;2;257;237;292;218;20; ; ; ; ;33;3;0;31.08.2019;8/31/2019;3/24/1990;29;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;41;134;156;10;30; ;33;6;25; ;256;50;331
41;2;260;274;138;21;20;23/09/2019; ; ; ;41;4;0;31.08.2019;8/31/2019;8/16/1975;44;4;2; ; ;1;5; ; ; ; ;1;1;1; ; ; ;12;57;218;14;53; ;18;24;123;13;112;39;287
41;1;258;235;138;218;20;04/02/2014; ; ; ;41;4;0;31.08.2019;8/31/2019;10/13/1985;33;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;12;57;218;14;53; ;18;24;123;13;112;39;287
41;2;257;237;292;218;20;05/02/2009; ; ; ;41;4;0;31.08.2019;8/31/2019;4/20/1955;64;6;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;12;57;218;14;53; ;18;24;123;13;112;39;287
41;2;258;273;138;218;20;06/01/2014; ; ; ;41;4;0;31.08.2019;8/31/2019;7/16/1967;52;5;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;12;57;218;14;53; ;18;24;123;13;112;39;287
51;2;257;237;292;218;20;01/01/2019; ; ; ;51;5;0;31.08.2019;8/31/2019;4/18/1996;23;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ;8;81;7;31; ;1;10;71; ;17;1;89
51;2;261;274;138;218;18; ; ; ; ;51;5;0;31.08.2019;8/31/2019;2/16/1982;37;3;2; ; ;1;5; ; ; ; ;1;1;1; ; ; ; ;8;81;7;31; ;1;10;71; ;17;1;89
11;1;256;237;292;218;18;01/02/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;5/20/1999;20;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;233;292;218;18;01/02/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;10/23/1995;23;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;273;292;218;18;14/06/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;9/26/1975;43;4;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;1;258;235;138;218;20; ; ; ; ;11;1;0;31.08.2019;8/31/2019;4/11/1978;41;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;273;138;218;18; ; ; ; ;11;1;0;31.08.2019;8/31/2019;9/20/1958;60;5;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;260;274;138;218;18;12/01/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;10/30/1963;55;5;2; ; ;1;5; ; ; ; ;1;1;1; ; ; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;273;292;218;18;19/02/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;6/12/1972;47;4;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;260;237;138;21;391;01/01/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;2/9/1970;49;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;273;292;218;20;02/01/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;12/23/1975;43;4;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;235;292;76;391;01/01/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;12/21/1977;41;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;273;292;218;20;02/01/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;11/27/1979;39;3;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;273;292;218;18;03/01/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;10/5/1978;40;3;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;257;273;292;218;18; ; ; ; ;11;1;0;31.08.2019;8/31/2019;11/25/1984;34;3;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;255;239;292;216;20; ; ; ; ;11;1;0;31.08.2019;8/31/2019;6/22/1974;45;4;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
11;2;258;273;292;218;20;02/01/2019; ; ; ;11;1;0;31.08.2019;8/31/2019;1/20/1989;30;3;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
12;1;257;273;292;218;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;10/2/1989;29;2;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;257;237;138;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;5/20/1976;43;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;255;239;292;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;2/27/1991;28;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;257;237;292;216;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;8/17/1988;31;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;253;239;293;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;3/23/1993;26;2;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;255;238;264;220;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;9/10/1990;28;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;256;238;292;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;1/18/1996;23;2;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;257;237;292;216;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;8/10/1996;23;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;257;273;292;218;20;02/01/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;2/14/1994;25;2;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;255;239;292;222;20;21/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;3/29/1998;21;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;255;238;264;220;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;7/3/1996;23;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;256;238;292;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;11/30/1997;21;2;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;257;235;292;21;20;14/10/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;12/12/1972;46;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;255;238;292;222;20;21/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;8/16/1999;20;2;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;255;238;293;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;9/26/1999;19;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;253;239;138;222;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;2/12/1952;67;6;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;252;239;293;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;11/8/2000;18;2;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;255;238;138;222;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;6/1/1959;60;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;257;237;292;216;20;20/11/2019; ; ; ;12;1;0;31.08.2019;8/31/2019;10/5/1961;57;5;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;255;238;138;222;18; ; ; ; ;12;1;0;31.08.2019;8/31/2019;5/10/1953;66;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;253;239;138;222;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;4/5/1953;66;6;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;257;276;138;218;263; ; ; ; ;12;1;0;31.08.2019;8/31/2019;8/15/1960;59;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;255;238;138;216;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;4/30/1963;56;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;255;238;138;219;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;2/5/1967;52;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;252;239;138;222;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;6/23/1953;66;6;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;255;238;292;222;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;11/28/1960;58;5;1; ;1; ;6; ; ; ; ; ;3; ; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;255;238;138;222;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;11/15/1961;57;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;2;253;239;138;216;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;12/8/1954;64;6;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
12;1;253;239;138;222;20; ; ; ; ;12;1;0;31.08.2019;8/31/2019;9/1/1958;60;5;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;28;55;77;4;22; ;4;2;89; ;44;27;160
