IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2_1;q2_2;q2_3;q2_4;q2_5;q2_6;q2_7;q2_99;q2_99_1;q3_1;q3_2;q3_3;q3_4;q3_5;q3_6;q3_7;q3_8;q3_9;q4;q4_97;q5;q5_97;q6;q6_97;q7_1_1;q7_1_2;q7_1_3;q7_1_0;q7_2_1;q7_2_2;q7_2_3;q7_2_4;q7_2_5;q7_2_0;q7_3_1;q7_3_2;q7_3_3;q7_3_4;q7_3_0;q8;q9_1;q9_2;q9_3;q9_4;q9_99;q10_1;q10_2;q10_3;q10_4;q10_5;q10_6;q10_7;q10_8;q10_9;q10_10;q10_11;q10_12;q10_13;q10_99;q10_99_1;q11;q12;q13_1;q13_2;q13_1_99;q13_2_99;q14_1;q14_2;q14_3;q14_4;q14_5;q14_6;q14_7;q14_8;q14_9;q14_99;q14_99_1;q15;q16_1;q16_2;q16_3;q16_4;q16_5;q16_6;q16_7;q16_8;q16_9;q17_1;q17_2;q17_3;q17_4;q17_1_99;q17_2_99;q17_3_99;q17_4_99;q18;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_99;q19_99_1;q20;q21;q22;q23_1;q23_1_99;q23_1_1;q23_2;q23_2_99;q23_2_1;q23_3;q23_3_99;q23_3_1;q23_4;q23_4_99;q23_4_1;q24_1;q24_1_99;q24_2;q24_2_99;q24_3;q24_3_99;q24_4;q24_4_99;q25_1_1;q25_1_2;q25_2_1;q25_2_2;q25_3_1;q25_3_2;q25_4_1;q25_4_2;q25_5_1;q25_5_2;q25_6_1;q25_6_2;q26;q27;q28;q29;q30;q31;q32;q33;q34_1;q34_2;q34_3;q34_99;q34_99_1;q35;q36_1_1;q36_1_2;q36_1_3;q36_1_4;q36_1_5;q36_2_1;q36_2_2;q36_2_3;q36_2_4;q36_2_5;UF;Regiao;Q_completo;q2_1_velha;q2_2_velha;q2_3_velha;q2_4_velha;q2_5_velha;q2_6_velha;q2_7_velha;q2_99_velha;q7_1_1_velha;q7_1_2_velha;q7_1_3_velha;q7_2_1_velha;q7_2_2_velha;q7_2_3_velha;q7_2_4_velha;q7_2_5_velha;q7_3_1_velha;q7_3_2_velha;q7_3_3_velha;q7_3_4_velha;q9_1_velha;q9_2_velha;q9_3_velha;q9_4_velha;q9_99_velha;q10_1_velha;q10_2_velha;q10_3_velha;q10_4_velha;q10_5_velha;q10_6_velha;q10_7_velha;q10_8_velha;q10_9_velha;q10_10_velha;q10_11_velha;q10_12_velha;q10_13_velha;q10_99_velha;q13_1_velha;q13_2_velha;q13_1_99_velha;q13_2_99_velha;q14_1_velha;q14_2_velha;q14_3_velha;q14_4_velha;q14_5_velha;q14_6_velha;q14_7_velha;q14_8_velha;q14_9_velha;q14_99_velha;q16_1_velha;q16_2_velha;q16_3_velha;q16_4_velha;q16_5_velha;q16_6_velha;q16_7_velha;q16_8_velha;q16_9_velha;q17_1_velha;q17_2_velha;q17_3_velha;q17_4_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q19_5_velha;q19_6_velha;q19_99_velha;q23_1_99_velha;q23_1_1_velha;q23_2_99_velha;q23_2_1_velha;q23_3_99_velha;q23_3_1_velha;q24_1_99_velha;q24_2_99_velha;q24_3_99_velha;q24_4_99_velha;q27_velha;q31_velha;q32_velha;q34_1_velha;q34_2_velha;q34_3_velha;q34_99_velha;q35_velha;q36_1_2_velha;q36_1_3_velha;q36_1_4_velha;q36_1_5_velha;q36_2_2_velha;q36_2_3_velha;q36_2_4_velha;q36_2_5_velha;d_4;d_5;d_6;d_17_1;d_17_2;d_17_3;d_17_4;d_21;d_22;d_23_1;d_23_2;d_23_3;d_23_4;d_24_1;d_24_2;d_24_3;d_24_4;d_25_1_1;d_25_1_2;d_25_2_1;d_25_2_2;d_25_3_1;d_25_3_2;d_25_4_1;d_25_4_2;d_25_5_1;d_25_5_2;d_25_6_1;d_25_6_2;d_31;d_32;d_36_1_1;d_36_1_5;d_36_2_1;d_36_2_5;d_37_9bin1_sum;d_37_9bin2_sum;d_37_9bin3_sum;d_37_10bin1_sum;d_37_10bin2_sum;d_37_10bin3_sum;d_37_10bin4_sum;d_37_10bin5_sum;d_37_11bin1_sum;d_37_11bin2_sum;d_37_11bin3_sum;d_37_11bin4_sum;nu_trabalhador
11;Secretaria de Estado da Assistência e do Desenvolvimento Social;3;Farquar;2986;Complexo Rio Madeira, Prédio Paccás, 6º Andar;Pedrinhas;Entre Avenida Farquar;76801-348;PORTO VELHO;RO;casseasro@gmail.com;(69) 984914478;0;-69;-8.749.704.828.268.130;-6.391.043.186.187.740;2;0;0;0;1;1;0;1;0; ;1;1;0;0;1;1;1;1;0; ;1;2017; ; ;1; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;1;1;0; ;0;0;52;1;10;2;1;8;2;1;939;1;0; ; ;1;18;0; ;1;200;0; ;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;2;8;4;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;11;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;1;0;10;2;8;2;939;1;18; ;200; ; ;8;4; ; ; ; ; ; ; ; ; ; ; ; ; ;0;3;0; ; ; ; ;0;4;3;3;5;1;4;1;4;1;3;3;2;2;2;2;2;2;2;2;2;2;3;2;1; ;1; ; ;2;13; ;8; ; ;1;4; ;11; ;15
12;Secretaria de Estado de Assistência Social, dos Direitos Humanos e de Políticas para Mulheres - SEASDHM;3;NAÇÕES UNIDAS;2731; ;ESTAÇÃO EXPERIMENTAL; ;69918-172;RIO BRANCO;AC;gabinete.seasdhm@ac.gov.br;(68) 32287580; ;-68;-996.686.403.427.369;-6.783.152.103.424.070;2;0;0;0;0;0;0;1;1;Mulheres;1;1;1;1;1;1;1;1;1; ;1;2017; ;2017; ; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ;1;1;0;1;0;1;1;0; ;0;0;22;1;11;2;1;1;2;1;1839;1;0; ; ;1;10;0; ;1;6;0; ;9;9;2;3;3;1;0;1;1;1;0;0;1;1;1;1;3;4;0;1;0;1;0;0; ;2017;0; ; ; ; ;0; ; ; ; ;12;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;0; ; ; ; ;1;0;1;0;1;1;0;11;2;1;2;1839;1;10; ;6; ;1;4;0;0;1;0;0;2017; ; ; ; ; ; ; ; ;0;3;3; ; ; ; ;0;3;4;2;6;1;3;1;3;1;3;3;2;2;2;2;1;2;2;2;1;1;2;1;1; ;1; ;28;55;77;4;22; ;4;2;89; ;44;27;160
13;SECRETARIA DE ESTADO DE ASSISTÊNCIA SOCIAL;3;Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping;69050-020;MANAUS;AM;dgsuas@seas.am.gov.br;(92) 21217818;0;-92;-3.092.787.158.426.990;-60.022.476.017.475.100;2;0;0;0;0;1;0;0;0; ;1;1;1;0;1;1;1;1;1;2017; ;2019; ; ;1;0;1;0;0; ; ; ; ; ;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ;0;21;38;1;281;1;0; ; ;1;117;1;1;161;1;1;36;0; ;1;106;0; ;6;6;5;3;0;5;2;1;1;0;1;0;1;0;1;1;2;6;0;4;0;1;0;0; ;2014;0; ; ; ; ;0; ; ; ; ;13;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;1;1;1;0;281;1;0;1;117;1;36; ;106; ;0;6;0;0;1;0;0;2014; ; ; ; ; ; ; ; ;3;1;0; ; ; ; ;3;3;4;1;4;4;4;1;4;1;3;3;2;2;1;2;2;2;2;1;2;1;3;1;1; ;1; ;21;80;185;3;71;1;4;24;77;25;111;73;286
14;SECRETARIA DE ESTADO DO TRABALHO E BEM-ESTAR SOCIAL;3;MARIO HOMEM DE MELO;2310;não tem;MECEJANA;ao lado da escola Estadual Ana Libória;69304-350;BOA VISTA;RR;gabinetesetrabes@gmail.com;(95) 21212630;2632;(95) 21212640;28.224.792;-60.693.928;2;0;0;0;0;1;1;1;1;Esporte e Juventude;2;1;2;1;1;1;1;1;1; ;1;2015; ;2016; ; ; ; ;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0; ;1;1;0;1; ;8;1;1;0;0;0;0;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;1;1;0; ;0;0;9;1;10;2;0; ; ;0; ; ;0; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;7;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;14;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1; ;8;1;1;0;0;0;0;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;1;0;10;2; ; ; ; ; ; ; ; ;1;7;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;5;4; ; ; ; ;0;2;3;1;1;1;1;1;1;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;80;334;165;11;18;1;7;15;351; ;178;50;579
15;SECRETARIA DE ESTADO  DE ASSISTÊNCIA SOCIAL, TRABALHO, EMPREGO E RENDA;3;GOVERNADOR JOSÉ MALCHER;1018;entre a Alameda Joaquim Nabuco e Av. Wandecolk;NAZARÉ;PANIFICADORA METROPOLE;66055-260;BELEM;PA;seasterpa@yahoo.com.br;(91) 32391414; ;(91) 32196304;-14.506.679.331.952.100;-48.484.688.401.222.200;2;0;0;0;0;1;1;0;0; ;0;2;2;0;2;2;2;2;2; ;1;2016; ;2017; ; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;Pecúnia;1;1;0;1; ;17;1;1;1;0;0;0;1;1;1;0; ;1;0;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ;1;0;0;1;0;1;1;0; ;1;144;44;1;441;2;1;5;2;1;920;1;0; ; ;0; ;0; ;1;16;0; ;7;7;2;2;2;2;1;1;1;1;1;1;0; ;0;1;1;7;3;0; ; ; ; ; ; ;1;5;0; ; ;1;4;0; ; ;15;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1; ;17;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0; ; ; ; ;0;0;1;0;1;1;0;441;2;5;2;920;1; ; ;16; ; ;7;3; ; ; ; ; ;5;0; ; ;4;0; ; ;0;4;3; ; ; ; ;4;3;4;2;5;1;1;1;4;1;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2; ;8;128;11;68; ;1;14;108; ;22;6;136
16;Secretaria de Inclusão e Mobilização Social;3;Rio Vila Nova;6; ;Central; ;68900-092;MACAPA;AP;sims@sims.ap.gov.br;(96) 21013404; ;-96;0.02936616411383297;-5.105.317.443.609.230;2;0;0;0;0;1;0;0;0; ;2;2;2;0;2;1;1;2;0; ;1;2019; ;2019; ; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0; ;1;1;0;1; ;4;1;1;1;0;0;0;0;1;1;1;Orienta sobre o preenchimento do SIMPETI.;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;0;1;1;1;Via rede social WhatsApp, e-mail, ligação por telefone, mídias sociais.;0;0;16;0; ; ;0; ; ;0; ; ;0; ; ;1;11;0; ;1;20;0; ;6;5;3;3;1;1;0;0;1;1;1;1;0; ;1;1;2;8;2;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;16;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1; ;4;1;1;1;0;0;0;0;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;1;1;1; ; ; ; ; ; ;11; ;20; ; ;8;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1; ; ; ; ;0;3;1;1;1;1;4;1;4;1;3;2;2;2;2;2;1;1;2;2;2;2;3;2;1; ;1; ; ;37;115;5;38; ;1;6;97; ;51;4;152
17;SECRETARIA DO TRABALHO E DA ASSISTÊNCIA SOCIAL;27;Esplanada das Secretarias Praça dos Girassois;0; ;centro; ;77001-002;PALMAS;TO;gabinetesetasto@gmail.com;(63) 32181926; ;(63) 32181988;-10.184.152.550.702.600;-48.334.951.400.756.800;2;0;0;0;0;1;1;0;1;Inclusão Produtiva;1;2;0;0;0;1;1;1;1; ;1;2018; ; ;1; ; ; ;1;1;1;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;0;1; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1; ; ; ;0; ; ; ; ; ; ; ;Audiências púbicas;0;0;69;1;48;2;1;31;2;1;2865;1;0; ; ;0; ;0; ;0; ;0; ;8;8;5;5;3;0;0;0;2;1;0;0;1;0;1;1;1;11;2;1;0;0;0;1;SECAD;2018;0; ; ; ; ;0; ; ; ; ;17;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;48;2;31;2;2865;1; ; ; ; ;0;11;2;0;0;0;1;2018; ; ; ; ; ; ; ; ;0;2;0;1;0;0;0;0;4;4;4;6;1;1;1;1;1;3;3;2;2;2;1;1;1;2;2;1;1;4;2;1; ;1; ; ;11;64;9;22; ;1; ;52; ;20;3;75
21;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;32;DAS GARDÊNIAS, QUADRA 01;25; ;JARDIM RENASCENÇA;PLANTA TOWER , OFICE TOWER;65075-080;SAO LUIS;MA;saas100@outlook.com;(98) 20169200; ;-98;-24.994.548.222.813.200;-4.429.213.285.446.160;2;0;0;0;0;0;0;0;1;Desenvolvimento Social;1;1;2;0;1;1;1;1;1; ;1;2017; ;2017; ; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;0;1;1;1;Reunião de apoio técnico, plantão de atendimento e elaboração de boletins informativos da Vigilância Socioassistencial.;1;2;117;1;163;1;1;2;2;1;2407;1;0; ; ;0; ;0; ;0; ;0; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;10;0;1;0;0;1;0; ;2015;0; ; ; ; ;0; ; ; ; ;21;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;1;1;1;163;1;2;2;2407;1; ; ; ; ;1;10;0;0;0;1;0;2015; ; ; ; ; ; ; ; ;0;3;3; ; ; ; ;1;4;4;2;6;1;1;1;1;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ; ;13;42;5;21; ;1;1;26;3;23;3;55
22;SECRETARIA DA ASSISTENCIA SOCIAL E CIDADANIA - SASC;32;ACRE;340; ;CABRAL;PROXIMO A ASSEMBLEIA LEGISLATIVA;64001-650;TERESINA;PI;sasc@sasc.pi.gov.br;(86) 32264880; ;(86) 32217126;-5.080.185.439.245.900;-4.279.929.041.862.480;2;0;0;0;0;1;1;1;0; ;1;1;1;1;1;1;1;1;1; ;1;2018; ;2018; ;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0; ;0;1;0;1; ;24;1;0;1;0;0;0;1;1;1;0; ;1;1;1;1;0;1;0;0;0;0;1;0;0;0;3; ; ; ;1;0;0;0;0;1;1;0; ;1;163;50;0; ; ;0; ; ;0; ; ;0; ; ;0; ;0; ;0; ;0; ;6;6;2;4;2;1;1;1;0;0;1;0;1;1;1;1;1;9;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;22;2;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1; ;24;1;0;1;0;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ; ; ; ;1;9;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2;2;1;0;0;0;4;3;1;1;1;1;1;1;1;1;3;3;2;2;2;2;2;2;1;1;2;1;3;1;1; ;1; ; ;1;22;2;14; ; ;3;9; ;11;3;23
23;Secretaria de Proteção Social, Justiça, Cidadania ,Mulheres e Direitos Humanos;32;SORIANO ALBUQUERQUE;230; ;Joaquim Távora;PRÉDIO DA ANTIGA L.B.A.;60130-160;FORTALEZA;CE;gabinete@sps.gov.br;(85) 31014597;2121;(85) 31012121;-37.477.716.410.239.100;-3.851.925.730.705.260;2;0;0;0;0;1;0;1;1;Justiça, Cidadania ,Mulheres;1;1;1;1;1;1;1;1;1; ;1;2019; ;2019; ;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;0;0;0;0;0;0;0;1;0;0; ;2; ; ;1;1;1;1;0;1;1;1;atendimentos particularizados na SPS;1;89;184;1;272;1;0; ; ;1;5967;1;0; ; ;1;41;0; ;1;304;0; ;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;1;8;0;0; ; ; ; ; ; ;0; ; ; ; ;0; ; ; ; ;23;2;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;2; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;272;1; ; ;5967;1;41; ;304; ; ;8;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;0;1;0;0;4;4;4;1;6;1;4;1;4;1;3;3;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1; ;67;148;172;25;37; ;13;8;108;40;4;235;387
