IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2;q3;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q6;q6_4_99;q7;q7_4_99;q8;q9;q10;q11;q11_4_99;q12;q13_1;q13_2;q13_3;q13_4;q13_5;q13_99;q13_99_1;q14;q15_1_1;q15_1_2;q15_1_3;q15_2_1;q15_2_2;q15_2_3;q15_3_1;q15_3_2;q15_3_3;q15_4_1;q15_4_2;q15_4_3;q16_1;q16_2;q16_3;q17_0;q17_1;q17_2;q17_3;q17_4;q18_1;q18_2;q18_3;q18_4;q18_5;q18_0;q19;q20_1;q20_2;q20_3;q20_4;q20_5;q20_6;q20_99;q20_99_1;q21_1;q21_2;q21_3;q21_4;q21_5;q21_6;q21_7;q21_0;q22_1;q22_2;q22_3;q22_4;q22_5;q22_6;q22_7;q22_8;q22_99;q22_99_1;q23;q24_1_1;q24_1_1_98;q24_2_1;q24_2_1_98;q24_3_1;q24_3_1_98;q24_1_2;q24_1_2_98;q24_2_2;q24_2_2_98;q24_3_2;q24_3_2_98;q24_1_3;q24_1_3_98;q24_2_3;q24_2_3_98;q24_3_3;q24_3_3_98;q24_1_4;q24_1_4_98;q24_2_4;q24_2_4_98;q24_3_4;q24_3_4_98;q24_1_5;q24_1_5_98;q24_2_5;q24_2_5_98;q24_3_5;q24_3_5_98;q24_1_6;q24_1_6_98;q24_2_6;q24_2_6_98;q24_3_6;q24_3_6_98;q24_1_7;q24_1_7_98;q24_2_7;q24_2_7_98;q24_3_7;q24_3_7_98;q25;q27_97;Nome_UF;Região;Q_incompleto;q5_1_velha;q5_2_velha;q5_3_velha;q5_4_velha;q5_5_velha;q10_velha;q11_velha;q12_velha;q5_5_rec;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO;d25_8bin1_sum;d25_8bin2_sum;d25_8bin3_sum;d25_9bin1_sum;d25_9bin2_sum;d25_9bin3_sum;d25_9bin4_sum;d25_9bin5_sum;d25_10bin1_sum;d25_10bin2_sum;d25_10bin3_sum;d25_10bin4_sum;nu_trabalhador
11;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;AV. FARQUAR;2986;Complexo Rio Madeira, Prédio Pacaás Novo, 6º andar;Arigolândia;PALÁCIO RIO MADEIRA- COMPLEXO PACAÁS NOVOS,6º ANDAR;76801-348;PORTO VELHO;RO;feas.ro1995@gmail.com;(69) 993888509; ;-69;-915.359.258.390.788;-643.068.141.967.022;1;2;3;3;0;0;0;16;16;3; ;3; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0; ;0;0;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0; ;2;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;207000; ;71927,04; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;207000; ;71927,04; ;0; ;1; ;11;1; ;0;0;0;16;16; ; ; ;16; ; ; ;,347473623188406; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1
12;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Nações Unidas;2731; ;Estação Experimental; ;69912-600;RIO BRANCO;AC;gabinete.seasdhm@ac.gov.br;(68) 32262937; ;-68;-100.661.478.424;-683.710.447.814.842;1;2;3;2;0;0;1;0;1;1; ;1; ;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0; ;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0; ;3;5156; ;0; ;0; ;45802; ;29369,04; ;0; ;66740; ;56100; ;0; ;919361,65; ;863761,39; ;0; ;0; ;0; ;0; ;480777,44; ;480777,44; ;0; ;1517837,09; ;1430007,87; ;0; ; ; ;12;1; ;0;0;1;0;1; ; ; ;1;0;,641217414086721;,840575367096194;,939522972271032; ;1; ; ;1;5;1;1; ; ; ;3; ;3; ;6
13;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Av. Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping;69050-020;MANAUS;AM;chefiadegabinete@seas.am.gov.br;(92) 21217823; ;-92;-3.093.111.232.955.480;-6.002.270.936.965.940;1;2;1;1;0;11;12;0;23;1; ;1; ;0;1;1;2; ;5;1;1;1;1;1;0; ;1;62;62;0;58;58;0;2;2;0;2;2;0;58;58;0;0;1;0;1;1;1;1;1;1;0;0;2;0;1;1;1;1;0;0; ;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;APOIO TÉCNICO PRESENCIAL AOS MUNICÍPIOS, PARTICIPAÇÃO EM EVENTOS E/OU CAPACITAÇÃO INTERESTADUAL,;2;26470375,91; ;25944624,38; ;1467600; ;16374624,48; ;15001224,78; ;1802509,14; ;0; ;0; ;725000; ;230000; ;230000; ;725000; ;10000; ;0; ;0; ;0; ;0; ;0; ;43085000,39; ;41175849,16; ;4720109,14; ; ;1;13;1; ;0;11;12;0;23;1;2;5;23;,980138116217632;,916126339161092; ;1;0; ; ; ; ;3; ; ; ; ; ;1;1;1; ;3
14;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;MARIO HOMEM DE MELO;2310; ;MECEJANA; ;69304-350;BOA VISTA;RR;feas.roraima@gmail.com;(95) 21212632; ;-95;28.234.888;-607.121.521;1;2;2;0; ; ; ; ; ;2; ;1; ;1;1;1;1; ;0;0;1;0;0;0;0; ;1;8;8;0;0;0;0;8;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;Comitê Gestor PBF;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;1;0; ;2;3191,78; ;0; ;0; ;661938,62; ;0; ;0; ;433320; ;419140; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1098450,4; ;419140; ;0; ; ; ;14;1; ; ; ; ; ; ;1;1;0; ;0;0;,967275916182036; ; ; ; ; ;2;7; ;1;1; ;1;2;1;6; ;9
15;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;AVENIDA GOVERNADOR JOSE MALCHER;1018; ;NAZARE; ;66055-260;BELEM;PA;seasterpa@yahoo.com.br;(91) 32391414; ;-91;-14.506.732.958.939.100;-4.848.448.991.775.510;1;2;2;0; ; ; ; ; ;2; ;2; ;1;1;1;2; ;4;1;1;1;0;0;0; ;1;0;432;0;0;144;0;0;144;0;0;144;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0; ;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0; ;5;0; ;0; ;2513920,67; ;0; ;0; ;1165515; ;21974496,52; ;21974496,52; ;0; ;8020551,88; ;8020551,88; ;0; ;31197,33; ;31197,33; ;0; ;310347,01; ;310347,01; ;0; ;30336592,74; ;30336592,74; ;3679435,67; ; ; ;15;1; ; ; ; ; ; ;1;2;4; ; ; ;1;1;1;1; ; ; ;1; ; ; ; ; ; ; ;1; ;1
16;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Rio Vila Nova;7; ;Central; ;68900-092;MACAPA;AP;sims@sims.ap.gov.br;(96) 21013422; ;-96;0.029439924852039764;-51.053.016.185.760.500;1;2;2;1;0;0;1;0;1;4;Central de Licitações e Contratos do Governo do Estado do Amapá;1; ;1;1;1;4;Em único valor, destinado conforme prioridade definida pelo próprio município, e cofinanciamento de CREAS Regionalizado (PAEFI/LA-PSC);0;1;1;1;1;1;0; ;1;48;48;0;16;16;0;16;16;0;16;16;0;16;16;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Pagamento e aquisição de material de consumo e diárias;2;5245906; ;3554450,01; ;2880000,01; ;5115000; ;4161795,42; ;120000; ;845906; ;674450; ;0; ;250000; ;90000; ;0; ;57102243; ;33251725,4; ;0; ;0; ;0; ;0; ;68559055; ;41732420,83; ;3000000,01; ; ;1;16;1; ;0;0;1;0;1;1;4;0;1;,677566469929122;,813645243401759;,797310812312479;,36;,582319076327702; ; ; ; ;5; ; ; ;1; ;4; ;1; ;5
17;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;27;Esplanada das Secretaria Praça dos Girassois;s/n; ;Centro; ;77003-902;PALMAS;TO;financeiro.setas.to@gmail.com;(63) 32181934; ;(63) 32186905;-10.218.483.584.961;-481.537.569.728.278;1;2;0;0; ; ; ; ; ;1; ;2; ;1;1;1;2; ;0;0;1;0;1;0;0; ;1;1;1;0;0;0;0;1;1;0;0;0;0;88;88;0;0;1;1;1;1;1;1;1;1;0;0;2;1;1;1;1;0;0;1;Gerência de Segurança Alimentar;0;1;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0; ;4;728310; ;0; ;261900; ;698200; ;0; ;58200; ;742810; ;0; ;18000; ;233620; ;0; ;0; ;50200; ;0; ;0; ;0; ;0; ;0; ;2453140; ;0; ;338100; ; ; ;17;1; ; ; ; ; ; ;1;2;0; ;0;0;0;0;0; ; ; ; ;3; ; ; ; ; ;2; ;1; ;3
21;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;DAS GARDÊNIAS, QUADRA I;25;xxxxxxxxx;JARDIM RENASCENÇA;PLANTA TOWER , OFICE TOWER;65075-080;SAO LUIS;MA;saas100@outlook.com;(98) 20169206;9206;-98;-24.995.067;-442.895.141;1;4;2;0; ; ; ; ; ;2; ;1; ;1;1;1;2; ;0;0;1;0;1;0;0; ;0;0;35;0;0;34;0;0;1;0;0;0;0;35;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0; ;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0; ;3;380257; ;24916; ;0; ;2480237; ;1235873,26; ;480000; ;737000; ;368500; ;368500; ;1402676,11; ;731083,77; ;0; ;10000; ;9552,24; ;0; ;0; ;0; ;0; ;5010170,11; ;2369925,27; ;848500; ; ; ;21;2; ; ; ; ; ; ;1;2;0; ;,0655241060651086;,498288373248202;,5;,521206403094724;,955224; ; ; ;2;3; ; ; ; ; ;4; ;1; ;5
22;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;ACRE;340; ;CABRAL;PROXIMO A ASSEMBLEIA LEGISLATIVA;64001-650;TERESINA;PI;sasc@sasc.pi.gov.br;(86) 32215977; ;(86) 32217126;-5.080.375.127.974.180;-42.799.268.960.952.700;1;2;2;2;1;0;1;0;2;3; ;2; ;1;1;1;2; ;0;0;1;1;1;0;0; ;1;0;26;0;0;0;0;0;23;0;0;3;0;224;74;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0; ;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0; ;4;16882753;0;0;0;0;0;17057306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33940059;0;0;0;0;0;0;0;22;2; ;1;0;1;0;2;1;2;0;2;0;0; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ;2; ;2
23;FUNDO ESTADUAL DA ASSISTÊNCIA SOCIAL;32;Soriano Albuquerque;230; ;Joaquim Távora; ;60130-160;FORTALEZA;CE;feas.ce@sps.ce.gov.br;(85) 31014581; ;(85) 31014625;-37.479.108.176.098.800;-3.851.920.366.287.230;1;2;1;1;5;2;6;0;13;1; ;2; ;2;1;1;1; ;1;1;1;0;1;0;0; ;0;0;198;0;0;159;0;0;39;0;0;0;0;0;184;0;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;COORDENACAO DA PROTECAO BASICA, EDUCACAO E SAUDE;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0; ;3;24506956,58; ;20054920,78; ;7300000; ;33734996,1; ;25466599,51; ;3117574,34; ;0; ;0; ;2500000; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;58241952,68; ;45521520,29; ;12917574,34; ; ; ;23;2; ;5;2;6;0;13;1;1;1;13;,818335835154934;,754901510422881; ; ; ; ; ; ;11;7; ; ; ; ; ;5;3; ;10;18
