IBGE;q25_3;q25_8;q25_9;q25_10;q25_11;q25_12;q25_13;Nome_UF;Região;Q_incompleto;DataCenso;DataCenso_2020;Faixas_etarias;d25_8;d25_8bin1;d25_8bin2;d25_8bin3;d25_9;d25_9bin1;d25_9bin2;d25_9bin3;d25_9bin4;d25_9bin5;d25_10;d25_10bin1;d25_10bin2;d25_10bin3;d25_10bin4;d25_8bin1_sum;d25_8bin2_sum;d25_8bin3_sum;d25_9bin1_sum;d25_9bin2_sum;d25_9bin3_sum;d25_9bin4_sum;d25_9bin5_sum;d25_10bin1_sum;d25_10bin2_sum;d25_10bin3_sum;d25_10bin4_sum;nu_trabalhador
11;2;256;237;292;250;20; ;11;1; ;31.08.2020;8/31/2020;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;0;1;0;0;0;0;0;0;0;0;1;0;1
12;1;257;237;292;249;20; ;12;1; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;1;5;1;1;0;0;0;3;0;3;0;6
12;1;257;275;292;389;20; ;12;1; ;31.08.2020;8/31/2020;4;2; ; ;1;1;1; ; ; ; ;3; ; ;1; ;0;1;5;1;1;0;0;0;3;0;3;0;6
12;1;255;238;138;249;20; ;12;1; ;31.08.2020;8/31/2020;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;0;1;5;1;1;0;0;0;3;0;3;0;6
12;1;257;273;138;21;20; ;12;1; ;31.08.2020;8/31/2020;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;0;1;5;1;1;0;0;0;3;0;3;0;6
12;2;257;240;138;249;20; ;12;1; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;1;5;1;1;0;0;0;3;0;3;0;6
12;1;257;237;292;249;20; ;12;1; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;1;5;1;1;0;0;0;3;0;3;0;6
13;1;257;416;138;249;20; ;13;1; ;31.08.2020;8/31/2020;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;3;0;0;0;0;0;1;1;1;0;3
13;2;257;235;292;249;20; ;13;1; ;31.08.2020;8/31/2020;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;0;3;0;0;0;0;0;1;1;1;0;3
13;1;257;235;139;250;20; ;13;1; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;2; ;1; ; ;0;0;3;0;0;0;0;0;1;1;1;0;3
14;2;257;237;139;249;20; ;14;1; ;31.08.2020;8/31/2020;2;2; ; ;1;8; ; ; ; ; ;2; ;1; ; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;2;257;237;292;249;20; ;14;1; ;31.08.2020;8/31/2020;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;1;256;274;292;249;20; ;14;1; ;31.08.2020;8/31/2020;5;1; ;1; ;5; ; ; ; ;1;3; ; ;1; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;1;257;236;292;249;20; ;14;1; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;2;260;234;292;249;20;05/11/2019;14;1; ;31.08.2020;8/31/2020;4;2; ; ;1;3; ; ;1; ; ;3; ; ;1; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;1;257;237;138;249;20;21/01/2019;14;1; ;31.08.2020;8/31/2020;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;1;258;235;138;249;20;21/01/2019;14;1; ;31.08.2020;8/31/2020;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;1;257;273;292;249;20;05/11/2019;14;1; ;31.08.2020;8/31/2020;4;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ;0;2;7;0;1;1;0;1;2;1;6;0;9
14;1;256;239;292;250;20; ;14;1; ;31.08.2020;8/31/2020;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;0;2;7;0;1;1;0;1;2;1;6;0;9
15;2;257;235;292;48;391;01/01/2019;15;1; ;31.08.2020;8/31/2020;6;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;0;1;0;0;0;0;0;0;0;1;0;1
16;1;257;235;138;249;20; ;16;1; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;1;257;232;292;48;20; ;16;1; ;31.08.2020;8/31/2020;5;2; ; ;1;4; ; ; ;1; ;3; ; ;1; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;1;257;237;138;249;20; ;16;1; ;31.08.2020;8/31/2020;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;2;258;416;138;21;20; ;16;1; ;31.08.2020;8/31/2020;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;2;257;235;138;250;20; ;16;1; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
17;2;257;237;138;249;20;28/11/2018;17;1; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;3;0;0;0;0;0;2;0;1;0;3
17;2;257;237;292;389;20;01/02/2019;17;1; ;31.08.2020;8/31/2020;6;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;0;3;0;0;0;0;0;2;0;1;0;3
17;1;257;237;138;249;20;28/11/2018;17;1; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;3;0;0;0;0;0;2;0;1;0;3
21;1;255;238;138;250;20;01/04/1982;21;2; ;31.08.2020;8/31/2020;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;0;2;3;0;0;0;0;0;4;0;1;0;5
21;1;257;237;138;249;20;01/01/1982;21;2; ;31.08.2020;8/31/2020;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;2;3;0;0;0;0;0;4;0;1;0;5
21;2;255;238;138;250;20;01/04/1982;21;2; ;31.08.2020;8/31/2020;5;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;0;2;3;0;0;0;0;0;4;0;1;0;5
21;1;257;237;138;249;20;01/01/1982;21;2; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;2;3;0;0;0;0;0;4;0;1;0;5
21;2;257;237;292;389;263;01/03/2019;21;2; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;2;3;0;0;0;0;0;4;0;1;0;5
22;1;257;232;292;48;263;03/04/2018;22;2; ;31.08.2020;8/31/2020;3;2; ; ;1;4; ; ; ;1; ;3; ; ;1; ;0;0;2;0;0;0;1;0;0;0;2;0;2
22;2;257;237;292;21;18; ;22;2; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;0;2;0;0;0;1;0;0;0;2;0;2
23;1;256;237;293;249;263;01/12/2004;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
