NU_IDENTIFICADOR;IBGE;IBGE7;Região;UF;Município;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;q44_3;q44_9;q44_10;q44_11;q44_12;q44_13;q44_14;q44_15_1;q44_15_2;q44_15_3;DataCenso;DataCenso_2020;q44_2_rec;Idade;Faixas_etarias;d_44_9;d_44_11;d_44_9bin1;d_44_9bin2;d_44_9bin3;d_44_10bin1;d_44_10bin2;d_44_10bin3;d_44_10bin4;d_44_10bin5;d_44_11bin1;d_44_11bin2;d_44_11bin3;d_44_11bin4;d_44_9bin1_sum;d_44_9bin2_sum;d_44_9bin3_sum;d_44_10bin1_sum;d_44_10bin2_sum;d_44_10bin3_sum;d_44_10bin4_sum;d_44_10bin5_sum;d_44_11bin1_sum;d_44_11bin2_sum;d_44_11bin3_sum;d_44_11bin4_sum;nu_trabalhadores;d_44_15_1bin_Gestão;d_44_15_1bin_PopRua;d_44_15_1bin_Abordagem;d_44_15_1bin_Cadastramento;d_44_15_1bin_Outros;d_44_15_2bin_Gestão;d_44_15_2bin_PopRua;d_44_15_2bin_Abordagem;d_44_15_2bin_Cadastramento;d_44_15_2bin_Outros;d_44_15_3bin_Gestão;d_44_15_3bin_PopRua;d_44_15_3bin_Abordagem;d_44_15_3bin_Cadastramento;d_44_15_3bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d_44_15_1bin_Gestão_sum;d_44_15_1bin_PopRua_sum;d_44_15_1bin_Abordagem_sum;d_44_15_1bin_Cadastramento_sum;d_44_15_1bin_Outros_sum;d_44_15_2bin_Gestão_sum;d_44_15_2bin_PopRua_sum;d_44_15_2bin_Abordagem_sum;d_44_15_2bin_Cadastramento_sum;d_44_15_2bin_Outros_sum;d_44_15_3bin_Gestão_sum;d_44_15_3bin_PopRua_sum;d_44_15_3bin_Abordagem_sum;d_44_15_3bin_Cadastramento_sum;d_44_15_3bin_Outros_sum
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;1;253;238;293;254;263;23/12/2017;;;;31.08.2020;31-ago-2020;30-jun-1957;63;5,00;0,00;4,00;1,00;;;;;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;;;;;;;;;;;;;;;;;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;1;253;239;264;254;20;01/01/2011;;;;31.08.2020;31-ago-2020;19-set-1969;50;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;;;;;;;;;;;;;;;;;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;1;254;239;264;252;20;01/07/2020;;;;31.08.2020;31-ago-2020;15-abr-1975;45;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;;;;;;;;;;;;;;;;;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;1;257;273;293;249;263;23/07/2019;2;;;31.08.2020;31-ago-2020;19-abr-1976;44;3,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;1,00;;;;;;;;;;;;;;;1,00;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;0;257;237;266;252;20;01/09/2020;2;;;31.08.2020;31-ago-2020;04-mai-1977;43;3,00;2,00;4,00;;;1,00;;;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;1,00;;;;;;;;;;;;;;;1,00;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;0;258;274;266;249;18;01/09/2020;2;;;31.08.2020;31-ago-2020;04-fev-1978;42;3,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;1,00;;;;;;;;;;;;;;;1,00;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;0;258;273;292;21;263;02/01/2016;1;;;31.08.2020;31-ago-2020;27-dez-1978;41;3,00;2,00;3,00;;;1,00;;1,00;;;;;;1,00;;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;1,00;;;;;;;;;;;;;;;1,00;;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;0;257;273;266;249;18;01/09/2020;2;;;31.08.2020;31-ago-2020;18-mar-1979;41;3,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;1,00;;;;;;;;;;;;;;;1,00;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;1;255;238;293;252;263;13/10/2020;99;;;31.08.2020;31-ago-2020;18-mar-1979;41;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;;;;1,00;;;;;;;;;;;;;;;1,00;1,00;9,00;3,00;;3,00;;;;;;;;;;
12.004.097.308;120.040;1.200.401;1;12;Rio Branco;9.222,58;336.038,0000000000000000;308.545,0;27.493,0;4;0;256;239;293;251;263;22/05/2019;2;;;31.08.2020;31-ago-2020;12-jul-1981;39;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;3,00;8,00;8,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;18,00;19;;1,00;;;;;;;;;;;;;;;1,00;;;;1,00;9,00;3,00;;3,00;;;;;;;;;;
