IBGE;Estado_Municipio;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2020;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
316555;2;3165553305505;0;257;273;142;218;20;02/06/2013;3165552;31;3;Setubinha;10885;2802;8083;Pequeno I;534,655;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;2,00;;1,00;;;1,00;;;;2,00;2;
350600;2;3506003306051;1;257;236;362;218;20;16/12/2003;3506003;35;3;Bauru;343937;338184;5753;Grande;667,684;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;;;;;;;;1,00;1,00;5,00;7,00;1,00;4,00;;;1,00;;;;13,00;13;
420445;2;4204453306007;0;257;273;138;218;18;27/04/2015;4204459;42;4;Coronel Martins;2458;685;1773;Pequeno I;107,299;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;;2,00;;1,00;;;1,00;2,00;;;;2;
421450;2;4214503305829;1;258;273;138;218;272;01/03/2019;4214508;42;4;Rio do Campo;6192;2632;3560;Pequeno I;506,249;;31.08.2020;31/ago/20;1,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;;2,00;;1,00;;;1,00;2,00;;;;2;
421720;2;4217203308694;0;257;273;138;218;20;13/02/2017;4217204;42;4;São Miguel do Oeste;36306;32065;4241;Pequeno II;234,036;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;;2,00;;1,00;;;1,00;2,00;;;;2;
110020;2;1100203309440;0;257;274;138;218;18;29/01/2013;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;;;3,00;;1,00;;;2,00;3,00;;;;3;1
110020;2;1100203309440;0;257;273;138;218;18;27/09/2010;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;;3,00;;1,00;;;2,00;3,00;;;;3;1
110020;2;1100203309440;0;257;274;138;21;20;13/12/2017;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;;;3,00;;1,00;;;2,00;3,00;;;;3;1
110033;2;1100333309456;0;257;274;138;218;20;16/10/2017;1100338;11;1;Nova Mamoré;22546;13067;9479;Pequeno II;10071,643;;31.08.2020;31/ago/20;1,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;1,00;1,00;2,00;;1,00;;;1,00;4,00;;;;4;
110033;2;1100333309456;0;257;273;138;21;20;16/10/2017;1100338;11;1;Nova Mamoré;22546;13067;9479;Pequeno II;10071,643;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;1,00;2,00;;1,00;;;1,00;4,00;;;;4;
