IBGE;Estado_Municipio;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estado;DataCenso;DataCenso_2020;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras;filter_$
17;1;1721003308700;0;255;238;291;388;15/07/2019;;17;1;;;;;;;;1;31.08.2020;31/ago/20;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;2,00;1,00;1,00;;;;;;;;4,00;4;0
17;1;1721003308700;0;253;239;291;388;01/12/2019;;17;1;;;;;;;;1;31.08.2020;31/ago/20;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;1,00;2,00;1,00;1,00;;;;;;;;4,00;4;0
17;1;1721003308700;0;257;275;291;388;01/12/2019;;17;1;;;;;;;;1;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;1,00;2,00;1,00;1,00;;;;;;;;4,00;4;0
17;1;1721003308700;0;255;238;291;388;01/12/2019;;17;1;;;;;;;;1;31.08.2020;31/ago/20;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;2,00;1,00;1,00;;;;;;;;4,00;4;0
110020;2;1100203309440;0;257;237;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;0;0;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;;;;;1,00;1,00;6,00;2,00;;;;;;;;;9,00;9;1
110020;2;1100203309440;0;258;281;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;0;0;31.08.2020;31/ago/20;5,00;2,00;4,00;;;1,00;;;;;;;;;1,00;1,00;6,00;2,00;;;;;;;;;9,00;9;1
110020;2;1100203309440;1;255;239;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;0;0;31.08.2020;31/ago/20;4,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;6,00;2,00;;;;;;;;;9,00;9;1
110020;2;1100203309440;0;255;239;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;0;0;31.08.2020;31/ago/20;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;6,00;2,00;;;;;;;;;9,00;9;1
110020;2;1100203309440;1;255;238;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;0;0;31.08.2020;31/ago/20;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;6,00;2,00;;;;;;;;;9,00;9;1
110020;2;1100203309440;0;255;238;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962;0;0;31.08.2020;31/ago/20;4,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;6,00;2,00;;;;;;;;;9,00;9;1
