Variável;Rótulo
NU_IDENTIFICADOR;NU_IDENTIFICADOR_id_posto_cadastramento_NU_IDENTIFICADOR
IBGE;IBGE_codigo_ibge_IBGE
IBGE7;IBGE7_IBGE7_codigo IBGE com 7 digitos
Regiao;Regiao_Região_Região
UF;UF_Nome_UF_UF
Município;Município_Município_Município
areaKm2;areaKm2_area Km2_area Km2
Pop_total_2010;Pop_Total_2010_Pop_total_2010_Pop_total_2010
Pop_Urbana2010;Pop_Urbana2010_Pop_Urbana2010_Pop_Urbana2010
Pop_Rural2010;Pop_Rural2010_Pop_Rural2010_Pop_Rural2010
Porte_pop2010;Porte_pop2010_Porte_pop2010_Porte_pop2010
Latitude;Latitude_p_latitude_71. Latitude:
Longitude;Longitude _p_longitude_72. Longitude:
q0_1;q0_1_v8362_0.1. Denominação
q0_2;q0_2_v8363_0.2. Selecione o Tipo de Logradouro (avenida, rua, etc):
q0_3;q0_3_v8364_0.3. Endereço:
q0_4;q0_4_v8365_0.4. Número:
q0_5;q0_5_v8366_0.5. Complemento:
q0_6;q0_6_v8367_0.6. Bairro:
q0_7;q0_7_v8368_0.7. Ponto de Referência:
q0_8;q0_8_v8369_0.8. CEP:
q0_9;q0_9_v8370_0.9. Município:
q0_10;q0_10_v8371_0.10. UF:
q0_11;q0_11_v8372_0.11. E-mail:
q0_12;q0_12_v8373_0.12. DDD - Telefone:
q0_13;q0_13_v8374_0.13. Ramal:
q0_14;q0_14_v8375_0.14. Fax:
q1_0;q1_0_v15648_1.0. Este local é:
q1_1;q1_1_v15649_1.1. Qual?
q2_1;q2_1_v15650_2.1. Horário de funcionamento - dias por semana
q2_2;q2_2_v15651_2.2. Horário de funcionamento - horas POR SEMANA
q3_0;q3_0_v15652_3.0. Indique se a Unidade está localizada em:
q4_0;q4_0_v15653_4.0. O local onde funciona a Unidade é servido por transporte público (ônibus/trem/metrô/barcas)?
q5_0;q5_0_v15654_5.0. Situação do imóvel onde se localiza a Unidade:
q6_1;q6_1_v15657_6.1. Salas para atendimento de apenas uma família por vez:
q6_2;q6_2_v15658_6.2. Salas com 2 a 5 guichês de atendimento
q6_3;q6_3_v15660_6.3. Salas com 6 a 10 guichês de atendimento
q6_4;q6_4_v15661_6.4. Salas com 11 a 15 guichês de atendimento
q6_5;q6_5_v15662_6.5. Salas com mais de 15 guichês de atendimento
q6_6;q6_6_v15663_6.6. Salas exclusivas de coordenação, equipe técnica ou administração
q6_7;q6_7_v15664_6.7. Banheiros
q6_8;q6_8_v15665_6.8. Recepção
q6_9;q6_9_v15666_6.9. Cozinha/Copa
q6_10;q6_10_v15667_6.10. Almoxarifado
q6_11;q6_11_v15668_6.11. Salas para Arquivos
q7_1;q7_1_v15670_7.1. Acesso principal adaptado com rampas e rota acessível desde a calçada até a recepção do posto
q7_2;"q7_2_v15672_7.2. Rota acessível aos espaços do posto (recepção, salas de atendimento e espaços de uso coletivo);"
q7_3;q7_3_v15673_7.3. Rota acessível ao banheiro
q7_4;q7_4_v15674_7.4. Banheiro adaptado para pessoas com deficiência
q8_1;q8_1_v15675_1_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade desta Unidade?1: Sim, suporte de profissional com conhecimento em LIBRAS
q8_2;q8_2_v15675_2_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade desta Unidade?2: Sim, suporte de material em braile
q8_3;q8_3_v15675_3_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade desta Unidade?3: Sim, suporte para leitores de telas de computador para pessoas com deficiência visual
q8_4;q8_4_v15675_4_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade?4: Sim, há outras adaptações para assegurar acessibilidade às pessoas com deficiência auditiva/surdas e pessoas com deficiência visual neste posto.
q8_5;q8_5_v15675_5_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade desta Unidade?5: Sim, outras adaptações e tecnologias assistivas para deficiência física.
q8_6;q8_6_v15675_6_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade desta Unidade?6: Sim, outras adaptações e tecnologias assistivas para deficiência intelectual e autismo.
q8_7;q8_7_v15675_7_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade desta Unidade?7: Sim, pisos especiais com relevos para sinalização voltados pessoa com deficiência visual
q8_0;q8_0_v15675_0_8. Além dos itens acima, há outras adaptações para assegurar a acessibilidade desta Unidade?0: Não há outras adaptações
q8_4_99;q8_4_99_v15676_8.4.99. Qual(is)
q8_5_99;q8_5_99_v15677_8.5.99. Qual(is)?
q8_6_99;q8_6_99_v15678_8.6.99. Qual(is)?
q9_1;q9_1_v15679_1_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade1: Telefone
q9_2;q9_2_v15679_2_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade2: Celular da unidade
q9_3;q9_3_v15679_3_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade3: Impressora
q9_4;q9_4_v15679_4_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade4: Máquina Copiadora
q9_5;q9_5_v15679_5_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade5: Televisão (TV)
q9_6;q9_6_v15679_6_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade6: Equipamento de som
q9_7;q9_7_v15679_7_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade7: DVD
q9_8;q9_8_v15679_8_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade8: Datashow
q9_9;q9_9_v15679_9_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade9: Veículo de uso exclusivo
q9_10;q9_10_v15679_10_9. Indique os equipamentos e materiais disponíveis, em perfeito funcionamento, para o desenvolvimento dos serviços desta Unidade10: Veículo de uso compartilhado
