NU_IDENTIFICADOR;IBGE;IBGE7;Regiao;UF;Município;areaKm2;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;q40_2;q40_3;q40_7;q40_8;q40_9;q40_10;q40_11;q40_12;q40_13;q40_11_recodificada;DataCenso;DataCenso_2020;q40_2_rec;Idade;Faixas_etarias;d_40_8;d_40_8bin1;d_40_8bin2;d_40_8bin3;d_40_9;d_40_9bin1;d_40_9bin2;d_40_9bin3;d_40_9bin4;d_40_9bin5;d_40_10;d_40_10bin1;d_40_10bin2;d_40_10bin3;d_40_10bin4;d_40_8bin1_sum;d_40_8bin2_sum;d_40_8bin3_sum;d_40_9bin1_sum;d_40_9bin2_sum;d_40_9bin3_sum;d_40_9bin4_sum;d_40_9bin5_sum;d_40_10bin1_sum;d_40_10bin2_sum;d_40_10bin3_sum;d_40_10bin4_sum;nu_trabalhador
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;21/12/1991;0;AM;255;239;292;254;20;01/06/2018;255,00;31.08.2020;31/ago/20;21/dez/91;28;2,00;1,00;;1,00;;7,00;;;;;;3,00;;;1,00;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;06/03/1958;1;AM;255;239;138;254;20;01/04/1989;255,00;31.08.2020;31/ago/20;06/mar/58;62;6,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;08/06/1963;0;AM;257;237;138;370;20;01/04/2013;250,00;31.08.2020;31/ago/20;08/jun/63;57;5,00;2,00;;;1,00;8,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;10/01/1969;0;AM;255;238;138;370;20;01/04/2008;250,00;31.08.2020;31/ago/20;10/jan/69;51;5,00;1,00;;1,00;;6,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;06/06/1971;1;AM;255;239;138;370;20;01/01/2010;250,00;31.08.2020;31/ago/20;06/jun/71;49;4,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;21/12/1971;0;AM;253;239;292;252;18;01/06/2018;253,00;31.08.2020;31/ago/20;21/dez/71;48;4,00;0,00;1,00;;;7,00;;;;;;3,00;;;1,00;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;28/06/1974;1;AM;256;238;292;21;263;17/10/2017;21,00;31.08.2020;31/ago/20;28/jun/74;46;4,00;1,00;;1,00;;6,00;;;;;;3,00;;;1,00;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;18/12/1966;0;AM;255;239;138;370;20;06/07/2010;250,00;31.08.2020;31/ago/20;18/dez/66;53;5,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;20/03/1976;0;AM;258;273;138;249;263;01/01/2010;249,00;31.08.2020;31/ago/20;20/mar/76;44;4,00;2,00;;;1,00;2,00;;1,00;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;24/12/1980;0;AM;257;237;138;370;20;01/03/2010;250,00;31.08.2020;31/ago/20;24/dez/80;39;3,00;2,00;;;1,00;8,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;22/07/1977;0;AM;255;239;138;254;263;01/01/2010;255,00;31.08.2020;31/ago/20;22/jul/77;43;4,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;05/02/1983;1;AM;255;239;138;370;20;01/01/2010;250,00;31.08.2020;31/ago/20;05/fev/83;37;3,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;13/03/1984;1;AM;255;239;138;370;20;01/04/2013;250,00;31.08.2020;31/ago/20;13/mar/84;36;3,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;15/03/1982;0;AM;255;239;138;370;20;17/10/2017;250,00;31.08.2020;31/ago/20;15/mar/82;38;3,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;02/02/1983;0;AM;253;239;142;252;20;01/06/2018;253,00;31.08.2020;31/ago/20;02/fev/83;37;3,00;0,00;1,00;;;7,00;;;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;20/04/1987;1;AM;255;239;138;251;20;01/06/2018;252,00;31.08.2020;31/ago/20;20/abr/87;33;3,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475302;130120;1301209;1;13;Coari;57921,65;75965,0000000000000000;49651,0;26314,0;3;29/03/1987;0;AM;257;237;138;370;262;01/01/2010;250,00;31.08.2020;31/ago/20;29/mar/87;33;3,00;2,00;;;1,00;8,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;13,00;0,00;3,00;1,00;17
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;18/05/1979;0;PA;255;239;266;251;18;01/08/2019;252,00;31.08.2020;31/ago/20;18/mai/79;41;4,00;1,00;;1,00;;7,00;;;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;11/02/1994;0;PA;255;239;266;370;20;01/08/2019;250,00;31.08.2020;31/ago/20;11/fev/94;26;2,00;1,00;;1,00;;7,00;;;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;27/02/1994;1;PA;255;239;138;370;20;01/08/2016;250,00;31.08.2020;31/ago/20;27/fev/94;26;2,00;1,00;;1,00;;7,00;;;;;;1,00;1,00;;;;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;27/02/1998;0;PA;256;239;266;370;20;16/08/2017;250,00;31.08.2020;31/ago/20;27/fev/98;22;2,00;1,00;;1,00;;7,00;;;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;07/04/1964;0;MA;257;273;266;21;18;03/05/2017;21,00;31.08.2020;31/ago/20;07/abr/64;56;5,00;2,00;;;1,00;2,00;;1,00;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;01/09/1971;0;PA;254;239;266;251;20;03/04/2017;252,00;31.08.2020;31/ago/20;01/set/71;48;4,00;0,00;1,00;;;7,00;;;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;20/08/1980;1;PA;255;239;266;370;20;27/07/2010;250,00;31.08.2020;31/ago/20;20/ago/80;40;3,00;1,00;;1,00;;7,00;;;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475485;150760;1507607;1;15;São Miguel do Guamá;1110,15;51567,0000000000000000;31884,0;19683,0;3;24/07/1995;0;PA;253;239;266;252;20;03/04/2017;253,00;31.08.2020;31/ago/20;24/jul/95;25;2,00;0,00;1,00;;;7,00;;;;;;4,00;;;;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;7,00;8
475576;240400;2404002;2;24;Frutuoso Gomes;63,28;4233,0000000000000000;2812,0;1421,0;1;06/12/1979;0;SP;255;238;292;21;20;02/01/2017;21,00;31.08.2020;31/ago/20;06/dez/79;40;3,00;1,00;;1,00;;6,00;;;;;;3,00;;;1,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;22/10/1992;1;PE;257;238;293;370;20;01/09/2015;250,00;31.08.2020;31/ago/20;22/out/92;27;2,00;2,00;;;1,00;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;09/04/1986;1;PE;255;238;293;370;263;02/01/2018;250,00;31.08.2020;31/ago/20;09/abr/86;34;3,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;13/04/1977;0;PE;253;239;293;252;20;01/09/2015;253,00;31.08.2020;31/ago/20;13/abr/77;43;4,00;0,00;1,00;;;7,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;16/04/1980;0;PE;257;237;292;21;20;01/08/2019;21,00;31.08.2020;31/ago/20;16/abr/80;40;3,00;2,00;;;1,00;8,00;;;;;;3,00;;;1,00;;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;02/06/1979;0;PE;255;238;293;370;263;01/10/2019;250,00;31.08.2020;31/ago/20;02/jun/79;41;4,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;04/06/1978;0;PE;257;237;293;370;20;14/05/2015;250,00;31.08.2020;31/ago/20;04/jun/78;42;4,00;2,00;;;1,00;8,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;17/09/1980;1;PE;255;238;293;370;20;02/02/2018;250,00;31.08.2020;31/ago/20;17/set/80;39;3,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;12/05/1979;0;PE;257;237;293;370;20;22/06/2015;250,00;31.08.2020;31/ago/20;12/mai/79;41;4,00;2,00;;;1,00;8,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;25/02/1983;0;PE;257;273;293;370;20;10/01/2018;250,00;31.08.2020;31/ago/20;25/fev/83;37;3,00;2,00;;;1,00;2,00;;1,00;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;17/12/1983;0;PE;257;237;293;370;263;01/10/2019;250,00;31.08.2020;31/ago/20;17/dez/83;36;3,00;2,00;;;1,00;8,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;06/09/1984;0;PE;255;238;293;370;20;14/05/2015;250,00;31.08.2020;31/ago/20;06/set/84;35;3,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;03/07/1985;1;PE;257;275;138;254;20;18/01/2010;255,00;31.08.2020;31/ago/20;03/jul/85;35;3,00;2,00;;;1,00;1,00;1,00;;;;;1,00;1,00;;;;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;17/02/1991;1;PE;255;238;293;370;263;01/10/2019;250,00;31.08.2020;31/ago/20;17/fev/91;29;2,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;24/09/1989;0;PE;255;238;293;370;20;14/05/2015;250,00;31.08.2020;31/ago/20;24/set/89;30;3,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;14/05/1984;1;PE;255;238;293;370;20;18/10/2018;250,00;31.08.2020;31/ago/20;14/mai/84;36;3,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;25/05/1987;0;PE;255;238;293;370;20;14/05/2015;250,00;31.08.2020;31/ago/20;25/mai/87;33;3,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;14/11/1988;0;PE;257;237;293;370;263;14/05/2015;250,00;31.08.2020;31/ago/20;14/nov/88;31;3,00;2,00;;;1,00;8,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
475625;261160;2611606;2;26;Recife;217,49;1537704,0000000000000000;1537704,0;;5;11/06/1990;0;PE;255;238;293;370;263;02/04/2018;250,00;31.08.2020;31/ago/20;11/jun/90;30;3,00;1,00;;1,00;;6,00;;;;;;4,00;;;;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;30,00;32
