codigo_ibge;NU_IDENTIFICADOR;q01;q02;q03;q04;q05;q06;q07;q08;q09;q010;q011;q012;q013;q014;q015;Latitude;Longitude;q1;q2;q3;q4_1;q4_2;q4_3;q4_0;q4_98;q5_1;q5_2;q5_99;q5_0;q5_99_1;q6;q7;q8;q9;q10;q11;q12;q12_98;q13;q14;q15;q16;q16_98;q17_1_1;q17_1_2;q17_1_3;q17_1_4;q17_1_5;q17_1_6;q17_1_7;q17_1_8;q17_1_9;q17_2_1;q17_2_2;q17_2_3;q17_2_4;q17_2_5;q17_2_6;q17_2_7;q17_2_8;q17_2_9;q18_1;q18_1_98;q18_2;q18_2_98;q18_3;q18_3_98;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8;q19_9;q19_10;q20_1;q20_1_98;q20_2;q20_2_98;q20_3;q20_3_98;q20_4;q20_4_98;q20_5;q20_5_98;q20_6;q20_6_98;q21_1;q21_1_98;q21_2;q21_2_98;q21_3;q21_3_98;q22_1;q22_1_98;q22_2;q22_2_98;q22_3;q22_3_98;q22_4;q22_4_98;q22_5;q22_5_98;q23;q23_98;q24_1;q24_2;q24_3;q24_4;q24_5;q24_6;q24_7;q24_8;q24_9;q24_10;q24_11;q24_12;q24_13;q24_14;q24_15;q24_16;q24_17;q24_18;q24_19;q24_20;q24_21;q24_22;q24_23;q24_24;q24_25;q24_26;q25;q26_1;q26_2;q26_3;q27_1;q27_2;q27_3;q27_99;q27_0;q27_99_1;q28;q29;q30_1;q30_2;q30_3;q30_4;q30_99;q30_98;q30_0;q30_99_1;q31;q32_1;q32_2;q33_1;q33_2;q33_3;q33_0;q33_1_99;q33_2_99;q33_3_99;q34_1;q34_2;q34_3;q34_4;q34_1_99;q34_2_99;q34_3_99;q35_1;q35_2;q35_3;q35_4;q35_5;q35_6;q35_99;q35_0;q35_99_1;q36_1;q36_2;q36_3;q36_98;q37;q38;q39;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;q2_velha;q4_1_velha;q4_2_velha;q4_3_velha;q4_0_velha;q4_98_velha;q5_1_velha;q5_2_velha;q5_0_velha;q5_99_velha;q7_velha;q12_velha;q12_98_velha;q17_1_1_velha;q17_1_2_velha;q17_1_3_velha;q17_1_4_velha;q17_1_5_velha;q17_1_6_velha;q17_1_7_velha;q17_1_8_velha;q17_1_9_velha;q17_2_1_velha;q17_2_2_velha;q17_2_3_velha;q17_2_4_velha;q17_2_5_velha;q17_2_6_velha;q17_2_7_velha;q17_2_8_velha;q17_2_9_velha;q17_total;q18_1_velha;q18_2_velha;q18_3_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q19_5_velha;q19_6_velha;q19_7_velha;q19_8_velha;q19_9_velha;q19_10_velha;q21_1_velha;q21_2_velha;q21_3_velha;q22_1_velha;q22_2_velha;q22_3_velha;q22_4_velha;q22_5_velha;q23_velha;q24_1_velha;q24_2_velha;q24_3_velha;q24_4_velha;q24_5_velha;q24_6_velha;q24_7_velha;q24_8_velha;q24_9_velha;q24_10_velha;q24_11_velha;q24_12_velha;q24_13_velha;q24_14_velha;q24_15_velha;q24_16_velha;q24_17_velha;q24_18_velha;q24_19_velha;q24_20_velha;q24_21_velha;q24_22_velha;q24_23_velha;q24_24_velha;q24_25_velha;q24_26_velha;q27_1_velha;q27_2_velha;q27_3_velha;q27_99_velha;q27_0_velha;q30_1_velha;q30_2_velha;q30_3_velha;q30_4_velha;q30_99_velha;q30_98_velha;q30_0_velha;q31_velha;q35_1_velha;q35_2_velha;q35_3_velha;q35_4_velha;q35_5_velha;q35_6_velha;q35_99_velha;q35_0_velha;q36_1_velha;q36_2_velha;q36_3_velha;q36_98_velha;d12_faixa;d15_faixa;d16_faixa;q17_1_9_recod;q17_2_9_recod;d17_total_faixa;d18_1_faixa;d18_2_faixa;d18_3_faixa;d19_1_faixa;d19_2_faixa;d19_3_faixa;d19_4_faixa;d19_5_faixa;d19_6_faixa;d19_7_faixa;d19_8_faixa;d19_9_faixa;d20_1_faixa;d20_2_faixa;d20_3_faixa;d20_4_faixa;d20_5_faixa;d20_6_faixa;d21_1_faixa;d21_2_faixa;d21_3_faixa;d22_1_faixa;d22_2_faixa;d22_3_faixa;d22_4_faixa;d22_5_faixa;d23_faixa;d26_1_faixa;d26_2_faixa;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores
110020;1100203309440;UNIDADE DE ACOLHIMENTO;32;Geraldo Ferreira;135;CREAS;Agenor de Carvalho;CREAS;76820-316;PORTO VELHO;RO; ;(69) 98473-6021; ; ;13/12/2017;-915.359.258.390.788;-643.068.141.967.022;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2018;1;1000; ;0;3;4;7; ;0;1;0;2;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0; ;0; ;0; ;0;0;1;3;0;0;0;0; ;4;3; ;3; ;1; ;0; ;0; ;0; ;1; ;0; ;0; ;0; ;0; ;1; ;0; ;3; ;2; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;4;20;13;1;0;1;1;0;0; ;1;7;1;0;0;0;0;0;0; ;3;4;0;1;1;1;0;2;5;6;0;0;1;0; ; ;1;1;1;1;0;1;0;0;0; ;0;0;1;0; ;1;1;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;1; ; ; ; ; ;1;1;0;0; ;1000; ;0;1;0;2;0;0;0;0;3;0;1;0;0;0;0;0;0;1;4;0;0;0;0;0;1;3;0;0;0;0; ;4;1;0;0;0;0;1;0;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;3;1;1;1;0;1;0;0;0;0;0;1;0;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;1;6;2; ; ; ; ; ; ; ; ;9;9; ; ;3; ;1; ; ;2;3; ; ; ;3
120040;1200403306082;UNIDADE DE ACOLHIMENTO SERVIÇO DE ACOLHIMENTO FAMILIAR;32;MENDES DE SA;485; ;BAHIA VELHA;AO LADO DA ESCOLA FREI THIAGO M. MATIOLLI;69911-564;RIO BRANCO;AC; ;(68) 3225-4404; ; ;07/10/2013;-9.987.828.122.374.920;-6.782.851.696.014.400;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2013;0; ; ;99;1;4;5; ;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;3;1; ;0; ;0; ;1;2;0;1;0;0;0;0; ;4;0; ;2; ;0; ;2; ;0; ;0; ;0; ;0; ;0; ;1; ;0; ;0; ;0; ;0; ;2; ;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;3;12;5;1;1;1;1;0;0; ;1;2;1;0;0;0;0;0;0; ;3;4;4;0;1;0;0; ;4; ;0;0;0;1; ; ; ;1;0;1;0;0;0;0;0; ;0;1;0;0; ;1;1;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;1; ; ; ; ; ;0;1;0;0; ; ; ;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;3;4;1;0;0;1;2;0;1;0;0;0;0; ;4;0;0;0;1;0;0;0;0;2;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;1;0;0; ;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1; ;3; ; ; ; ; ; ; ; ;4;4;1; ;4;1; ; ; ;1;3; ; ;2;5
130260;1302603310450;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA  LAR BATISTA JANELL DOYLE;32;IGARAPÉ DE MAUÁ;1; ;MAUAZINHO;PRÓXIMO A UBS DO MAUAZINHO;69075-291;MANAUS;AM; ;(92) 3615-8302; ; ;01/03/2018;-31.206.144;-599.385.206;315;2;63.692.354/0001-64;1;1;0;0;0;1;1;1;0;direitos humanos;2; ;0;1;2017;1;1300; ;99;1;15;26; ;4;2;3;1;0;0;0;0;10;1;1;1;1;1;0;0;0;5;0; ;0; ;0; ;0;4;0;11;0;0;0;0; ;15;0; ;0; ;9; ;0; ;0; ;0; ;0; ;0; ;0; ;1; ;0; ;13; ;0; ;0; ;4; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;12;20;0;1;1;1;0;0; ;1;3;1;1;1;1;0;0;0; ;3;3;0;0;0;1;0; ; ;1;0;0;1;0; ; ;1;1;1;0;0;1;1;0;0; ;1;0;0;0; ;1;3;1302603;13;1;Manaus;1802014;1792881;9133;Metrópole;11401,092; ;2;2;1;1;0;0;0;1;1;0;1; ;1300; ;4;2;3;1;0;0;0;0;10;1;1;1;1;1;0;0;0;5;15;0;0;0;0;4;0;11;0;0;0;0; ;15;0;0;0;1;0;13;0;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;3;1;1;0;0;1;1;0;0;1;0;0;0;4;2;2;10;5;2;1;1;1;1;1;1;2;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;3; ;6;9;4;1; ; ; ; ; ; ;15;15; ; ;3; ;1; ; ;2; ; ; ;3;3
130340;1303403309096;UNIDADE DE ACOLHIMENTO FAMILIAR EM FAMÍLIA ACOLHEDORA;32;NOVE;1732;casa;UNIÃO; ;69151-000;PARINTINS;AM; ;(92) 99270-3249; ; ;01/10/2017;-26.244.922.933.864.900;-5.672.962.188.720.700;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2017;1;1100; ;0;1;2;2; ;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0;0;2;0;0;0;0;0; ;2;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;2; ;0; ;0; ;0; ;2; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;3;4;10;1;1;1;1;0;0; ;1;3;1;1;1;0;0;0;0; ;3;3; ;0;1;0;0; ;2; ;0;0;0;1; ; ; ;1;1;1;0;1;1;0;0; ;1;0;0;0; ;1;1;1303403;13;1;Parintins;102033;69890;32143;Grande;5956,373; ;2;1; ; ; ; ; ;0;1;0;0; ;1100; ;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0; ;2;0;0;0;0;2;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;3;1;1;1;0;1;1;0;0;1;0;0;0;4;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ;2;2; ; ;4; ;3; ; ;1; ; ; ;4;4
150157;1501573311598;UNIDADE DE ACOLHIMENTO;32;brasil;511; ;laranjeiras; ;68525-000;BOM JESUS DO TOCANTINS;PA; ;(94) 99195-8538; ; ;24/05/2011;-505.426.669.935.566;-487.635.144.500.526;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2011;0; ; ;1;1;5;5; ;0;0;2;0;0;0;0;0;2;1;1;1;0;0;0;0;0;3;0; ;0; ;0; ;3;0;0;0;2;0;0;0; ;5;0; ;0; ;0; ;0; ;0; ;0; ;0; ;2; ;0; ;0; ;0; ;0; ;0; ;0; ;1; ;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;4;10;1;1;1;1;0;0; ;1;2;0;1;1;0;0;0;0; ;3;4;5;0;0;0;1; ; ; ;0;0;0;1; ; ; ;1;1;1;0;1;1;0;0; ;1;1;0;0; ;2;2;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616; ;2;1; ; ; ; ; ;0;1;0;0; ; ; ;0;0;2;0;0;0;0;0;2;1;1;1;0;0;0;0;0;3;5;0;0;0;3;0;0;0;2;0;0;0; ;5;0;2;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;3;1;1;1;0;1;1;0;0;1;1;0;0; ;1;1;2;3;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1; ; ; ; ; ; ; ; ; ;4;4; ; ;3;1;1; ; ;1; ; ; ;3;3
150230;1502303306524;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;32;JOSEFA ALVES BEZERRA;381; ;TATAJUBA;NO MESMO ESPAÇO DA UNIDADE DE ACOLHIMENTO INSTITUCIONAL MUNICIPAL;68650-000;CAPITAO POCO;PA; ;(91) 99808-4500; ; ;15/06/2010;-20.418.445.358.663.600;-47.230.031.491.635.600;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2011;1;100; ;0;1;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0;0;0;0;0;0;0;0; ;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;3;40;20;1;0;1;1;0;0; ;1;2;0;0;1;0;0;0;0; ;3;3;6;0;0;0;1; ; ; ;0;0;0;1; ; ; ;1;0;0;0;0;0;0;0; ;0;0;1;0; ;2;3;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553; ;2;1; ; ; ; ; ;1;1;0;0; ;100; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;3; ;1;1; ; ; ;1; ; ; ; ;2;2; ; ;4;2;1; ; ;1; ; ; ;4;4
150280;1502803312949;Unidade de Acolhimento;32;Esmeralda Fonseca;2;Proximo à Praça da Bandeira;Centro; ;68815-000;CURRALINHO;PA; ;(91) 3633-1302; ; ;15/09/2021;-18.141.766.125.531.600;-4.979.750.394.813.890;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2018;1;575; ;99;3;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0;0;0;0;0;0;0;0; ;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0; ;0;2; ; ; ; ; ;0;1; ; ;5;0;0;0;0;1; ; ; ;0;0;0;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1;1;2;1502806;15;1;Curralinho;28549;10930;17619;Pequeno II;3617,252; ;2;1; ; ; ; ; ;0;0;1;0; ;575; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1; ;0;0;0;0;0;0;0;1;0;0;0;1;3;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1; ; ;1;2; ; ; ;2
150510;1505103306376;UNIDADE DE ACOLHIMENTO - FAMILIA ACOLHEDORA;35;LIBERDADE;0; ;Fatima; ;68250-000;OBIDOS;PA; ;(93) 99209-0387; ; ;23/01/2012;-19.095.508.754.617.600;-5.551.482.796.669.000;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2012;1;350; ;99;1;1;1; ;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0;0;0;1;0;0;0;0; ;1;1; ;1; ;4; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1; ;0; ;0; ;0; ;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;5;0;0;0;1;1;1;0;0; ;1;3;0;0;1;0;0;0;0; ;1;0; ;0;0;0;1; ; ; ;0;0;0;1; ; ; ;0;0;0;0;1;0;0;0; ;0;1;0;0; ;2;3;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;1; ; ; ; ; ;1;0;0;0; ;350; ;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0; ;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;2; ;1; ; ; ; ; ; ;8;8; ; ;3; ;1; ; ;1;1; ; ;2;3
150563;1505633308394;UNIDADE DE ACOLHIMENTO;32;RUA PAULO FONTELES;0; ;CENTRO; ;68575-000;PICARRA;PA; ;(94) 43422-1309; ; ;02/07/2015;-6.444.441.409.491.340;-4.886.487.007.141.110;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2015;1;1100; ;99;1;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0;0;0;0;0;0;0;0; ;0;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;4;0;0;1;0;1;0;0;0; ;1;3;0;0;1;0;0;0;0; ;3;6;0;0;0;0;1; ; ; ;0;0;0;1; ; ; ; ; ; ; ; ; ; ;1; ;0;0;1;0; ;0;3;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708; ;2;1; ; ; ; ; ;1;0;0;0; ;1100; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;0;4;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ;2;2; ; ;3;1;1; ; ;1; ; ; ;3;3
150680;1506803308526;Unidade de Acolhimento - Serviço de Acolhimento em Família Acolhedora;3;Sérgio Henn;838; ;Aeroporto Velho;O Serviço fica localizado no prédio da Secretaria Municipal de Trabalho e Assistência Social (SEMTRAS) que fica ao lado da Prefeitura Municipal de Santarém.;68020-250;SANTAREM;PA; ;(93) 2101-5130;201; ;18/03/2014;-243.878.599.121.589;-5.471.508.979.797.360;315;1; ; ; ; ; ; ; ; ; ; ; ;2; ;0;1;2014;1;550; ;0;1;0;10; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;0; ;0;0;0;0;0;0;0;0; ;0;3; ;4; ;3; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ; ; ;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;0;0;0;1;1;1;1;0;Relatório mensal padronizado;0;4;1;1;1;0;0;0;0; ;4;5;5;0;1;1;0; ;1;1;0;0;0;1; ; ; ;1;0;1;1;1;0;0;0; ;0;0;1;0; ;1;1;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;1; ; ; ; ; ;0;0;1;0; ;550; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;4;1;0;1;1;1;0;0;0;0;0;1;0;3;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ;1;1;2;3;1; ; ; ; ; ; ; ; ;6;6; ; ;1; ;1; ; ; ; ; ; ;1;1
