IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores
316555;3165553305505;0;257;273;142;218;20;02/06/2013;3165552;31;3;Setubinha;10885;2802;8083;Pequeno I;534,655; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;1; ;1; ; ; ; ; ; ;1;1
410940;4109403307791;0;256;239;292;216;20;05/01/2021;4109401;41;4;Guarapuava;167328;152993;14335;Grande;3178,649; ;2;31.08.2021;8/31/2021;3;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;2;5; ;3; ; ;2;6; ;1;1;8
420445;4204453306007;0;257;273;138;218;18;27/04/2015;4204459;42;4;Coronel Martins;2458;685;1773;Pequeno I;107,299; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;2; ;1; ; ;1;2; ; ; ;2
421720;4217203308694;0;257;273;138;218;20;13/02/2017;4217204;42;4;São Miguel do Oeste;36306;32065;4241;Pequeno II;234,036; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;2; ;1; ; ;1;1; ; ;1;2
110020;1100203309440;0;257;273;138;218;18;09/07/2012;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;4;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;3; ;1; ; ;2;3; ; ; ;3
110020;1100203309440;1;257;274;138;21;20;23/07/2012;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;3; ;1; ; ;2;3; ; ; ;3
110020;1100203309440;0;257;274;138;218;18;23/07/2012;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;3; ;1; ; ;2;3; ; ; ;3
120040;1200403306082;0;257;274;293;218;20;28/11/2019;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;1; ;4;1; ; ; ;1;3; ; ;2;5
120040;1200403306082;1;252;239;142;372;20;01/12/2020;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1; ;4;1; ; ; ;1;3; ; ;2;5
120040;1200403306082;1;258;275;138;21;20;01/01/2018;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;1; ;4;1; ; ; ;1;3; ; ;2;5
120040;1200403306082;0;257;237;138;217;18;03/11/2016;1200401;12;1;Rio Branco;336038;308545;27493;Grande;8834,942; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1; ;4;1; ; ; ;1;3; ; ;2;5
