IBGE;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras
330350;3303503310456;0;255;238;138;388;01/04/1998;3303500;33;3;Nova Iguaçu;796257;787563;8694;Grande;520,807; ;2;31.08.2021;8/31/2021;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;5; ; ; ; ; ; ;2; ; ;3;5
330455;3304553306288;0;253;239;291;388;03/05/2017;3304557;33;3;Rio de Janeiro;6320446;6320446;0;Metrópole;1200,177; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;5;10;1;1; ; ; ; ; ; ; ;16;16
350600;3506003307781;0;255;238;291;388;01/10/2017;3506003;35;3;Bauru;343937;338184;5753;Grande;667,684; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;11;4;2;1; ; ; ; ; ; ; ;17;17
351040;3510403308564;0;257;238;265;388;08/09/2018;3510401;35;3;Capivari;48576;45904;2672;Pequeno II;322,878; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;10;15;8; ; ; ; ; ; ; ; ;33;33
352590;3525903303538;0;257;237;291;388;14/02/2018;3525904;35;3;Jundiaí;370126;354204;15922;Grande;431,207; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;7;7; ; ; ; ; ; ; ; ;15;15
410480;4104803309636;1;251;239;291;388;07/01/2015;4104808;41;4;Cascavel;286205;270049;16156;Grande;2100,831; ;2;31.08.2021;8/31/2021;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;31;7;3; ; ; ; ; ; ; ; ;41;41
412350;4123503309693;0;252;239;265;388;28/01/2021;4123501;41;4;Santa Helena;23413;12586;10827;Pequeno II;758,227; ;2;31.08.2021;8/31/2021;5;0;4;1; ; ; ; ; ; ; ; ; ; ;1;5;3;3;1; ; ; ; ; ; ; ;11;11
530010;5300103310442;0;255;238;265;388;01/12/2020;5300108;53;5;Brasília;2570160;2482210;87950;Metrópole;5779,997; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;4;27; ; ; ;1;3; ; ; ;32;32
530010;5300103310442;0;257;237;265;388;06/07/2019;5300108;53;5;Brasília;2570160;2482210;87950;Metrópole;5779,997; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;4;27; ; ; ;1;3; ; ; ;32;32
530010;5300103310442;0;257;237;265;388;01/09/2019;5300108;53;5;Brasília;2570160;2482210;87950;Metrópole;5779,997; ;2;31.08.2021;8/31/2021; ;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;4;27; ; ; ;1;3; ; ; ;32;32
