IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2_1;q2_2;q2_3;q2_4;q2_5;q2_6;q2_7;q2_99;q2_99_1;q3_1;q3_2;q3_3;q3_4;q3_5;q3_6;q3_7;q3_8;q3_9;q3_10;q4;q4_97;q5;q5_97;q6;q6_99;q7_1_1;q7_1_2;q7_1_0;q7_2_1;q7_2_2;q7_2_3;q7_2_4;q7_2_5;q7_2_0;q7_3_1;q7_3_2;q7_3_3;q7_3_4;q7_3_0;q8_0;q8_1;q8_2;q8_3;q8_4;q9;q10;q11_1;q11_2;q11_1_1;q11_1_2;q11_1_3;q11_1_4;q11_1_5;q11_2_1;q11_2_2;q11_2_3;q11_2_4;q11_2_5;q12_0;q12_1;q12_2;q12_3;q12_4;q12_5;q12_6;q12_7;q12_8;q12_9;q12_10;q12_11;q12_99;q12_99_1;q13_0;q13_1;q13_2;q13_3;q13_4;q13_5;q13_6;q13_7;q13_99;q13_99_1;q14_1;q14_2;q14_3;q14_4;q14_5;q14_6;q14_7;q14_8;q14_9;q14_10;q14_99;q14_0;q14_99_1;q15;q16_1;q16_2;q16_1_1;q16_2_1;q17_1;q17_2;q17_3;q17_4;q17_5;q17_6;q17_7;q17_8;q17_9;q17_99;q17_99_1;q18;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8;q19_9;q20;q21_1;q21_2;q21_3;q21_4;q21_5;q21_6;q21_7;q21_8;q21_9;q21_10;q21_99;q21_99_1;q22;q23;q24_1;q24_2;q24_3;q24_4;q24_99;q24_99_1;q25;q26_1_1;q26_1_2;q26_2_1;q26_2_2;q26_3_1;q26_3_2;q26_4_1;q26_4_2;q26_5_1;q26_5_2;q26_6_1;q26_6_2;q27;q28;q29;q30;q31;q32;q33;q34;q35;q36_1;q36_2;q36_3;q36_4;q36_5;q36_0;q37_0;q37_1;q37_2;q37_3;q37_4;q37_5;q37_6;q37_7;q37_8;q37_99;q37_99_1;q38_1;q38_2;q38_3;q38_4;q38_99;q38_99_1;q39;q40_1;q40_1_99;q40_2;q40_2_99;q40_3;q40_3_99;q40_4;q40_4_99;q41_1;q41_1_99;q41_2;q41_2_99;q41_3;q41_3_99;q41_4;q41_4_99;q42;q42_98;q43;q44;q44_99_1;q45;q46_1_1;q46_1_2;q46_1_3;q46_1_4;q46_1_5;q46_2_1;q46_2_2;q46_2_3;q46_2_4;q46_2_5;q47;q48;q48_1_99;q48_2_99;q49;q50;UF;Regiao;Q_incompleto;q7_1_1_velha;q7_1_2_velha;q7_1_0_velha;q7_2_1_velha;q7_2_2_velha;q7_2_3_velha;q7_2_4_velha;q7_2_5_velha;q7_2_0_velha;q7_3_1_velha;q7_3_2_velha;q7_3_3_velha;q7_3_4_velha;q7_3_0_velha;q8_0_velha;q8_1_velha;q8_2_velha;q8_3_velha;q8_4_velha;q12_0_velha;q12_1_velha;q12_2_velha;q12_3_velha;q12_4_velha;q12_5_velha;q12_6_velha;q12_7_velha;q12_8_velha;q12_9_velha;q12_10_velha;q12_11_velha;q12_99_velha;q13_0_velha;q13_1_velha;q13_2_velha;q13_3_velha;q13_4_velha;q13_5_velha;q13_6_velha;q13_7_velha;q13_99_velha;q14_0_velha;q14_1_velha;q14_2_velha;q14_3_velha;q14_4_velha;q14_5_velha;q14_6_velha;q14_7_velha;q14_8_velha;q14_9_velha;q14_10_velha;q14_99_velha;q16_1_velha;q16_2_velha;q16_1_1_velha;q16_2_1_velha;q17_1_velha;q17_2_velha;q17_3_velha;q17_4_velha;q17_5_velha;q17_6_velha;q17_7_velha;q17_8_velha;q17_9_velha;q17_99_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q19_5_velha;q19_6_velha;q19_7_velha;q19_8_velha;q19_9_velha;q24_1_velha;q24_2_velha;q24_3_velha;q24_4_velha;q24_99_velha;q25_velha;q28_velha;q36_1_velha;q36_2_velha;q36_3_velha;q36_4_velha;q36_5_velha;q36_0_velha;q37_0_velha;q37_1_velha;q37_2_velha;q37_3_velha;q37_4_velha;q37_5_velha;q37_6_velha;q37_7_velha;q37_8_velha;q37_99_velha;q44_velha;q45_velha;q50_velha;d_40_1;d_40_2;d_40_3;d_40_4;d_41_1;d_41_2;d_41_3;d_41_4;d_42
11;Secretaria de Estado da Assistência e do Desenvolvimento Social;3;Farquar;2986;Complexo Rio Madeira, Prédio Paccás, 6º Andar;Pedrinhas;Entre Avenida Farquar;76801-348;PORTO VELHO;RO;seasrondonia@gmail.com;(69) 984914478;0;-69;-8.746.735.702.863.030;-63.908.758.163.452.100;2;0;0;0;1;1;0;1;0; ;1;1;1;1;1;1;1;1;2;1;2019; ;1; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;crescendo bem;prato fácil;mulher protegida;mamãe cheguei;0; ; ; ; ; ;0;1;1;1;1;1;0;0;1;1;1;1;0; ;0;0;0;0;0;1;0;1;1; ;1;0;1;1;1;0;0;1;0;0;1;0;monitora em conjunto com a defesa civil,/mobilizar os muncipios;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ;1;1;1;1;1;0;1;1;1;1;1;0; ;Supervisão técnica (PSA e PSE) webinário (18 de maio e12 de junho), oficina RMA PSE, monitoramento PETI,apoio téncico preenchimento SIMPET, apoio técnico PSE Alta complexidade, oficina MSE, ofiicna PETI, Encontro Rondoniense da vigilância Socioassistencial, supervisão técnica implantação de vigilância Socioassistencial municipal;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;0;3;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0; ;0;1;1;0;0; ;1;1;62;1;20;1;729;1;281;0; ;0; ;0; ;0; ;0; ;1;1; ;2021;0; ; ; ; ;0; ; ; ; ;0; ;0;0;0; ;11;1; ;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0;1;2021; ;4;4;5;4;1;1;1;1;1
12;Secretaria de Estado de Assistência Social, dos Direitos Humanos e de Políticas para Mulheres - SEASDHM;3;NAÇÕES UNIDAS;2731; ;ESTAÇÃO EXPERIMENTAL; ;69918-172;RIO BRANCO;AC;gabinete.seasdhm@gmail.com;(68) 32287580; ;-68;-9.967.994.692.391.680;-6.783.245.444.297.790;2;0;0;0;0;0;0;1;1;Política para Mulheres;1;1;1;1;1;1;1;1;1;1;2020; ;0; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;0;0;0;1;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;0;0;1;1;1;1;1;1;Elaboração e entrega de Orientações Técnicas para Municípios;0;0;1;1;0;1;0;1;1;Dificuldade de comunicação com a Caixa Econômica;0;1;1;1;0;0;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ;1;1;0;1;0;0;1;0;0;0;0;0; ;Apoio Técnico Integrado do SUAS;0; ; ; ; ; ; ; ;3;3;1;4;3;1;1;0;1;1;0;0;1;1;1;1;1;2;0;6;4;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0; ;0;1;1;1;0; ;1;1;2;0; ;1;960;1;718;0; ;0; ;1;32;0; ;0; ;2;2; ;2018;0; ; ; ; ;0; ; ; ; ;1; ;0;1;0; ;12;1; ;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;2;2018; ;2;1;5;5;1;1;4;1;1
13;SECRETARIA DE ESTADO DE ASSISTÊNCIA SOCIAL;3;Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping;69050-020;MANAUS;AM;dgsuas@seas.am.gov.br;(92) 21217818;0;-92;-30.928.862.556.073.700;-6.002.247.333.526.610;1; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2017; ;1; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;0;0;1; ; ; ; ;1;1;1;1;Auxílio Emergencial;Auxílio Permanente; ; ; ;Auxílio Enchente; ; ; ; ;0;1;1;1;1;0;0;0;0;1;1;1;0; ;1; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ;1;0;1;1;1;0;1;0;1;1;1;0; ;Gestão do SUAS, RMA, Prontuários;0; ; ; ; ; ; ; ;6;6;3;4;3;4;2;1;1;0;1;0;1;1;1;1;1;3;0;4;4;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0; ;1;0;0;0;0; ;1;0; ;0; ;1;782;1;486;0; ;0; ;0; ;0; ;0; ;3;2; ;2014;0; ; ; ; ;0; ; ; ; ;1; ;5;4;0; ;13;1; ;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;2;2014; ;1;1;5;4;1;1;1;1;1
14;SECRETARIA DE ESTADO DO TRABALHO E BEM-ESTAR SOCIAL;3;MARIO HOMEM DE MELO; ;não tem;MECEJANA;ao lado da escola Estadual Ana Libória;69304-350;BOA VISTA;RR;gabinetesetrabes@gmail.com;(95) 21212630; ;(95) 21212640;28.225.414.182.655.900;-60.694.149.971.532.100;2;0;0;0;0;0;1;1;0; ;1;1;2;1;1;1;1;2;1;2; ;1;0;0;0; ; ; ;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0; ; ; ; ; ; ; ; ; ; ;0;0;1;1;1;1;0;0;1;1;1;0;0; ;0;0;0;1;0;0;0;0;0; ;1;0;1;0;0;1;0;0;0;0;0;0; ;1;0;1; ;8;1;1;1;1;0;0;1;1;1;1;ORIENTAÇÃO SOBRE RELAÇÃO COM O PODER JUDICIÁRIO BEM COMO ARTICULAÇÃO;0; ; ; ; ; ; ; ; ; ;1;0;1;1;0;0;1;0;1;1;0;0; ;POP RUA, MIGRARR,ll CLICLO DE PALESTRAS,;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;0;1;6;0;6;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0; ;0;1;1;0;0; ;1;1;390;0; ;1; ;0; ;0; ;0; ;0; ;0; ; ;1;0; ; ; ;0; ; ; ; ;0; ; ; ; ;0;0;0;0;0; ;14;1; ;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1; ;8;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0; ; ; ;4;1; ;1;1;1;1;1;7
15;SECRETARIA DE ESTADO  DE ASSISTÊNCIA SOCIAL, TRABALHO, EMPREGO E RENDA;3;GOVERNADOR JOSÉ MALCHER;1018;entre a Alameda Joaquim Nabuco e Av. Wandecolk;NAZARÉ;PANIFICADORA METROPOLE;66055-260;BELEM;PA;seasterpa@yahoo.com.br;(91) 32391414; ;(91) 32196304;-14.505.822.707.055.100;-4.848.445.125.969.250;2;0;0;0;0;1;1;0;0; ;0;2;2;0;1;2;2;2;2;2; ;1;0; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;BPAH;Renda Pará;Vale Gás; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;1;1;1;0; ;0;0;1;1;1;0;0;0;1;Falta do Acesso ao Recald;1;0;1;0;0;0;0;0;0;0;0;0; ;1;0;1; ;24;1;1;0;1;1;1;0;0;1;1;Assessoramento ao município de Primavera, pois o mesmo apresentou dificuldades para habilitar-se ao cofinanciamento estadual 2022 por falta de prestação de contas, Por isso não houve repasse do estado para este município, Apesar de o mesmo pertencer a regionalização,;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0; ;1º e 2º Encontro Estadual online do trabalho social com famílias indígenas, Apoio técnico para a execução dos serviços de acolhimento para crianças e adolescentes na modalidade de família acolhedora, 6 (seis) Encontros Regionais com o tema: Subsídios p/construção de fluxo de atendimento, de crianças e adolescentes vítima e testemunha de violência segundo a LEI 13,431/2017, Seminário de Erradicação do Trabalho Infantil, no município de Parauapebas realizado pela Comissão Intersetorial do PETI de 13 a 15 de junho de 2022, Audiência Pública no Município de Colares,;0; ; ; ; ; ; ; ;7;7;2;2;2;2;1;1;1;1;1;1;0; ;1;1;1;4;0;2;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0; ;0;1;1;0;0; ;1;0; ;0; ;1;43;1;1238;0; ;0; ;0; ;1;427;1665; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;0;2;0; ;15;1; ;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1; ;24;1;1;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0; ; ; ;1;1;4;6;1;1;1;4;6
16;Secretaria de Estado da Inclusão e Mobilização Social;3;Rio Vila Nova;6; ;Central; ;68900-092;MACAPA;AP;sims@sims.ap.gov.br;(96) 00000000; ;-96;0.02936616411383297;-5.105.317.443.609.230;2;0;0;0;0;1;0;0;0; ;2;2;2;2;2;1;1;2;2;2;2022; ;0; ;0; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;1; ; ; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;1;1;1;1;1;1;Formação, atendimento humanizado CAP/PAB;1; ; ; ; ; ; ; ; ; ;1;0;0;0;0;1;0;1;1;0;0;0; ;1;0;1; ;4;1;1;0;0;0;0;1;1;1;1;Acompanhamento e orientações dos serviços socioassistenciais;0; ; ; ; ; ; ; ; ; ;0;1;1;1;1;0;1;0;1;1;0;1;Encontro, reunião ampliada e workshop;Encontro de apoio técnico integrado com o tema Jornada Auxílio Brasil e gestão SUAS, e apoio técnico com os municípios quanto ao preenchimento do Censo SUAS 2022;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;0; ;1;1;1;9;1;6;6;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0; ;0;0;1;0;0; ;1;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;4;4;0; ;16;1; ;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1; ;4;1;1;0;0;0;0;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0; ; ; ;1;1;1;1;1;1;1;1;1
17;SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL;27;Esplanada das Secretarias Praça dos Girassois;0; ;centro; ;77001-002;PALMAS;TO;gabinetesetasto@gmail.com;(63) 32181926; ;(63) 32181988;-10.172.811.125.629.000;-4.833.471.536.636.350;2;0;0;0;0;1;1;0;1;Economia Solidária;1;2;2;0;2;1;1;1;1;2; ;1;0; ;0; ; ; ;1;1;1;0;1;1;0;0;0;1;0;0;1; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;0;1;1;1;0; ;0;0;0;1;0;1;0;1;0; ;0;1;1;0;0;0;0;0;1;0;0;0; ;1;1;0;1; ;0;0;0;0;0;0;0;0;0;1;Oferta somente modelo I;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0; ;Proteção Social Especial: Orientação Técnica online em parceria com todas as áreas da Assistência aos municípios sobre Preenchimento do Demonstrativo Sintético referente ao exercício do ano de 2020, Orientação Técnica presencial por meio de agendamento e online, sobre a oferta dos serviços da Proteção Social Especial, Realização do 2º webinário Estadual sobre o Trabalho Infantil online, Orientação online (CREAS): jurídicas, psicológica e social, estudo de casos,  fortalecimento da Rede de Serviços e encaminhamentos de urgências dos municípios vinculados, Proteção Social Básica: Orientação técnica sobre o aumento do IGDSUAS com foco no IDCRAS em parceria com Gestão do SUAS, 4h na modalidade presencial, Capacitação sobre o Preenchimento do Registro Mensal de Atendimentos do  CRAS- RMA, carga horária de 20h modalidade presencial , Webinário da Coordenação Estadual  Intersetorial do cadastro Único e PAB, com público alvo da Assistência Social, Educação, Saúde e Controle Social, Reunião Onl;0; ; ; ; ; ; ; ;8;8;6;6;0;1;0;0;2;2;1;1;1;1;1;1;1;10;0;5;5;0;1;1;1;1;0;1; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;Nos últimos 12 meses o horário de trababalho encontra-se normal;2;0; ;0; ;1;148;1;693;0; ;0; ;0; ;0; ;0; ;4;99;SECAD;2012;0; ; ; ; ;0; ; ; ; ;1; ;0;0;0; ;17;1; ;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1; ;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;99;2012; ;1;1;4;5;1;1;1;1;1
21;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;32;DAS GARDÊNIAS, QUADRA 01;25; ;JARDIM RENASCENÇA;PLANTA TOWER , OFICE TOWER;65075-080;SAO LUIS;MA;saas100@outlook.com;(98) 20169200; ;-98;-24.908.584.536.758.600;-44.296.917.915.344.200;2;0;0;0;0;1;0;0;0; ;1;1;0;0;1;1;1;1;1;2;2021; ;1; ;1;2022; ; ;1;1;0;0;0;0;0;1;0;0;0;0;1; ; ; ; ;1;1;1;0;BOLSA ESCOLA;VALE GÁS;VIVA ÁGUA; ; ; ; ; ; ; ;0;1;1;1;1;0;0;1;1;1;1;1;0; ;0;1;0;0;0;1;0;1;0; ;1;0;0;0;0;0;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ;0;1;1;1;0;0;1;0;1;1;1;0; ;Reunião de Apoio Técnico aos novos municípios adesos  ao programa primeiro infancia no SUAS/PCF EM 2022, reuniao de apoio tecnico ao programa primeira infancia no SUAS/PCF em 2022, capacitaçao no guia de visita domiciliar GVD, reunioes de apoio tecnico sobre o panorama situacional dos municipios PISUAS/PCF, mobilizaçao e divulgaçao sobre o programa cuidar, por meio das açoes desenvolvidas pela SAAS nos municipios, reuniao de apoio tecnico á distancia sobre cofinanciamento estadual de beneficios eventuais:procedimentos para acessso e operacionalizaçao,webnario mes da primeira infancia, aula inaugural do capacita SUAS : tema - A Educaçao Permanente e a qualidade da proteçao sociassistencial no SUAS(***), reunioes de apoio tecnico sobre a gestao e execuçao dos serviços socioassistenciais: dialogando sobre o SUAS: reunioes de apoio tecnico, reunioes de carater regional de orientaçao tecnica para preenchimento do Censo SUAS 2022, reunião de apoio técnico vigilância socioassistencial ,;0; ; ; ; ; ; ; ;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;0;3;3;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0; ;0;1;1;1;0; ;1;1;155;1;177;1;155;1;4590;0; ;0; ;0; ;0; ;0; ;1;3; ;2015;0; ; ; ; ;0; ; ; ; ;1; ;2;2;0; ;21;2; ;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;3;2015; ;4;4;4;6;1;1;1;1;1
22;SECRETARIA DA ASSISTENCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC;32;ACRE;340; ;CABRAL;PROXIMO A ASSEMBLEIA LEGISLATIVA;64001-650;TERESINA;PI;sasc@sasc.pi.gov.br;(86) 32264880; ;(86) 32217126;-5.080.185.439.245.900;-4.279.929.041.862.480;2;0;0;0;0;1;1;1;0; ;1;1;1;1;1;1;1;1;1;1; ;1; ;1;0; ; ; ;1; ; ; ; ; ;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;CARTÃO PRO SOCIAL;PIAUÍ ACOLHE; ; ; ; ; ; ; ; ;0;1;1;1;1;0;0;1;1;1;1;1;0; ;0;0;1;0;0;1;0;1;1;muitas informações são repassadas após  execução;1;1;0;0;0;0;0;0;1;0;0;0; ;1;0;1; ;23;1;1;1;0;0;0;0;0;1;0; ;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0; ;No ano de 2022 foram realizadas 03 reunião de apoio técnico: gestão do SUAS e financiamento, O papel da Vigilância socioassistencial nos municípios, Gestão do trabalho e Educação permanente no SUAS, no Financiamento, Planejamento e execução financeira,;0; ; ; ; ; ; ; ;6;6;2;2;1;1;2;2;1;0;0;0;0; ;1;0;1;7;0;7;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;Certidão basica;0;1;1;1;0; ;2;1;12;0; ;1;172;0; ;0; ;0; ;0; ;0; ;842; ;0; ; ; ;0; ; ; ; ;0; ; ; ; ;1; ;2;1;0; ;22;2; ;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1; ;23;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0; ; ; ; ; ; ; ;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1; ; ; ;4;1;4;1;1;1;1;1;5
23;Secretaria de Proteção Social, Justiça, Cidadania ,Mulheres e Direitos Humanos;32;SORIANO ALBUQUERQUE;230; ;Joaquim Távora;PRÉDIO DA ANTIGA L.B.A.;60130-160;FORTALEZA;CE;gabinete.assessoria@sps.ce.gov.br;(85) 31014597;2121;(85) 31012121;-37.498.249;-385.126.148;2;0;0;0;0;1;0;1;1;Justiça,Cidadania,Mulheres;1;1;1;1;1;1;1;1;1;1;2021; ;1; ;0; ; ; ;1;1;0;1;0;0;0;1;0;0;0;0;1; ; ; ; ;1;1;1;0;Cartão mais Infância;Programa de Superação de Extrema Pobreza Infantil; ; ; ; ; ; ; ; ;0;1;1;1;1;0;0;1;1;1;1;1;1;Elaboração e envio de informes, levantamento da necessidade de qualificação técnica,;0;1;0;0;0;1;0;0;1;Ausência de grupo de trabalho do Governo Federal com os Estados para a gestão de processos do cadastro único e Pab, falta de estudos técnicos para implementação de mudanças no programa de transferencia de renda,falta de articulação do Governo federal,Estados e Municípios,;1;1;0;0;0;1;1;1;1;1;0;0; ;1;1;0;2; ;1;1;1;1;1;1;1;1;1;0; ;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;Capacitação Presencial,;Transformação de PBF em PAB, Capacitação Cadúnico e PAB, Nota técnica 100 do SNAS: assistência Social e Pandemia ,Ações Integradas na Pandemia,Cenário Nacional-cortes e ajustes no orçamento da PNAS, Programa de Transferência de Renda Estadual: Cartão Mais Infância Ceará (remoto e presencial), capacitação do cadunico e PAB, Foi realizado oficina com a temática: Conselhos Tutelares e a Proteção Social na perspectiva do Suas, A referida oficina,ocorreu de forma regionalizada,;1;1;1;0;0;0; ;29;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;10;1;7;2;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;resoluções e portarias,;0;1;1;1;0; ;1;1;633;1;8;1;888;1;8075;0; ;0; ;1;315;0; ;0; ;1;1; ;2013;0; ; ; ; ;0; ; ; ; ;1; ;1;0;0; ;23;2; ;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;2; ;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;29;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;2013; ;5;3;5;6;1;1;4;1;1
