IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;q0_14;Latitude;Longitude;q1;q2;q3;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q6;q6_4_99;q7;q7_4_99;q8;q9;q10;q11;q11_4_99;q12;q13_1;q13_2;q13_3;q13_4;q13_5;q13_99;q13_99_1;q14;q15_1_1;q15_1_2;q15_1_3;q15_2_1;q15_2_2;q15_2_3;q15_3_1;q15_3_2;q15_3_3;q15_4_1;q15_4_2;q15_4_3;q16_1;q16_2;q16_3;q17_0;q17_1;q17_2;q17_3;q17_4;q18_1;q18_2;q18_3;q18_4;q18_5;q18_0;q19;q20_1;q20_2;q20_3;q20_4;q20_5;q20_6;q20_99;q20_99_1;q21_1;q21_2;q21_3;q21_4;q21_5;q21_6;q21_7;q21_0;q22_1;q22_2;q22_3;q22_4;q22_5;q22_6;q22_7;q22_8;q22_99;q22_99_1;q23;q24_1_1;q24_1_1_98;q24_2_1;q24_2_1_98;q24_3_1;q24_3_1_98;q24_1_2;q24_1_2_98;q24_2_2;q24_2_2_98;q24_3_2;q24_3_2_98;q24_1_3;q24_1_3_98;q24_2_3;q24_2_3_98;q24_3_3;q24_3_3_98;q24_1_4;q24_1_4_98;q24_2_4;q24_2_4_98;q24_3_4;q24_3_4_98;q24_1_5;q24_1_5_98;q24_2_5;q24_2_5_98;q24_3_5;q24_3_5_98;q24_1_6;q24_1_6_98;q24_2_6;q24_2_6_98;q24_3_6;q24_3_6_98;q24_1_7;q24_1_7_98;q24_2_7;q24_2_7_98;q24_3_7;q24_3_7_98;q25;q27_97;Nome_UF;Região;Q_incompleto;q5_1_velha;q5_2_velha;q5_3_velha;q5_4_velha;q5_5_velha;q5_5_rec;q10_velha;q11_velha;q12_velha;q24_1_1_velha;q24_2_1_velha;q24_3_1_velha;q24_1_2_velha;q24_2_2_velha;q24_3_2_velha;q24_1_3_velha;q24_2_3_velha;q24_3_3_velha;q24_1_4_velha;q24_2_4_velha;q24_3_4_velha;q24_1_5_velha;q24_2_5_velha;q24_3_5_velha;q24_1_6_velha;q24_2_6_velha;q24_3_6_velha;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO
11;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;AV. FARQUAR;2986;Complexo Rio Madeira, Prédio Pacaás Novo, 6º andar;Arigolândia;PALÁCIO RIO MADEIRA- COMPLEXO PACAÁS NOVOS,6º ANDAR;76801-348;PORTO VELHO;RO;feas.ro1995@gmail.com;(69) 993888509; ;-69;-8.749.471.540.700.560;-6.390.998.125.076.290;1;4;2;2;0;15;0;22;37;1; ;1; ;1;1;1;2; ;3;1;1;1;1;0;0; ;0;0;0;0;0;52;0;0;0;0;0;0;0;52;52;0;0;1;1;1;1;1;1;1;1;1;0;2;0;1;1;1;1;1;0; ;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0; ;2;0; ;0; ;2544006; ;904187,32; ;686087,56; ;4749500; ;0; ;0; ;803000; ;9750; ;9750; ;0; ;2533795,88; ;1579026,2; ;462210; ;0; ;0; ;0; ;3447733,2; ;2274863,76; ;8558716; ; ; ;11;1;0;0;15;0;22;37;37;1;2;3;0;0;2544006;904187,32;686087,56;4749500;0;0;803000;9750;9750;0;2533795,88;1579026,2;462210;0;0;0; ;,758789185409059; ;1;,623186031859836; ; 
12;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Nações Unidas;2731; ;Estação Experimental; ;69912-600;RIO BRANCO;AC;gabinete.seasdhm@gmail.com;(68) 32262937; ;-68;-100.661.478.424;-683.710.447.814.842;1;2;3;3;0;0;6;0;6;1; ;1; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0; ;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0; ;3;0; ;0; ;0; ; ;1;1289641,12; ; ;1; ;1;66600; ;0; ;0; ;0; ;0; ; ;1;2289995; ;0; ; ;1;931202,81; ;0; ;0; ;4510838,93; ;0; ; ; ;12;1;0;0;0;6;0;6;6; ; ; ;0;0;0; ;1289641,12; ; ;66600;0;0;0;0; ;2289995;0; ;931202,81;0; ; ; ; ; ; ; 
13;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Av. Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping;69050-020;MANAUS;AM;cfeas@seas.am.gov.br;(92) 21217823; ;-92;-3.093.111.232.955.480;-6.002.270.936.965.940;1;2;1;1;0;12;18;0;30;4;Comissão de Serviços Compartilhados / CSC;2; ;0;1;1;3; ;3;1;1;1;1;1;0; ;1;62;62;0;62;62;0;47;47;0;8;8;0;62;62;0;0;1;0;1;1;1;1;1;1;0;0;2;1;1;1;1;1;1;0; ;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0; ;2;10702470,42; ;10594333,34; ;2409531,35; ;14811225,67; ;14790596,87; ;2770958,65; ;7461000; ;7441000; ;1130260; ;112373296,6; ;112283505,4; ;1130260; ;23218799,31; ;20843531,6; ;0; ;6529703,56; ;6394703,56; ;0; ;175096495,5; ;172347670,8; ;7441010; ; ; ;13;1;0;0;12;18;0;30;30;1;3;3;10702470,42;10594333,34;2409531,35;14811225,67;14790596,87;2770958,65;7461000;7441000;1130260;112373296,6;112283505,4;1130260;23218799,31;20843531,6;0;6529703,56;6394703,56;0;,989896063641725;,998607218574639;,997319394183085;,999200956074826;,897700665814489;,979325248265941; 
14;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;MARIO HOMEM DE MELO;2310;SETRABES;MECEJANA; ;69304-350;BOA VISTA;RR;gabinetesetrabes@gmail.com;(95) 21212600; ;-95;28.234.888;-607.121.521;1;2;2;0; ; ; ; ; ;1; ;2; ;1;1;1;2; ;0;1;1;1;0;0;1;PAEFI;1;15;15;0;15;15;0;8;8;0;13;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0; ;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0; ;2;224520; ;0; ;61560; ;2562929; ;1042378,7; ;98839,2; ;6171890; ;5955058,7; ;0; ;,777; ;,777; ;0; ;,777; ;,777; ;0; ;354300; ;49459,34; ;0; ;9614927; ;13094304,25; ;160399,2; ; ; ;14;1;0; ; ; ; ; ; ;1;2;0;224520;0;61560;2562929;1042378,7;98839,2;6171890;5955058,7;0;298288;5955058,78;0;3000;92348,73;0;354300;49459,34;0;0;,40671384185828;,964867925384283;19,9641245373599;30,78291;,139597346881174;1
15;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;AVENIDA GOVERNADOR JOSE MALCHER;1018; ;NAZARE; ;66055-260;BELEM;PA;seasterpa@yahoo.com.br;(91) 32391414; ;-91;-14.506.732.958.939.100;-4.848.448.991.775.510;1;2;2;0; ; ; ; ; ;2; ;2; ;1;1;1;2; ;4;1;1;1;1;0;0; ;1;133;133;0;133;133;0;133;133;0;133;133;0;84;81;0;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0; ;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0; ;5;6044670; ;6044670; ;6044670; ;16349065,21; ;16349065,21; ;4328470; ;22796425,85; ;22796425,85; ;0; ;340135,6; ;340135,6; ;0; ;36298,23; ;36298,23; ;0; ;2553307,91; ;2553307,91; ;0; ;48119902,8; ;48119902,8; ;10373140; ; ; ;15;1;0; ; ; ; ; ; ;1;2;4;6044670;6044670;6044670;16349065,21;16349065,21;4328470;22796425,85;22796425,85;0;340135,6;340135,6;0;36298,23;36298,23;0;2553307,91;2553307,91;0;1;1;1;1;1;1; 
16;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;3;Rio Vila Nova;6; ;Central; ;68900-092;MACAPA;AP;feas@sims.ap.gov.br;(96) 00000000; ;-96;0.029439924852039764;-51.053.016.185.760.500;1;2;0;1;2;0;9;0;11;1; ;4;Secretaria de Estado da Administração;1;1;1;4;Comum a todos os serviços socioassistencias aos 16 municípios do estado, CREAS - cofinanciamento regionalizado para 4 municípios e Medidas Socioeducativas (LA/PSC);5;1;1;1;1;0;0; ;1;16;16;0;16;15;0;16;15;0;16;15;0;16;15;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0; ;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0; ;2;6160000; ;2924076,64; ;1174030; ;3000000; ;2756091,48; ;0; ;27323481; ;23239464,6; ;2706807; ;1400000; ;29908,3; ;0; ;50049017; ;5206322,96; ;0; ;5093079; ;6204143,09; ;0; ;93025577; ;40360007,07; ;3880837; ; ;1;16;1;0;2;0;9;0;11;11;1;4;5;6160000;2924076,64;1174030;3000000;2756091,48;0;27323481;23239464,6;2706807;1400000;29908,3;0;50049017;5206322,96;0;5093079;6204143,09;0;,474687766233766;,91869716;,850530889530511;,0213630714285714;,104024479841432;1,21815174867698; 
17;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;27;Esplanada das Secretaria Praça dos Girassois;s/n; ;Centro; ;77003-902;PALMAS;TO;financeiro.setas.to@gmail.com;(63) 32181934; ;(63) 32186905;-10.218.483.584.961;-481.537.569.728.278;1;2;3;1;3;0;0;0;3;1; ;4;SEFAZ;1;1;1;4;Beneficios Eventuais;5;0;1;0;1;0;0; ;0;0;0;0;0;0;0;0;1;0;0;0;0;129;129;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;Impressão de material para capacitação das equipes municipais e diárias;1;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;1394558,18; ;1394558,18; ;0; ;1394558,18; ;1394558,18; ;0; ; ; ;17;1;0;3;0;0;0;3;3;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1394558,18;1394558,18;0; ; ; ; ; ;1; 
21;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;DAS GARDÊNIAS, QUADRA I;25;xxxxxxxxx;JARDIM RENASCENÇA;PLANTA TOWER , OFICE TOWER;65075-080;SAO LUIS;MA;saas100@outlook.com;(98) 20169206;9206;-98;-24.995.191.340.539.700;-44.289.493.560.791.000;1;3;2;0; ; ; ; ; ;2; ;1; ;1;1;1;2; ;0;0;1;0;1;0;1;Municípios com alto índice de falecimento pela pandemia do covid-19;0;71;71;0;51;51;0;8;8;0;13;13;0;51;51;0;0;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0; ;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0; ;2;40683034,63; ;20667884,89; ;1028130,92; ;4293136,71; ;2691065,18; ;492663,92; ;199343; ;157792,6; ;0; ;1601690; ;635239,75; ;0; ;0; ;0; ;0; ;8044054; ;6344645,4; ;0; ;54821258,34; ;30496627,82; ;1520794,84; ; ; ;21;2;0; ; ; ; ; ; ;1;2;0;40683034,63;20667884,89;1028130,92;4293136,71;2691065,18;492663,92;199343;157792,6;0;1601690;635239,75;0;0;0;0;8044054;6344645,4;0;,508022203308288;,626829603103881;,791563285392514;,396605928737771; ;,788737295895826; 
22;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;32;ACRE;340; ;CABRAL;PROXIMO A ASSEMBLEIA LEGISLATIVA;64001-650;TERESINA;PI;sasc@sasc.pi.gov.br;(86) 32215977; ;(86) 32217126;-5.080.375.127.974.180;-42.799.268.960.952.700;1;2;1;3;1;3;1;0;5;2; ;1; ;1;1;1;2; ;0;0;1;1;1;0;0; ;1;25;25;0;0;0;0;25;25;0;3;3;0;205;205;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0; ;4;280000; ;0; ;0; ;80000; ;0; ;1619000; ;0; ;0; ;2578800; ;130000; ;0; ;0; ;0; ;0; ;0; ;31488571; ;0; ;0; ;31978571; ;0; ;4197800; ; ; ;22;2;0;1;3;1;0;5;5;1;2;0;280000;0;0;80000;0;1619000;0;0;2578800;130000;0;0;0;0;0;31488571;0;0;0;0; ;0; ;0; 
23;FUNDO ESTADUAL DA ASSISTÊNCIA SOCIAL;32;Soriano Albuquerque;230; ;Joaquim Távora; ;60130-160;FORTALEZA;CE;feas.ce@sps.ce.gov.br;(85) 31014581; ;(85) 31014625;-37.479.108.176.098.800;-3.851.920.366.287.230;1;2;1;1;5;2;7;2;16;1; ;2; ;1;1;1;1; ;1;1;1;0;1;1;0; ;0;184;184;0;184;184;0;39;39;0;0;0;0;184;184;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0; ;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0; ;3;66899022,44; ;56458022,44; ;10441000; ;32695806,4; ;29519091,41; ;3176714,99; ;2500000; ;2500000; ;2500000; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;102094828,8; ;88477113,85; ;16117714,99; ; ; ;23;2;0;5;2;7;2;16;16;1;1;1;66899022,44;56458022,44;10441000;32695806,4;29519091,41;3176714,99;2500000;2500000;2500000;0;0;0;0;0;0;0;0;0;,843928960107537;,902840292386855;1; ; ; ; 
