IBGE;q85_3;q85_5;q85_6;q85_7;q85_8;q85_9;UF;Regiao;Q_incompleto;DataCenso;DataCenso_2022;Faixas_etarias;q85_8_rec;q85_9_rec;TempoMandato;d85_5;d85_5bin1;d85_5bin2;d85_5bin3;d85_6bin1;d85_6bin2;d85_6bin3;d85_6bin4;d85_6bin5;d85_6bin1_TIT;d85_6bin1_SUPL;d85_6bin2_TIT;d85_6bin2_SUPL;d85_6bin3_TIT;d85_6bin3_SUPL;d85_6bin4_TIT;d85_6bin4_SUPL;d85_6bin5_TIT;d85_6bin5_SUPL;d85_6bin1_sum;d85_6bin2_sum;d85_6bin3_sum;d85_6bin4_sum;d85_6bin5_sum;d85_6bin1_TIT_sum;d85_6bin1_SUPL_sum;d85_6bin2_TIT_sum;d85_6bin2_SUPL_sum;d85_6bin3_TIT_sum;d85_6bin3_SUPL_sum;d85_6bin4_TIT_sum;d85_6bin4_SUPL_sum;d85_6bin5_TIT_sum;d85_6bin5_SUPL_sum;nu_conselheiros
41;2;257;GA;106;19/06/2021;19/06/2023;41;4; ;31.08.2022;8/31/2022;2;6/19/2021;6/19/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;10;11;9;28;30;5;5;5;6;4;5;14;14;14;16;58
41;1;257;GO;105;05/03/2021;19/06/2023;41;4; ;31.08.2022;8/31/2022;4;3/5/2021;6/19/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;10;11;9;28;30;5;5;5;6;4;5;14;14;14;16;58
11;1;257;GS;106;19/10/2021;26/03/2023;11;1; ;31.08.2022;8/31/2022;4;10/19/2021;3/26/2023;1;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;257;T;106;19/05/2022;26/03/2023;11;1; ;31.08.2022;8/31/2022;4;5/19/2022;3/26/2023;1;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;258;GE;105;26/03/2021;26/03/2023;11;1; ;31.08.2022;8/31/2022;4;3/26/2021;3/26/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;257;GE;106;06/09/2022;26/03/2023;11;1; ;31.08.2022;8/31/2022;4;9/6/2022;3/26/2023;1;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;2;255;O;106;26/03/2021;26/03/2023;11;1; ;31.08.2022;8/31/2022;3;3/26/2021;3/26/2023;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;258;E;105;26/03/2021;26/03/2023;11;1; ;31.08.2022;8/31/2022;3;3/26/2021;3/26/2023;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;258;E;106;26/03/2021;26/03/2023;11;1; ;31.08.2022;8/31/2022;3;3/26/2021;3/26/2023;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
11;1;257;GA;106;26/03/2021;26/03/2023;11;1; ;31.08.2022;8/31/2022;3;3/26/2021;3/26/2023;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;2;2;2;6;6;1;1;1;1;1;1;3;3;3;3;12
