NU_IDENTIFICADOR;IBGE;q44_3;q44_9;q44_10;q44_11;q44_12;q44_13;q44_14;q44_15_1;q44_15_2;q44_15_3;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2022;Faixas_etarias;d44_9;d44_11;d44_9bin1;d44_9bin2;d44_9bin3;d44_10bin1;d44_10bin2;d44_10bin3;d44_10bin4;d44_10bin5;d44_11bin1;d44_11bin2;d44_11bin3;d44_11bin4;d44_9bin1_sum;d44_9bin2_sum;d44_9bin3_sum;d44_10bin1_sum;d44_10bin2_sum;d44_10bin3_sum;d44_10bin4_sum;d44_10bin5_sum;d44_11bin1_sum;d44_11bin2_sum;d44_11bin3_sum;d44_11bin4_sum;nu_trabalhadores;d44_15_1_1bin_Gestão;d44_15_1_1bin_PopRua;d44_15_1_1bin_Abordagem;d44_15_1_1bin_Cadastramento;d44_15_1_1bin_Outros;d44_15_2_1bin_Gestão;d44_15_2_1bin_PopRua;d44_15_2_1bin_Abordagem;d44_15_2_1bin_Cadastramento;d44_15_2_1bin_Outros;d44_15_3_1bin_Gestão;d44_15_3_1bin_PopRua;d44_15_3_1bin_Abordagem;d44_15_3_1bin_Cadastramento;d44_15_3_1bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d44_15_1_1bin_Gestão_sum;d44_15_1_1bin_PopRua_sum;d44_15_1_1bin_Abordagem_sum;d44_15_1_1bin_Cadastramento_sum;d44_15_1_1bin_Outros_sum;d44_15_2_1bin_Gestão_sum;d44_15_2_1bin_PopRua_sum;d44_15_2_1bin_Abordagem_sum;d44_15_2_1bin_Cadastramento_sum;d44_15_2_1bin_Outros_sum;d44_15_3_1bin_Gestão_sum;d44_15_3_1bin_PopRua_sum;d44_15_3_1bin_Abordagem_sum;d44_15_3_1bin_Cadastramento_sum;d44_15_3_1bin_Outros_sum;N_BREAK
13025098092;130250;0;255;238;264;254;20;01/01/2017;99; ; ;1302504;13;1;Manacapuru;2039536;85141;60174;24967;Médio;7336,579; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;7;3;0;2;0;0;1;0;0;0;10;10; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;3;2; ;3; ;3;1; ;1; ; ;1; ; ;10
21012098032;210120;0;253;239;142;248;20;02/05/2022; ; ; ;2101202;21;2;Bacabal;411976;100014;77860;22154;Grande;1683,073; ;31.08.2022;8/31/2022;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;1;2;0;1;0;0;0;0;0;1;5;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ; ;1; ; ; ; ; ; ;1;6
25075098155;250750;0;255;238;142;248;20;08/04/2020;1;3;4;2507507;25;2;João Pessoa;1034615;723515;720785;2730;Grande;211,475; ;31.08.2022;8/31/2022;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;6;9;8;0;3;0;0;1;0;0;0;23;23;1; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ;1;1; ;10;3;2;2; ;2;4;8;3; ; ; ;1;3;13;23
29148097310;291480;1;255;238;266;370;20;02/11/2015;3; ; ;2914802;29;2;Itabuna;1020642;204667;199643;5024;Grande;401,028; ;31.08.2022;8/31/2022;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;4;9;9;0;4;0;1;2;4;1;2;15;22; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2;5;4; ;7; ; ; ; ;5;1; ;1; ; ;22
29313597746;293135;0;255;239;138;251;20;01/11/2021;1; ; ;2931350;29;2;Teixeira de;727913;138341;129263;9078;Grande;1165,622; ;31.08.2022;8/31/2022;1;1;1; ;1; ; ; ; ; ; ;1; ; ; ;1;7;7;1;2;0;0;2;2;0;1;12;15;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;9;3; ; ; ; ; ; ; ; ; ; ; ; ;15
31067097571;310670;1;252;239;291;253;272;17/03/2020; ; ; ;3106705;31;3;Betim;4772562;378089;375331;2758;Grande;343,856; ;31.08.2022;8/31/2022;1;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;12;17;2;5;0;1;3;10;4;2;16;32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;7;17; ;1; ;12;2;3;2; ; ; ; ; ;32
31518097852;315180;0;252;239;139;252;18;19/03/1998; ; ; ;3151800;31;3;Poços de Ca;342055;152435;148722;3713;Grande;546,67; ;31.08.2022;8/31/2022;5;0;2;1; ; ; ; ; ; ; ; ;1; ; ;2;16;6;0;1;0;0;1;1;14;1;8;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;11;8;1; ;2;8;11; ; ; ; ;1; ;21;24
33004098087;330040;0;258;273;139;249;272;02/08/2021;2;4; ;3300407;33;3;Barra Mansa;680011;177813;176193;1620;Grande;547,133; ;31.08.2022;8/31/2022;3;2;2; ; ;1; ;1; ; ; ; ;1; ; ;0;10;4;0;1;0;0;2;1;8;1;4;14; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ;3;3;3; ;5; ; ;2;1;5; ; ; ; ; ;14
41083096488;410830;1;255;239;138;248;391;12/09/2019;2;1;99;4108304;41;4;Foz do Igua;408800;256088;253962;2126;Grande;618,353; ;31.08.2022;8/31/2022;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;3;4;6;1;2;0;0;1;11;0;0;2;13; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1;1;1; ; ;1;2;8; ; ; ;8;2; ; ; ; ; ; ; ;10;13
43156098076;431560;1;257;274;138;249;18;01/05/2016;2;1;99;4315602;43;4;Rio Grande;259638;197228;189429;7799;Grande;2709,522; ;31.08.2022;8/31/2022;3;2;1; ; ;1; ; ; ; ;1;1; ; ; ;1;2;2;0;1;0;0;1;2;0;0;3;5; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1;1;1; ; ;1; ;2; ; ;2;1;1; ; ; ; ; ; ; ;1;5
53001097546;530010;1;253;239;293;254;263;10/03/2020; ; ; ;5300108;53;5;Brasília;2570160;2570160;2482210;87950;Metrópole;5779,997; ;31.08.2022;8/31/2022;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;20;18;0;3;0;0;2;30;0;0;11;41; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;9; ;9;17; ; ; ; ; ; ; ; ; ; ;41
11002096408;110020;1;256;238;138;248;20;07/05/2014;2;3; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;2;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;1;257;238;138;248;20;23/07/2012;3; ; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;257;273;138;249;20;09/01/2015;2; ; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;5;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;1;255;238;138;248;20;10/07/2012;3; ; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;257;238;138;251;20;08/01/2014;1;99; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;256;238;138;248;20;01/03/1999;99; ; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;1;255;238;138;248;20;18/03/2010;3; ; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;255;239;138;248;20;27/07/2016;1;3;99;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ;1; ;1;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;1;257;274;138;249;20;20/08/2012;3; ; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;257;238;138;248;20;16/11/2011;3;1; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;257;237;138;248;20;14/06/2010;99;1;3;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ;1; ;1; ;1;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;257;238;138;21;263;20/08/2012;1;2; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
11002096408;110020;0;255;238;138;248;20;21/05/2012;3; ; ;1100205;11;1;Porto Velho;540320;428527;390733;37794;Grande;34090,962; ;31.08.2022;8/31/2022;2;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;6;7;0;1;0;0;1;13;0;0;0;13; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3;2;6; ;2;2;1;2; ;1; ; ;1; ;1;13
12004097308;120040;0;257;237;266;248;20;01/06/2022;3;2;99;1200401;12;1;Rio Branco;418113;336038;308545;27493;Grande;8834,942; ;31.08.2022;8/31/2022;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;5;9;11;1;3;0;0;2;0;0;1;24;25; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ;1;1; ;1;3;8;7;1;1;1;10;8; ; ;1;1;1; ;16;25
12004097308;120040;0;256;238;266;248;20;01/06/2022;3;2;99;1200401;12;1;Rio Branco;418113;336038;308545;27493;Grande;8834,942; ;31.08.2022;8/31/2022;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;5;9;11;1;3;0;0;2;0;0;1;24;25; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ;1;1; ;1;3;8;7;1;1;1;10;8; ; ;1;1;1; ;16;25
12004097308;120040;1;257;273;266;249;18;01/06/2022;3;2;99;1200401;12;1;Rio Branco;418113;336038;308545;27493;Grande;8834,942; ;31.08.2022;8/31/2022;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;5;9;11;1;3;0;0;2;0;0;1;24;25; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ;1;1; ;1;3;8;7;1;1;1;10;8; ; ;1;1;1; ;16;25
