IBGE;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2022;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras;filter_$
230440;2304403310310; Feminino; Especialização; Pedagoga(o); Sem Vínculo; Família Acolhedora;15/04/2022;2304400;Ceará;Região Nordeste;Fortaleza;2452185;2452185;0;Metrópole;314,93;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;2;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;12;6;1; ; ; ; ; ; ; ;21;21;Selected
291270;2912703306481; Feminino; Médio Completo; Profissional de nível médio; Outro vínculo não permanente; Família Acolhedora;01/06/2022;2912707;Bahia;Região Nordeste;Ibirapitanga;22598;6163;16435;Pequeno II;472,694;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;2; ; ; ; ; ; ; ; ; ;5;5;Selected
330350;3303503310456; Feminino; Médio Completo; Profissional de nível médio; Outro vínculo não permanente; Família Acolhedora;05/12/2019;3303500;Rio de Janeiro;Região Sudeste;Nova Iguaçu;796257;787563;8694;Grande;520,807;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;5; ; ; ; ; ; ;1; ; ;4;5;Selected
351040;3510403308564; Feminino; Superior Completo; Profissional de nível médio; Voluntária(o); Família Acolhedora;08/09/2019;3510401;São Paulo;Região Sudeste;Capivari;48576;45904;2672;Pequeno II;322,878;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;11;16;9; ; ; ; ; ; ; ; ;36;36;Selected
353440;3534403311941; Feminino; Especialização; Advogada(o); Sem Vínculo; Família Acolhedora;02/10/2020;3534401;São Paulo;Região Sudeste;Osasco;666740;666740;0;Grande;64,954;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes;1;15;27;2; ; ;5; ; ; ; ;43;43;Selected
410840;4108403311731; Feminino; Superior Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;20/10/2021;4108403;Paraná;Região Sul;Francisco Beltrão;78943;67449;11494;Médio;735,111;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;11;17;19;2;1; ; ; ; ; ; ;47;47;Selected
410840;4108403311731; Feminino; Superior Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;10/12/2020;4108403;Paraná;Região Sul;Francisco Beltrão;78943;67449;11494;Médio;735,111;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;11;17;19;2;1; ; ; ; ; ; ;47;47;Selected
410840;4108403311731; Feminino; Especialização; Pedagoga(o); Sem Vínculo; Família Acolhedora;04/12/2020;4108403;Paraná;Região Sul;Francisco Beltrão;78943;67449;11494;Médio;735,111;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;11;17;19;2;1; ; ; ; ; ; ;47;47;Selected
410840;4108403311731; Feminino; Especialização; Pedagoga(o); Sem Vínculo; Família Acolhedora;14/05/2020;4108403;Paraná;Região Sul;Francisco Beltrão;78943;67449;11494;Médio;735,111;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;2;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;11;17;19;2;1; ; ; ; ; ; ;47;47;Selected
410840;4108403311731; Feminino; Mestrado; Outra formação de nível superior; Sem Vínculo; Família Acolhedora;24/10/1957;4108403;Paraná;Região Sul;Francisco Beltrão;78943;67449;11494;Médio;735,111;completo;Municipal;31.08.2022;8/31/2022;61 a 80 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;11;17;19;2;1; ; ; ; ; ; ;47;47;Selected
410840;4108403311731; Feminino; Médio Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;02/12/2020;4108403;Paraná;Região Sul;Francisco Beltrão;78943;67449;11494;Médio;735,111;completo;Municipal;31.08.2022;8/31/2022;61 a 80 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;11;17;19;2;1; ; ; ; ; ; ;47;47;Selected
412350;4123503309693; Feminino; Fundamental Incompleto; Sem formação profissional; Voluntária(o); Família Acolhedora;19/02/2021;4123501;Paraná;Região Sul;Santa Helena;23413;12586;10827;Pequeno II;758,227;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;8;4;3;1; ; ; ; ; ; ; ;15;15;Selected
421970;4219703308374; Feminino; Fundamental Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;05/03/2018;4219705;Santa Catarina;Região Sul;Xaxim;25713;20967;4746;Pequeno II;293,279;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;5;5;1; ; ; ; ; ; ; ; ;11;11;Selected
530010;5300103310442; Feminino; Médio Completo; Profissional de nível médio; Voluntária(o); Família Acolhedora;01/12/2020;5300108;Distrito Federal;Região Centro Oeste;Brasília;2570160;2482210;87950;Metrópole;5779,997;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;1; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;4;27; ; ; ;1;3; ; ; ;32;32;Selected
530010;5300103310442; Feminino; Superior Completo; Outra formação de nível superior; Sem Vínculo; Família Acolhedora;01/12/2018;5300108;Distrito Federal;Região Centro Oeste;Brasília;2570160;2482210;87950;Metrópole;5779,997;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;2;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;4;27; ; ; ;1;3; ; ; ;32;32;Selected
