IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2022;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
353650;3536503312005; Feminino; Médio Incompleto; Sem formação profissional; Servidor(a) Estatutária(o); Apoio Administrativo; De 31 a 40 horas semanais;10/10/2016;3536505;São Paulo;Região Sudeste;Paulínia;82146;82070;76;Médio;138,777;completo;Municipal;31.08.2022;8/31/2022;61 a 80 anos;Nível fundamental;Servidor Estatutário;Nível fundamental; ; ; ; ; ; ; ;Servidor Estatutário; ; ; ;1; ;3;1;1; ; ;1;4; ; ; ;4;Selected
355030;3550303311841; Feminino; Superior Completo; Psicóloga(o); Empregada(o) Pública(o) (CLT); Técnico(a) de nível superior; De 41 a 44 horas semanais;03/02/2020;3550308;São Paulo;Região Sudeste;São Paulo;11253503;11152344;101159;Metrópole;1521,11;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Empregado Público (CLT); ; ;Nível Superior; ; ; ; ;Psicólogo; ;Empregado Público (CLT); ; ; ;2;11; ;7; ; ;4; ;13; ; ;13;Selected
420445;4204453306007; Feminino; Superior Completo; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;27/04/2015;4204459;Santa Catarina;Região Sul;Coronel Martins;2458;685;1773;Pequeno I;107,299;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ; ; ;3; ;2; ; ;1;3; ; ; ;3;Selected
421720;4217203308694; Feminino; Superior Completo; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;13/02/2017;4217204;Santa Catarina;Região Sul;São Miguel do Oeste;36306;32065;4241;Pequeno II;234,036;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ; ;1;2; ;1; ; ;1;2; ; ;1;3;Selected
110012;1100123310202; Masculino; Médio Incompleto; Profissional de nível médio; Servidor(a) Estatutária(o); Outros; De 31 a 40 horas semanais;02/01/2020;1100122;Rondonia;Região Norte;Ji-Paraná;116610;104858;11752;Grande;6896,649;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível fundamental;Servidor Estatutário;Nível fundamental; ; ; ; ; ; ; ;Servidor Estatutário; ; ; ;2; ;4; ;1; ; ;2;4; ;2; ;6;Selected
110012;1100123310202; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Estatutária(o); Coordenador(a); De 31 a 40 horas semanais;01/04/2021;1100122;Rondonia;Região Norte;Ji-Paraná;116610;104858;11752;Grande;6896,649;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ;2; ;4; ;1; ; ;2;4; ;2; ;6;Selected
110012;1100123310202; Feminino; Fundamental Incompleto; Sem formação profissional; Comissionada(o); Serviços Gerais; De 31 a 40 horas semanais;03/12/2021;1100122;Rondonia;Região Norte;Ji-Paraná;116610;104858;11752;Grande;6896,649;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível fundamental;Comissionado;Nível fundamental; ; ; ; ; ; ; ; ; ;Comissionado; ;2; ;4; ;1; ; ;2;4; ;2; ;6;Selected
110012;1100123310202; Masculino; Superior Completo; Outra formação de nível superior; Servidor(a) Estatutária(o); Motorista; De 31 a 40 horas semanais;01/01/2019;1100122;Rondonia;Região Norte;Ji-Paraná;116610;104858;11752;Grande;6896,649;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ; ;Servidor Estatutário; ; ; ;2; ;4; ;1; ; ;2;4; ;2; ;6;Selected
110012;1100123310202; Feminino; Superior Completo; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/04/2021;1100122;Rondonia;Região Norte;Ji-Paraná;116610;104858;11752;Grande;6896,649;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ;2; ;4; ;1; ; ;2;4; ;2; ;6;Selected
110012;1100123310202; Masculino; Superior Completo; Psicóloga(o); Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/07/2021;1100122;Rondonia;Região Norte;Ji-Paraná;116610;104858;11752;Grande;6896,649;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ;Comissionado; ;2; ;4; ;1; ; ;2;4; ;2; ;6;Selected
