NU_IDENTIFICADOR;IBGE;q40_3;q40_8;q40_9;q40_10;q40_11;q40_12;q40_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2022;Faixas_etarias;d40_8;d40_8bin1;d40_8bin2;d40_8bin3;d40_9;d40_9bin1;d40_9bin2;d40_9bin3;d40_9bin4;d40_9bin5;d40_10;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_8bin1_sum;d40_8bin2_sum;d40_8bin3_sum;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_9bin4_sum;d40_9bin5_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;nu_trabalhador
484487;241200;1;256;239;138;251;18;10/06/2003;2412005;24;2;São Gonçalo do Amarante;87668;74099;13569;Médio;249,124;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ; ;12;2; ;2; ; ; ;3; ;4;7;14
484506;320320;0;257;273;138;249;272;03/01/2013;3203205;32;3;Linhares;141306;121567;19739;Grande;3496,559;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;5;24;10; ;7; ; ; ;22; ;8;9;39
485619;231290;0;256;238;266;250;20;02/08/2021;2312908;23;2;Sobral;188233;166310;21923;Grande;2122,897;0;31.08.2022;8/31/2022;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1; ;30;22;1;3; ;1;1; ; ;2;50;52
485728;241490;1;257;275;292;21;20;11/01/2021;2414902;24;2;Viçosa;1618;1541;77;Pequeno I;37,905;0;31.08.2022;8/31/2022;4;2; ; ;1;1;1; ; ; ; ;3; ; ;1; ; ; ;2;1;1; ; ; ; ; ;2; ;2
485738;231020;0;255;239;138;251;20;02/01/2016;2310209;23;2;Paracuru;31636;20589;11047;Pequeno II;300,286;0;31.08.2022;8/31/2022;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ; ;11;5; ; ; ; ; ;3; ; ;13;16
485938;351680;0;257;275;138;21;20;26/07/2007;3516804;35;3;Gastão Vidigal;4193;3756;437;Pequeno I;180,569;0;31.08.2022;8/31/2022;4;2; ; ;1;1;1; ; ; ; ;1;1; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ;1
485967;240780;0;255;239;266;370;20;28/06/2022;2407807;24;2;Monte Alegre;20685;9002;11683;Pequeno II;210,916;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;5;3;1;2; ; ; ; ; ;2;6;8
486007;260410;0;256;237;142;254;20;15/01/2020;2604106;26;2;Caruaru;314912;279589;35323;Grande;920,61;0;31.08.2022;8/31/2022;5;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;16;14;1;9; ; ; ; ; ;1;29;30
486013;230500;1;256;239;142;370;20;01/11/2021;2305001;23;2;Guaraciaba do Norte;37775;17403;20372;Pequeno II;611,464;0;31.08.2022;8/31/2022;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1; ;5;4;2;2; ; ; ;2; ;2;5;9
486013;230500;0;257;275;142;370;20;01/11/2021;2305001;23;2;Guaraciaba do Norte;37775;17403;20372;Pequeno II;611,464;0;31.08.2022;8/31/2022;2;2; ; ;1;1;1; ; ; ; ;4; ; ; ;1; ;5;4;2;2; ; ; ;2; ;2;5;9
