IBGE;q0_1;q0_2;q0_3;q0_4;q0_5;q0_6;q0_7;q0_8;q0_9;q0_10;q0_11;q0_12;q0_13;Latitude;Longitude;q1;q2;q3;q4;q5;q6;q7;q8;q8_4_99;q9;q10_1;q10_2;q10_3;q10_4;q10_5;q10_99;q10_99_1;q11;q12_1;q12_2;q12_3;q13_1;q13_2;q13_3;q14_0;q14_1;q14_2;q14_3;q14_4;q15_1;q15_2;q15_3;q15_4;q15_5;q16;q17;q18_1_1;q18_1_1_98;q18_2_1;q18_2_1_98;q18_3_1;q18_3_1_98;q18_1_2;q18_1_2_98;q18_2_2;q18_2_2_98;q18_3_2;q18_3_2_98;q18_1_3;q18_1_3_98;q18_2_3;q18_2_3_98;q18_3_3;q18_3_3_98;q18_1_4;q18_1_4_98;q18_2_4;q18_2_4_98;q18_3_4;q18_3_4_98;q18_1_5;q18_1_5_98;q18_2_5;q18_2_5_98;q18_3_5;q18_3_5_98;q18_1_6;q18_1_6_98;q18_2_6;q18_2_6_98;q18_3_6;q18_3_6_98;q18_1_7;q18_1_7_98;q18_2_7;q18_2_7_98;q18_3_7;q18_3_7_98;q19_0;Nome_UF;Região;Q_incompleto;q5_velha;q7_velha;q8_velha;q9_velha;q10_1_velha;q10_2_velha;q10_3_velha;q10_4_velha;q10_5_velha;q10_99_velha;q11_velha;q12_1_velha;q12_2_velha;q12_3_velha;q13_1_velha;q13_2_velha;q13_3_velha;q18_1_1_velha;q18_2_1_velha;q18_3_1_velha;q18_1_2_velha;q18_2_2_velha;q18_3_2_velha;q18_1_3_velha;q18_2_3_velha;q18_3_3_velha;q18_1_4_velha;q18_2_4_velha;q18_3_4_velha;q18_1_5_velha;q18_2_5_velha;q18_3_5_velha;q18_1_6_velha;q18_2_6_velha;q18_3_6_velha;EXECUCAO_1MUN;EXECUCAO_2MUN;EXECUCAO_3MUN;EXECUCAO_4MUN;EXECUCAO_5MUN;EXECUCAO_6MUN;LIMP_EXECUCAO;d5;d12_1;d12_2;d12_3;d13_1;d13_2;d13_3
11;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;AV. FARQUAR;2986;Complexo Rio Madeira, Prédio Pacaás Novo, 6º andar;Arigolândia;PALÁCIO RIO MADEIRA- COMPLEXO PACAÁS NOVOS,6º ANDAR;76801-348;PORTO VELHO;RO;feas.ro1995@gmail.com;(69) 993888509; ;-8.749.450.332.732.630;-63.908.500.671.386.700;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos de outras fontes;0;Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Trimestralmente; Sim; Sim; Sim; Sim; Não; Não; ; Não;52;52;0;52;52;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; de 3% a 5%.;2934000; ;0; ;220548,16; ;0; ;0; ;3590500; ;0; ;0; ;1039000; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;0; ;2934000; ;0; ;4850048,16; ; ;Rondonia;Região Norte; Não;0;1;2;3;1;1;1;1;0;0;0;52;52;0;52;52;0;2934000;0;220548,16;0;0;3590500;0;0;1039000;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ;nenhuma entidade;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio
12;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Nações Unidas;2731; ;Estação Experimental; ;69912-600;RIO BRANCO;AC;gabinete.seasdhm@gmail.com;(68) 32262937; ;-100.661.478.424;-683.710.447.814.842;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;6;Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ;Semestralmente; Sim; Sim; Sim; Sim; Sim; Sim;Incentivo financeiro para implantação da vigilância socioassistencial; Sim;22;22;0;22;22;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; de 5% a 10%.;307782,86; ;142479,02; ;609922,8; ;992000; ;921910,73; ;878097,6; ;112250; ;0; ;501000; ;128030,12; ;128030,12; ;10979000; ;0; ;0; ;0; ;14232240,52; ;14232240,52; ;0; ;15772303,5; ;15424660,39; ;12968020,4; ; ;Acre;Região Norte; Não;6;1;2;4;1;1;1;1;1;1;1;22;22;0;22;22;0;307782,86;142479,02;609922,8;992000;921910,73;878097,6;112250;0;501000;128030,12;128030,12;10979000;0;0;0;14232240,52;14232240,52;0;,462920579787971;,929345493951613;0;1; ;1; ;Entre 1 e 20 entidades;Entre 1 e 50 municipios;Entre 1 e 50 municipios;nenhum municipio;Entre 1 e 50 municipios;Entre 1 e 50 municipios;nenhum municipio
13;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Av. Darcy Vargas;77; ;Chapada;Em frente ao Amazonas Shopping;69050-020;MANAUS;AM;cfeas@seas.am.gov.br;(92) 21217823; ;-3.093.111.232.955.480;-6.002.270.936.965.940;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do Fundo Estadual de Assistência Social (FEAS);30;Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi comum a todos os serviços socioassistenciais; ; Anualmente; Sim; Sim; Não; Sim; Sim; Não; ; Sim;62;62;0;62;62;0; Não; Sim; Não; Sim; Sim; Sim; Sim; Sim; Sim; Não; Sim, houve repasse de recursos aos municípios para construção e/ou reforma de unidades da assistência social.; de 3% a 5%.;6413397,72; ;6128009,23; ;1130137,5; ;11395749,65; ;11387976,91; ;674728,8; ;0; ;0; ;3050337,99; ;31116981,95; ;31086981,95; ;550338,66; ;31421731,9; ;31377761,75; ;0; ;20276571,33; ;20266571,33; ;25611673; ;100624432,6; ;100247301,2; ;31017215,95; ; ;Amazonas;Região Norte; Não;30;1;3;5;1;1;0;1;1;0;1;62;62;0;62;62;0;6413397,72;6128009,23;1130137,5;11395749,65;11387976,91;674728,8;0;0;3050337,99;31116981,95;31086981,95;550338,66;31421731,9;31377761,75;0;20276571,33;20266571,33;25611673;,955501201943235;,999317926398989; ;,999035896217435;,998600645243237;,999506819972803; ;Entre 21 e 40 entidades;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio;Entre 51 e 100 municipios;Entre 51 e 100 municipios;nenhum municipio
14;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;MARIO HOMEM DE MELO;2310;SETRABES;MECEJANA; ;69304-350;BOA VISTA;RR;gabinetesetrabes@gmail.com;(95) 21212600; ;2.823.973.050.711.480;-607.116.723.060.608;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;2;Sim, apenas fundo-a-fundo;Não; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ;Semestralmente; Sim; Sim; Não; Não; Não; Não; ; Não;15;15;0;0;0;0; Sim; Não; Não; Não; Não; Não; Não; Não; Não; Sim; Não; de 3% a 5%.;449522; ; ; Sim;362232; ;1248650; ; ; Sim;575949; ;51107058; ; ; Sim; ; Sim;123997; ; ; Sim; ; Sim;246848; ; ; Sim; ; Sim;1299904,5; ; ; Sim; ; Sim;54475979,5; ; ; Sim;938181; ; ;Roraima;Região Norte; Não;2;0;2;4;1;1;0;0;0;0;0;15;15;0;0;0;0;449522; ;362232;1248650; ;575949;51107058; ; ;123997; ; ;246848; ; ;1299904,5; ; ; ; ; ; ; ; ; ;Entre 1 e 20 entidades;Entre 1 e 50 municipios;Entre 1 e 50 municipios;nenhum municipio;nenhum municipio;nenhum municipio;nenhum municipio
15;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;AVENIDA GOVERNADOR JOSE MALCHER;1018; ;NAZARE; ;66055-260;BELEM;PA;seasterpa@yahoo.com.br;(91) 32391414; ;-14.506.732.958.939.100;-4.848.448.991.775.510;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não; ;Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ;Semestralmente; Sim; Sim; Sim; Sim; Não; Não; ; Sim;144;143;0;144;121;0; Não; Não; Não; Sim; Sim; Não; Não; Sim; Sim; Não; Não; de 3% a 5%.;7094408,31; ;7094408,31; ;7094408,31; ;13769001,82; ;13769001,82; ;3812833,91; ;285803274,8; ;285803274,8; ;0; ;24700947,1; ;24700947,1; ;0; ;480326,77; ;480326,77; ;0; ;35425,35; ;35425,35; ;0; ;331883384,2; ;331883384,2; ;10907242,22; ; ;Pará;Região Norte; Não; ;1;2;4;1;1;1;1;0;0;1;144;143;0;144;121;0;7094408,31;7094408,31;7094408,31;13769001,82;13769001,82;3812833,91;285803274,8;285803274,8;0;24700947,1;24700947,1;0;480326,77;480326,77;0;35425,35;35425,35;0;1;1;1;1;1;1; ; ;Entre 101 e 150 municipios;Entre 101 e 150 municipios;nenhum municipio;Entre 101 e 150 municipios;Entre 101 e 150 municipios;nenhum municipio
16;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Avenida;Rio Vila Nova;6; ;Central; ;68900-092;MACAPA;AP;feas@sims.ap.gov.br;(96) 00000000; ;0.029439924852039764;-51.053.016.185.760.500;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;5;Sim, apenas fundo-a-fundo;Sim; Outra organização.;Comum a todos os serviços socioassistenciais aos 16 municípios, CREAS cofinanciamento regionalizado para 4 municipios e Medidas Socioeducativa (LA/PSC) para 1 município; Mensalmente; Sim; Sim; Sim; Sim; Não; Não; ; Sim;16;16;0;16;16;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; de 3% a 5%.;2815200; ;3470985; ;2417856; ;5110440; ;2998951,77; ;254344; ;15949643,59; ;12942946,15; ;2917342,79; ;3188017; ;549104,97; ;0; ;53114360; ;32681226,28; ;0; ;2496511; ;362845,37; ;0; ;82674171,59; ;53006059,54; ;5589542,79; ; ;Amapá;Região Norte; Não;5;1;98;1;1;1;1;1;0;0;1;16;16;0;16;16;0;2815200;3470985;2417856;5110440;2998951,77;254344;15949643,59;12942946,15;2917342,79;3188017;549104,97;0;53114360;32681226,28;0;2496511;362845,37;0;1,23294437340153;,586828486392561;,811488111127128;,1722402891829;,615299257677208;,145340985879894; ;Entre 1 e 20 entidades;Entre 1 e 50 municipios;Entre 1 e 50 municipios;nenhum municipio;Entre 1 e 50 municipios;Entre 1 e 50 municipios;nenhum municipio
17;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Praça;Esplanada das Secretaria Praça dos Girassois;0; ;Centro; ;77003-902;PALMAS;TO;financeiro.setas.to@gmail.com;(63) 32181934; ;-10.217.266.357.592.000;-4.815.305.471.420.280;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não; ;Sim, apenas fundo-a-fundo;Sim; Outra organização.;Benefícios eventuais; Anualmente; Não; Não; Não; Sim; Não; Não; ; Não;0;0;0;139;139;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; Até 3%.;0; ;0; ;0; ;0; ;0; ;0; ;7433200; ;0; ;7150200; ;0; ;0; ;0; ;0; ;0; ;0; ;11309966,52; ;11309966,52; ;0; ;18743166,52; ;11309966,52; ;7150200; ; ;Tocantins;Região Norte; Não; ;1;98;5;0;0;0;1;0;0;0;0;0;0;139;139;0;0;0;0;0;0;0;7433200;0;7150200;0;0;0;0;0;0;11309966,52;11309966,52;0; ; ;0; ; ;1; ; ;nenhum municipio;nenhum municipio;nenhum municipio;Entre 101 e 150 municipios;Entre 101 e 150 municipios;nenhum municipio
21;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;DAS GARDÊNIAS, QUADRA I;25;xxxxxxxxx;JARDIM RENASCENÇA;PLANTA TOWER , OFICE TOWER;65075-080;SAO LUIS;MA;saas100@outlook.com;(98) 20169206;9206;-24.995.191.340.539.700;-44.289.493.560.791.000;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Não; ;Não; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Sim, houve construção e/ou reforma direta pelo estado de unidades da assistência social nos municípios.; de 3% a 5%.;13801311; ;12444479,3; ;0; ;18094414; ;14173874,3; ;0; ;650000; ;492000; ;0; ;1581745; ;771720; ;0; ;0; ;0; ;0; ;2441550; ;822614,23; ;0; ;36569020; ;28704687,83; ;0; ; ;Maranhão;Região Nordeste; Não; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13801311;12444479,3;0;18094414;14173874,3;0;650000;492000;0;1581745;771720;0;0;0;0;2441550;822614,23;0;,901688201939656;,783328727860433;,756923076923077;,487891537510787; ;,33692295058467; ; ; ; ; ; ; ; 
22;FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL;Rua;ACRE;340; ;CABRAL;PROXIMO A ASSEMBLEIA LEGISLATIVA;64001-650;TERESINA;PI;sasc@sasc.pi.gov.br;(86) 32215977; ;-5.080.375.127.974.180;-42.799.268.960.952.700;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a totalidade dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;43;Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por nível de proteção (Proteção Social Básica/Proteção Social Especial); ; Não houve frequência regular; Não; Sim; Sim; Sim; Não; Não; ; Não;27;27;0;203;203;0; Não; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Sim; Não; Não; de 5% a 10%.;8091219; ;809129; ; ; Sim;2258350; ;1550842; ;990476,66; ;7291400; ;7291400; ;2298000; ;,777; ;,777; ; ; Sim;2815700; ;2815700; ; ; Sim; ; Sim; ; Sim; ; Sim;34717940; ;155128342; ;3288476,66; ; ;Piaui;Região Nordeste; Não;43;1;2;0;0;1;1;1;0;0;0;27;27;0;203;203;0;8091219;809129; ;2258350;1550842;990476,66;7291400;7291400;2298000;14261271;142661271; ;2815700;2815700; ; ; ; ;,100000877494479;,686714636792348;1;10,0034050962218;1; ;1;Entre 41 e 70 entidades;Entre 1 e 50 municipios;Entre 1 e 50 municipios;nenhum municipio;Entre 151 e 300 municipios;Entre 151 e 300 municipios;nenhum municipio
23;FUNDO ESTADUAL DA ASSISTÊNCIA SOCIAL;Rua;Soriano Albuquerque;230; ;Joaquim Távora; ;60130-160;FORTALEZA;CE;feas.ce@sps.ce.gov.br;(85) 31080659; ;-3.748.423;-3.851.878.462.920.540;S;O(a) Secretário(a) Estadual de Assistência Social;Sim, a maior parte dos recursos próprios é alocada no FEAS;Sim, com recursos do FEAS e de outras fontes;12;Sim, apenas fundo-a-fundo;Sim; O cofinanciamento foi realizado por serviço socioassistencial (PAIF, PAEFI, entre outros); ; Mensalmente; Sim; Sim; Não; Sim; Não; Sim;Premiação dos Cras,; Não;184;184;0;184;184;0; Não; Sim; Sim; Não; Não; Sim; Sim; Não; Não; Não; Sim, houve construção e/ou reforma direta pelo estado de unidades da assistência social nos municípios.; de 5% a 10%.;86409608,46; ;69348141,46; ;17061467; ;18535862,08; ;16810262,08; ;1725600; ;2500000; ;0; ;2500000; ;362602,48; ;362602,48; ;0; ;0; ;0; ;0; ;2000000; ;2000000; ;0; ;109808073; ;88521006,02; ;21287067; ; ;Ceará;Região Nordeste; Não;12;1;1;1;1;1;0;1;0;1;0;184;184;0;184;184;0;86409608,46;69348141,46;17061467;18535862,08;16810262,08;1725600;2500000;0;2500000;362602,48;362602,48;0;0;0;0;2000000;2000000;0;,802551275210349;,906904788536277;0;1; ;1; ;Entre 1 e 20 entidades;Entre 151 e 300 municipios;Entre 151 e 300 municipios;nenhum municipio;Entre 151 e 300 municipios;Entre 151 e 300 municipios;nenhum municipio
