NU_IDENTIFICADOR;IBGE;q33_3;q33_9;q33_10;q33_11;q33_12;q33_13;q33_14;q33_15_1;q33_15_2;IBGE7;UF;Regiao;Município;areaKm2;Nome_UF;Pop_total_2022;Porte_pop2022;Q_incompleto;DataCenso;DataCenso_2023;Faixas_etarias;d33_9;d33_11;d33_9bin1;d33_9bin2;d33_9bin3;d33_10bin1;d33_10bin2;d33_10bin3;d33_10bin4;d33_10bin5;d33_11bin1;d33_11bin2;d33_11bin3;d33_11bin4;d33_9bin1_sum;d33_9bin2_sum;d33_9bin3_sum;d33_10bin1_sum;d33_10bin2_sum;d33_10bin3_sum;d33_10bin4_sum;d33_10bin5_sum;d33_11bin1_sum;d33_11bin2_sum;d33_11bin3_sum;d33_11bin4_sum;nu_trabalhadores;d33_15_1_1bin_Gestão;d33_15_1_1bin_PopRua;d33_15_1_1bin_Abordagem;d33_15_1_1bin_Cadastramento;d33_15_1_1bin_Outros;d33_15_2_1bin_Gestão;d33_15_2_1bin_PopRua;d33_15_2_1bin_Abordagem;d33_15_2_1bin_Cadastramento;d33_15_2_1bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d33_15_1_1bin_Gestão_sum;d33_15_1_1bin_PopRua_sum;d33_15_1_1bin_Abordagem_sum;d33_15_1_1bin_Cadastramento_sum;d33_15_1_1bin_Outros_sum;d33_15_2_1bin_Gestão_sum;d33_15_2_1bin_PopRua_sum;d33_15_2_1bin_Abordagem_sum;d33_15_2_1bin_Cadastramento_sum;d33_15_2_1bin_Outros_sum
13547802262;354780; Feminino; Superior Incompleto; Assistente Social; Terceirizado; Técnico(a) de Nível Superior; De 21 a 30 horas semanais;26/09/2023; Serviço Especializado para Pessoas em Situação de Rua; Outros;3547809;São Paulo;Região Sudeste;Santo André;175,782;SP;748919;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;5;6;11;0;5;0;0;3;9;2;0;11;22; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;6;9; ; ;2; ; ; ; ;17
21012098032;210120; Feminino; Fundamental Completo; Sem formação profissional; Outro vínculo não permanente; Educador(a) Social; De 31 a 40 horas semanais;02/05/2022; ; ;2101202;Maranhão;Região Nordeste;Bacabal;1683,073;MA;103711;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;1;2;0;1;0;0;0;0;0;1;5;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ; ; ; ;1
21113096454;211130; Feminino; Superior Incompleto; Outra(o) profissional de nível superior; Terceirizado; Apoio Administrativo; De 41 a 44 horas semanais;02/10/2023; Outros; Outros;2111300;Maranhão;Região Nordeste;São Luís;834,827;MA;1037775;Metrópole;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;16;11;0;5;0;0;3;7;0;3;18;28; ; ; ; ;Outros; ; ; ; ;Outros; ; ; ; ;1;3;7; ;1;16;1;7; ; ;19
23096098104;230960; Feminino; Médio Incompleto; Sem formação profissional; Servidor Estatutário; Outros; De 31 a 40 horas semanais;01/02/2011; ; ;2309607;Ceará;Região Nordeste;Pacajus;254,636;CE;70983;Médio;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível fundamental;Servidor Estatutário;Nível fundamental; ; ; ; ; ; ; ;Servidor Estatutário; ; ; ;2;3;3;1;1;0;0;1;3;0;2;3;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2; ;1; ; ; ; ; 
25040096456;250400; Feminino; Superior Completo; Assistente Social; Servidor Temporário; Técnico(a) de Nível Superior; De 21 a 30 horas semanais;02/10/2023; Atividades de gestão (administrativo); ;2504009;Paraíba;Região Nordeste;Campina Gra;593,026;PB;419379;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;4;17;10;0;3;0;1;3;0;0;0;31;31;Atividades de gestão (administrativo); ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;14; ; ;10; ;1;7;2;5
29148097310;291480; Masculino; Médio Completo; Profissional de nível médio; Servidor Temporário; Cadastrador(a); De 21 a 30 horas semanais;14/11/2016; Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico); Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico);2914802;Bahia;Região Nordeste;Itabuna;401,028;BA;186708;Grande;completo;31.08.2023;8/31/2023;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;5;10;12;2;3;0;0;4;5;10;2;10;27; ; ; ;Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico); ; ; ; ;Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico); ; ; ; ;1; ;5;8;4;2;3;5;9;3;2;3
33019097970;330190; Feminino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Outros; De 31 a 40 horas semanais;01/07/2021; Serviço Especializado para Pessoas em Situação de Rua; Outros;3301900;Rio de Janeiro;Região Sudeste;Itaboraí;430,59;RJ;224267;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;7;4;0;3;0;0;1;0;0;4;8;12; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ;Outros; ;1; ; ;1;2;7; ; ;2; ;2;4; ;3
41195098121;411950; Masculino; Fundamental Completo; Sem formação profissional; Empregado Público Celetista (CLT); Outros; De 31 a 40 horas semanais;27/11/2001; ; ;4119509;Paraná;Região Sul;Piraquara;227,042;PR;118730;Grande;completo;31.08.2023;8/31/2023;51 a 60 anos;Nível fundamental;Empregado Público (CLT);Nível fundamental; ; ; ; ; ; ; ; ;Empregado Público (CLT); ; ;2;9;3;0;1;0;0;1;11;1;0;2;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10; ; ; ; ; ;10;1;1
42023098180;420230; Feminino; Superior Completo; Assistente Social; Servidor Temporário; Técnico(a) de Nível Superior; De 21 a 30 horas semanais;05/05/2023; Serviço Especializado para Pessoas em Situação de Rua; ;4202305;Santa Catarina;Região Sul;Biguaçu;367,891;SC;76773;Médio;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;0;3;5;1;2;0;0;1;5;0;1;2;8; ;Serviço Especializado para Pessoas em Situação de Rua; ; ; ; ; ; ; ; ; ;1; ; ; ;1;5; ; ;2; ; ; ; ; 
42024096132;420240; Masculino; Médio Incompleto; Sem formação profissional; Trabalhador de Empresa/Cooperativa/Entidade Prestadora de Serviços; Serviços Gerais; De 31 a 40 horas semanais;15/12/2022; ; ;4202404;Santa Catarina;Região Sul;Blumenau;518,497;SC;361261;Grande;completo;31.08.2023;8/31/2023;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2;19;14;0;6;0;0;1;25;0;0;10;35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;13; ; ; ; ; ;2;31
