IBGE;q41_3;q41_9;q41_10;q41_11;q41_12;q41_13;q41_14;q41_15;q41_16;Região;UF;Q_incompleto;DataCenso;DataCenso_2024;Faixas_etarias;d41_9;d41_9bin1;d41_9bin2;d41_9bin3;d41_10;d41_10bin1;d41_10bin2;d41_10bin3;d41_10bin4;d41_10bin5;d41_11;d41_11bin1;d41_11bin2;d41_11bin3;d41_11bin4;d41_9bin1_sum;d41_9bin2_sum;d41_9bin3_sum;d41_10bin1_sum;d41_10bin2_sum;d41_10bin3_sum;d41_10bin4_sum;d41_10bin5_sum;d41_11bin1_sum;d41_11bin2_sum;d41_11bin3_sum;d41_11bin4_sum;nu_trabalhador;d41_15_1bin_Gestão;d41_15_1bin_Gestão_do_SUAS;d41_15_1bin_Vigilância_Socioassistencial;d41_15_1bin_Gestão_do_Trabalho;d41_15_1bin_Regulação_do_SUAS;d41_15_1bin_Gestão_Financeira_Orçamentária;d41_15_1bin_PSB;d41_15_1bin_PSE_Média_Complexidade;d41_15_1bin_PSE_Alta_Complexidade;d41_15_1bin_Gestão_CadÚnico;d41_15_1bin_PBF;d41_15_1bin_Gestão_Benefícios_Assistenciais;d41_15_1bin_PCF;d41_15_1bin_Outros;d41_16_2bin_Gestão;d41_16_2bin_Gestão_do_SUAS;d41_16_2bin_Vigilância_Socioassistencial;d41_16_2bin_Gestão_do_Trabalho;d41_16_2bin_Regulação_do_SUAS;d41_16_2bin_Gestão_Financeira_Orçamentária;d41_16_2bin_PSB;d41_16_2bin_PSE_Média_Complexidade;d41_16_2bin_PSE_Alta_Complexidade;d41_16_2bin_Gestão_CadÚnico;d41_16_2bin_PBF;d41_16_2bin_Gestão_Benefícios_Assistenciais;d41_15_2bin_PCF;d41_16_2bin_Outros;d41_Gestão;d41_Gestão_do_SUAS;d41_Vigilância_Socioassistencial;d41_Gestão_do_Trabalho;d41_Regulação_do_SUAS;d41_Gestão_Financeira_Orçamentária;d41_PSB;d41_PSE_Média_Complexidade;d41_PSE_Alta_Complexidade;d41_Gestão_CadÚnico;d41_PBF;d41_Gestão_Benefícios_Assistenciais;d41_PCF;d41_Outros;d41_15_1bin_Gestão_sum;d41_15_1bin_Gestão_do_SUAS_sum;d41_15_1bin_Vigilância_Socioassistencial_sum;d41_15_1bin_Gestão_do_Trabalho_sum;d41_15_1bin_Regulação_do_SUAS_sum;d41_15_1bin_Gestão_Financeira_Orçamentária_sum;d41_15_1bin_PSB_sum;d41_15_1bin_PSE_Média_Complexidade_sum;d41_15_1bin_PSE_Alta_Complexidade_sum;d41_15_1bin_Gestão_CadÚnico_sum;d41_15_1bin_PBF_sum;d41_15_1bin_Gestão_Benefícios_Assistenciais_sum;d41_15_1bin_PCF_sum;d41_15_1bin_Outros_sum;d41_16_2bin_Gestão_sum;d41_16_2bin_Gestão_do_SUAS_sum;d41_16_2bin_Vigilância_Socioassistencial_sum;d41_16_2bin_Gestão_do_Trabalho_sum;d41_16_2bin_Regulação_do_SUAS_sum;d41_16_2bin_Gestão_Financeira_Orçamentária_sum;d41_16_2bin_PSB_sum;d41_16_2bin_PSE_Média_Complexidade_sum;d41_16_2bin_PSE_Alta_Complexidade_sum;d41_16_2bin_Gestão_CadÚnico_sum;d41_16_2bin_PBF_sum;d41_16_2bin_Gestão_Benefícios_Assistenciais_sum;d41_15_2bin_PCF_sum;d41_16_2bin_Outros_sum;d41_Gestão_sum;d41_Gestão_do_SUAS_sum;d41_Vigilância_Socioassistencial_sum;d41_Gestão_do_Trabalho_sum;d41_Regulação_do_SUAS_sum;d41_Gestão_Financeira_Orçamentária_sum;d41_PSB_sum;d41_PSE_Média_Complexidade_sum;d41_PSE_Alta_Complexidade_sum;d41_Gestão_CadÚnico_sum;d41_PBF_sum;d41_Gestão_Benefícios_Assistenciais_sum;d41_PCF_sum;d41_Outros_sum;N_BREAK
11;Feminino; Superior Completo; Assistente Social; Servidor(a)/Estatutária(o); Técnica(o) de Nível Superior; De 21 a 30 horas semanais;01.04.2019; Programa Criança Feliz; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;Mais de 60 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ; ; ; ; ; ;Programa Criança Feliz; ; ; ; ; ; ; ; ; ; ; ; ; ;Programa Criança Feliz; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Mestrado; Pedagoga(o); Servidor(a)/Estatutária(o); Técnica(o) de Nível Superior; De 31 a 40 horas semanais;01.05.2022; Gestão do Trabalho; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;Mais de 60 anos;Nível Superior; ; ;Nível Superior;Pedagogo;Pedagogo; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ;Gestão do Trabalho; ; ; ; ; ; ; ; ; ; ; ; ; ;Gestão do Trabalho; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnica(o) de Nível Superior; De 31 a 40 horas semanais;01.01.2019;99; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnica(o) de Nível Superior; De 21 a 30 horas semanais;01.01.2018;99; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Superior Completo; Assistente Social; Comissionada(o); Outros; De 31 a 40 horas semanais;01.07.2022;99; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Médio Completo; Sem formação profissional; Comissionada(o); Apoio Administrativo; De 31 a 40 horas semanais;10.01.2015;99; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio; ;Nível Médio; ;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnica(o) de Nível Superior; De 21 a 30 horas semanais;14.06.2019; Proteção Social Especial de Média Complexidade; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ;PSE Média Complexidade; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnica(o) de Nível Superior; De 31 a 40 horas semanais;02.01.2019; Gestão do Cadastro Único; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ; ; ;Gestão do Cadastro Único; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnica(o) de Nível Superior; De 21 a 30 horas semanais;14.04.2011;99; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Comissionado; ; ;Comissionado; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
11;Feminino; Especialização; Advogada(o); Servidor(a)/Estatutária(o); Técnica(o) de Nível Superior; De 31 a 40 horas semanais;01.06.2022; Gestão do Trabalho; ;Região Norte;Rondonia;completo;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Servidor Estatutário;Servidor Estatutário; ; ; ; ;3;52;5;26;1;4;7;18; ;37; ;55; ; ; ;Gestão do Trabalho; ; ; ; ; ; ; ; ; ; ; ; ; ;Gestão do Trabalho; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ; ; ; ;4;3; ; ; ; ; ; ; ;3; ;1;3;6;4;3; ;6;5;1;2; ;1;3; ;55
