IBGE;q74_3;q74_5;q74_6;q74_7;q74_8;q74_9;Região;UF;Q_incompleto;DataCenso;DataCenso_2024;Faixas_etarias;q74_8_rec;q74_9_rec;Tempo_Mandato;d74_5;d74_5bin1;d74_5bin2;d74_5bin3;d74_6bin1;d74_6bin2;d74_6bin3;d74_6bin4;d74_6bin5;d74_6bin1_TIT;d74_6bin1_SUPL;d74_6bin2_TIT;d74_6bin2_SUPL;d74_6bin3_TIT;d74_6bin3_SUPL;d74_6bin4_TIT;d74_6bin4_SUPL;d74_6bin5_TIT;d74_6bin5_SUPL;d74_6bin1_sum;d74_6bin2_sum;d74_6bin3_sum;d74_6bin4_sum;d74_6bin5_sum;d74_6bin1_TIT_sum;d74_6bin1_SUPL_sum;d74_6bin2_TIT_sum;d74_6bin2_SUPL_sum;d74_6bin3_TIT_sum;d74_6bin3_SUPL_sum;d74_6bin4_TIT_sum;d74_6bin4_SUPL_sum;d74_6bin5_TIT_sum;d74_6bin5_SUPL_sum;nu_conselheiros
11; Feminino; Superior Completo; Governamental – Saúde; Conselheiro Titular;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;51 a 60 anos;6/20/2023;6/20/2025;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Feminino; Superior Completo; Governamental – Saúde; Conselheiro Suplente;10.10.2024;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024; ;10/10/2024;6/20/2025;1;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Masculino; Especialização; Sociedade Civil - organizações dos trabalhadores; Conselheiro Suplente;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;18 a 29 anos;6/20/2023;6/20/2025;2;Nível Superior; ; ;Nível Superior; ; ;Representante de organização dos trabalhadores; ;Representante da Sociedade Civil; ; ; ; ; ;1; ; ; ;1;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Masculino; Especialização; Governamental – Educação; Conselheiro Titular;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;51 a 60 anos;6/20/2023;6/20/2025;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Feminino; Superior Completo; Governamental - Assistência Social; Secretário Executivo;08.02.2006; ;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;51 a 60 anos;2/8/2006; ; ;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ; ; ; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Feminino; Superior Completo; Sociedade Civil - dos usuários; Conselheiro(a) Presidente;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;51 a 60 anos;6/20/2023;6/20/2025;2;Nível Superior; ; ;Nível Superior;Representante de usuários e organização de usuários; ; ; ;Representante da Sociedade Civil;1; ; ; ; ; ; ; ;1; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Masculino; Médio Completo; Sociedade Civil - das entidade e Organizações de Ass. Social; Conselheiro Titular;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;41 a 50 anos;6/20/2023;6/20/2025;2;Nível Médio; ;Nível Médio; ; ;Representante de Entidades de Assistência Social; ; ;Representante da Sociedade Civil; ; ;1; ; ; ; ; ;1; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Feminino; Superior Completo; Sociedade Civil - dos usuários; Conselheiro Suplente;10.10.2024;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;41 a 50 anos;10/10/2024;6/20/2025;1;Nível Superior; ; ;Nível Superior;Representante de usuários e organização de usuários; ; ; ;Representante da Sociedade Civil; ;1; ; ; ; ; ; ; ;1;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Feminino; Superior Completo; Governamental - Assistência Social; Conselheiro Suplente;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;41 a 50 anos;6/20/2023;6/20/2025;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Masculino; Superior Completo; Sociedade Civil - organizações dos trabalhadores; Conselheiro Titular;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;41 a 50 anos;6/20/2023;6/20/2025;2;Nível Superior; ; ;Nível Superior; ; ;Representante de organização dos trabalhadores; ;Representante da Sociedade Civil; ; ; ; ;1; ; ; ;1; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Feminino; Especialização; Governamental – Educação; Conselheiro Suplente;22.03.2024;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;41 a 50 anos;3/22/2024;6/20/2025;1;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Masculino; Superior Completo; Governamental - Assistência Social; Vice-Presidente;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;30 a 40 anos;6/20/2023;6/20/2025;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
11; Masculino; Médio Completo; Sociedade Civil - das entidade e Organizações de Ass. Social; Conselheiro Suplente;20.06.2023;20.06.2025;Região Norte;Rondonia;completo;31.08.2024;31.08.2024;30 a 40 anos;6/20/2023;6/20/2025;2;Nível Médio; ;Nível Médio; ; ;Representante de Entidades de Assistência Social; ; ;Representante da Sociedade Civil; ; ; ;1; ; ; ; ; ;1;2;2;2;7;6;1;1;1;1;1;1;3;3;3;3;13
12; Masculino; Superior Incompleto; Governamental – Outras áreas; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;30 a 40 anos;10/4/2024;10/4/2026;2;Nível Médio; ;Nível Médio; ; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Masculino; Superior Incompleto; Governamental – Outras áreas; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024; ;10/4/2024;10/4/2026;2;Nível Médio; ;Nível Médio; ; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Incompleto; Sociedade Civil - dos usuários; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;18 a 29 anos;10/4/2024;10/4/2026;2;Nível Médio; ;Nível Médio; ;Representante de usuários e organização de usuários; ; ; ;Representante da Sociedade Civil;1; ; ; ; ; ; ; ;1; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Médio Completo; Sociedade Civil - dos usuários; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;18 a 29 anos;10/4/2024;10/4/2026;2;Nível Médio; ;Nível Médio; ;Representante de usuários e organização de usuários; ; ; ;Representante da Sociedade Civil; ;1; ; ; ; ; ; ; ;1;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Governamental – Educação; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;Mais de 60 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Masculino; Superior Completo; Sociedade Civil - dos usuários; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;Mais de 60 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior;Representante de usuários e organização de usuários; ; ; ;Representante da Sociedade Civil; ;1; ; ; ; ; ; ; ;1;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Sociedade Civil - das entidade e Organizações de Ass. Social; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;51 a 60 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ;Representante de Entidades de Assistência Social; ; ;Representante da Sociedade Civil; ; ; ;1; ; ; ; ; ;1;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Médio Completo; Sociedade Civil - organizações dos usuários; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;51 a 60 anos;10/4/2024;10/4/2026;2;Nível Médio; ;Nível Médio; ;Representante de usuários e organização de usuários; ; ; ;Representante da Sociedade Civil;1; ; ; ; ; ; ; ;1; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Especialização; Governamental - Assistência Social; Secretário Executivo;02.10.2022;31.12.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/2/2022;12/31/2026;4;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Masculino; Superior Completo; Governamental – Educação; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;51 a 60 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Especialização; Sociedade Civil - das entidade e Organizações de Ass. Social; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ;Representante de Entidades de Assistência Social; ; ;Representante da Sociedade Civil; ; ;1; ; ; ; ; ;1; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Sociedade Civil - organizações dos trabalhadores; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ;Representante de organização dos trabalhadores; ;Representante da Sociedade Civil; ; ; ; ; ;1; ; ; ;1;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Masculino; Superior Completo; Sociedade Civil - organizações dos trabalhadores; Conselheiro(a) Presidente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ;Representante de organização dos trabalhadores; ;Representante da Sociedade Civil; ; ; ; ;1; ; ; ;1; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Mestrado; Governamental – Outras áreas; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Masculino; Superior Completo; Governamental – Outras áreas; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;51 a 60 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Especialização; Governamental – Outras áreas; Vice-Presidente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Sociedade Civil - das entidade e Organizações de Ass. Social; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ;Representante de Entidades de Assistência Social; ; ;Representante da Sociedade Civil; ; ;1; ; ; ; ; ;1; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Sociedade Civil - organizações dos trabalhadores; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ;Representante de organização dos trabalhadores; ;Representante da Sociedade Civil; ; ; ; ; ;1; ; ; ;1;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Masculino; Especialização; Governamental – Outras áreas; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Especialização; Governamental - Assistência Social; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Masculino; Mestrado; Governamental - Assistência Social; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;30 a 40 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Especialização; Governamental – Outras áreas; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;30 a 40 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Sociedade Civil - dos usuários; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;30 a 40 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior;Representante de usuários e organização de usuários; ; ; ;Representante da Sociedade Civil;1; ; ; ; ; ; ; ;1; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Governamental – Outras áreas; Conselheiro Suplente;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;41 a 50 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
12; Feminino; Superior Completo; Sociedade Civil - das entidade e Organizações de Ass. Social; Conselheiro Titular;04.10.2024;04.10.2026;Região Norte;Acre;completo;31.08.2024;31.08.2024;30 a 40 anos;10/4/2024;10/4/2026;2;Nível Superior; ; ;Nível Superior; ;Representante de Entidades de Assistência Social; ; ;Representante da Sociedade Civil; ; ;1; ; ; ; ; ;1; ;5;4;3;13;12;3;2;3;1;1;2;7;5;7;5;25
13; Masculino; Superior Completo; Governamental – Outras áreas; Conselheiro Suplente;01.01.2025;01.01.2027;Região Norte;Amazonas;completo;31.08.2024;31.08.2024;30 a 40 anos;1/1/2025;1/1/2027;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ;1; ; ;4;5;4;19;13;3;1;3;2;1;3;7;7;7;6;32
13; Feminino; Superior Incompleto; Governamental – Outras áreas; Conselheiro Titular; ;01.01.2027;Região Norte;Amazonas;completo;31.08.2024;31.08.2024;30 a 40 anos; ;1/1/2027; ;Nível Médio; ;Nível Médio; ; ; ; ;Representante do Governo; ; ; ; ; ; ; ;1; ; ; ;4;5;4;19;13;3;1;3;2;1;3;7;7;7;6;32
13; Feminino; Especialização; Governamental - Assistência Social; Apoio Administrativo;01.01.2025;01.01.2027;Região Norte;Amazonas;completo;31.08.2024;31.08.2024;18 a 29 anos;1/1/2025;1/1/2027;2;Nível Superior; ; ;Nível Superior; ; ; ;Representante do Governo; ; ; ; ; ; ; ; ; ; ; ;4;5;4;19;13;3;1;3;2;1;3;7;7;7;6;32
