IBGE;NU_IDENTIFICADOR;q47_3;q47_8;q47_9;q47_10;q47_11;q47_12;q47_13;q47_14;q47_15;IBGE7;UF;Regiao;Município;areaKm2;Nome_UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q1;DataCenso;DataCenso_2024;Faixas_etarias;d_47_8;d_47_8bin1;d_47_8bin2;d_47_8bin3;d_47_9;d_47_9bin1;d_47_9bin2;d_47_9bin3;d_47_9bin4;d_47_9bin5;d_47_10;d_47_10bin1;d_47_10bin2;d_47_10bin3;d_47_10bin4;d_47_8bin1_sum;d_47_8bin2_sum;d_47_8bin3_sum;d_47_9bin1_sum;d_47_9bin2_sum;d_47_9bin3_sum;d_47_9bin4_sum;d_47_9bin5_sum;d_47_10bin1_sum;d_47_10bin2_sum;d_47_10bin3_sum;d_47_10bin4_sum;nu_trabalhador;d_47_14_1bin_Gestão;d_47_14_1bin_PAIF;d_47_14_1bin_SCFV;d_47_14_1bin_PSB;d_47_14_1bin_Cadastramento;d_47_14_1bin_Beneficios;d_47_14_1bin_PCF;d_47_14_1bin_Outros;d_47_15_2bin_Gestão;d_47_15_2bin_PAIF;d_47_15_2bin_SCFV;d_47_15_2bin_PSB;d_47_15_2bin_Cadastramento;d_47_15_2bin_Beneficios;d_47_15_2bin_PCF;d_47_15_2bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_47_14_1bin_Gestão_sum;d_47_14_1bin_PAIF_sum;d_47_14_1bin_SCFV_sum;d_47_14_1bin_PSB_sum;d_47_14_1bin_Cadastramento_sum;d_47_14_1bin_Beneficios_sum;d_47_14_1bin_PCF_sum;d_47_14_1bin_Outros_sum;d_47_15_2bin_Gestão_sum;d_47_15_2bin_PAIF_sum;d_47_15_2bin_SCFV_sum;d_47_15_2bin_PSB_sum;d_47_15_2bin_Cadastramento_sum;d_47_15_2bin_Beneficios_sum;d_47_15_2bin_PCF_sum;d_47_15_2bin_Outros_sum
110006;11000698810; Feminino; Superior Incompleto; Pedagoga(o); Outro vínculo não permanente;Estagiário(a); De 21 a 30 horas semanais;15/02/2024; Atividades de gestão (administrativo); Outros;1100064;Rondonia;Região Norte; ;1451,06;RO;15663;Pequeno I;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Médio; ;Nível Médio; ;Pedagogo;Pedagogo; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;2;2;2;1;0;0;1;3;0;0;2;5;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;2
110006;11000698810; Feminino; Superior Incompleto; Pedagoga(o); Servidor(a) Temporária(o);Estagiário(a); De 21 a 30 horas semanais;02/09/2024; Atividades de gestão (administrativo); Outros;1100064;Rondonia;Região Norte; ;1451,06;RO;15663;Pequeno I;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Médio; ;Nível Médio; ;Pedagogo;Pedagogo; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;1;2;2;2;1;0;0;1;3;0;0;2;5;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;2
110006;11000698810; Masculino; Fundamental Completo; Sem formação profissional; Servidor(a)/Estatutário(a);Serviços Gerais (limpeza, conservação, motoristas, etc.); De 31 a 40 horas semanais;08/04/2024; ; ;1100064;Rondonia;Região Norte; ;1451,06;RO;15663;Pequeno I;completo;Municipal;31.08.2024;8/31/2024;Mais de 60 anos;Nível fundamental;Nível fundamental; ; ;Outro profissional de nivel superior; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;2;2;2;1;0;0;1;3;0;0;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;2
110006;11000698810; Feminino; Especialização;Assistente Social; Servidor(a)/Estatutário(a); Coordenador(a); De 21 a 30 horas semanais;13/04/2023; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);1100064;Rondonia;Região Norte; ;1451,06;RO;15663;Pequeno I;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;2;2;2;1;0;0;1;3;0;0;2;5; ;PAIF; ; ; ; ; ; ; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ;1;1; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;2
110006;11000698810; Feminino;Superior Completo; Psicóloga(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 31 a 40 horas semanais;06/08/2024; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);1100064;Rondonia;Região Norte; ;1451,06;RO;15663;Pequeno I;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Servidor Estatutário;Servidor Estatutário; ; ; ;1;2;2;2;1;0;0;1;3;0;0;2;5; ;PAIF; ; ; ; ; ; ; ; ;Serviço de Convivência e Fortalecimento de Vínculo; ; ; ; ; ; ;1;1; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;2
110009;11000999332; Masculino;Superior Completo; Psicóloga(o); Servidor(a)/Estatutário(a); Coordenador(a); De 31 a 40 horas semanais;08/01/2020; Atividades de gestão (administrativo); Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;1100098;Rondonia;Região Norte; ;4518,038;RO;29414;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Servidor Estatutário;Servidor Estatutário; ; ; ;0;0;1;0;0;0;0;1;1;0;0;0;1;Gestão; ; ; ; ; ; ; ; ;PAIF; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; 
110033;11003398012; Masculino;Superior Completo; Psicóloga(o); Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;15/09/2022; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; ;1100338;Rondonia;Região Norte; ;10070,49;RO;25444;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Comissionado; ; ;Comissionado; ;1;2;2;0;0;0;0;1;3;0;2;0;5; ;PAIF; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;2; ; ; ; ; ;1; ; ; ; ; ; ; ; 
110033;11003398012; Masculino; Fundamental Incompleto; Sem formação profissional; Servidor(a)/Estatutário(a); Outros; De 31 a 40 horas semanais;01/05/1989; ; ;1100338;Rondonia;Região Norte; ;10070,49;RO;25444;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Nível fundamental; ; ;Outro profissional de nivel superior; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;2;2;0;0;0;0;1;3;0;2;0;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ;1; ; ; ; ; ; ; ; 
110033;11003398012; Feminino; Médio Completo; Profissional de nível médio; Servidor(a)/Estatutário(a);Serviços Gerais (limpeza, conservação, motoristas, etc.); De 31 a 40 horas semanais;05/08/2021; Outros; ;1100338;Rondonia;Região Norte; ;10070,49;RO;25444;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;Mais de 60 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;2;2;0;0;0;0;1;3;0;2;0;5; ; ; ; ; ; ; ;Outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ; ;1; ; ; ; ; ; ; ; 
110033;11003398012; Feminino; Médio Completo; Profissional de nível médio; Servidor(a)/Estatutário(a); Apoio Administrativo; De 31 a 40 horas semanais;01/03/2019; Atividades de gestão (administrativo); ;1100338;Rondonia;Região Norte; ;10070,49;RO;25444;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;1;2;2;0;0;0;0;1;3;0;2;0;5;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;2; ; ; ; ; ;1; ; ; ; ; ; ; ; 
