N_Identificador;IBGE;q55_3;q55_9;q55_10;q55_11;q55_12;q55_13;qIBGE7;codigo_UF;Região;Município;areaKm2;UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2024;d55_2_Faixas_etarias;d55_9;d55_11;d55_9bin1;d55_9bin2;d55_9bin3;d55_10bin1;d55_10bin2;d55_10bin3;d55_10bin4;d55_10bin5;d55_11bin1;d55_11bin2;d55_11bin3;d55_11bin4;d55_9bin1_sum;d55_9bin2_sum;d55_9bin3_sum;d55_10bin1_sum;d55_10bin2_sum;d55_10bin3_sum;d55_10bin4_sum;d55_10bin5_sum;d55_11bin1_sum;d55_11bin2_sum;d55_11bin3_sum;d55_11bin4_sum;nu_trabalhadores
1720903313439;17; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior;22.06.2022;17;Tocantins;Região Norte;Taguatinga;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ;1;1; ; ; ;3;3
1720903313439;17; Feminino; Superior Completo; Advogada(o); Servidor(a) Temporária(o); Coordenador(a);22.06.2022;17;Tocantins;Região Norte;Taguatinga;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ;1;1; ; ; ;3;3
1720903313439;17; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior;22.06.2022;17;Tocantins;Região Norte;Taguatinga;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ;1;1; ; ; ;3;3
1721003308700;17; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior;22.05.2017;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;1;1;2; ;1; ; ;1; ; ;1;3;4
1721003308700;17; Feminino; Médio Completo; Profissional de nível médio; Comissionada(o); Apoio Administrativo;02.06.2022;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;16 a 29 anos;Nível Médio;Comissionado; ;Nível Médio; ; ; ; ; ; ; ; ;Comissionado; ;1;1;2; ;1; ; ;1; ; ;1;3;4
1721003308700;17; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior;22.05.2017;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;2; ;1; ; ;1; ; ;1;3;4
1721003308700;17; Feminino; Fundamental Incompleto; Sem formação profissional; Servidor(a) Temporária(o); Serviços Gerais;24.05.2023;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;61 a 80 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;2; ;1; ; ;1; ; ;1;3;4
1722103313437;17; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior;22.06.2024;17;Tocantins;Região Norte;Xambioa;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ; ;5;5
1722103313437;17; Feminino; Fundamental Completo; Sem formação profissional; Servidor(a) Temporária(o); Apoio Administrativo;22.06.2024;17;Tocantins;Região Norte;Xambioa;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ; ;5;5
1722103313437;17; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior;22.06.2024;17;Tocantins;Região Norte;Xambioa;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ; ;5;5
