N_Identificador;IBGE;q48_3;q48_9;q48_10;q48_11;q48_12;q48_14;IBGE7;codigo_UF;Região;Município;areaKm2;UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2024;d48_2_Faixas_etarias;d48_9;d48_11;d48_9bin1;d48_9bin2;d48_9bin3;d48_10bin1;d48_10bin2;d48_10bin3;d48_10bin4;d48_10bin5;d48_11bin1;d48_11bin2;d48_11bin3;d48_11bin4;d48_9bin1_sum;d48_9bin2_sum;d48_9bin3_sum;d48_10bin1_sum;d48_10bin2_sum;d48_10bin3_sum;d48_10bin4_sum;d48_10bin5_sum;d48_11bin1_sum;d48_11bin2_sum;d48_11bin3_sum;d48_11bin4_sum;nu_familias_acolhedoras
1720903313439;17; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;23.09.2024;17;Tocantins;Região Norte;Taguatinga;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2;1;1; ; ; ; ; ; ;3;3
1720903313439;17; Masculino; Superior Completo; Pedagoga(o); Sem Vínculo; Família Acolhedora;23.09.2024;17;Tocantins;Região Norte;Taguatinga;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2;1;1; ; ; ; ; ; ;3;3
1720903313439;17; Feminino; Superior Completo; Assistente Social; Sem Vínculo; Família Acolhedora;23.09.2024;17;Tocantins;Região Norte;Taguatinga;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2;1;1; ; ; ; ; ; ;3;3
1721003308700;17; Masculino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;27.04.2022;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;3;2; ; ; ; ; ; ; ;6;6
1721003308700;17; Feminino; Fundamental Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;16.06.2023;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;61 a 80 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;3;2; ; ; ; ; ; ; ;6;6
1721003308700;17; Feminino; Superior Completo; Pedagoga(o); Sem Vínculo; Família Acolhedora;27.11.2023;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;3;2; ; ; ; ; ; ; ;6;6
1721003308700;17; Feminino; Superior Completo; Outra formação de nível superior; Sem Vínculo; Família Acolhedora;27.11.2023;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;3;2; ; ; ; ; ; ; ;6;6
1721003308700;17; Feminino; Superior Completo; Pedagoga(o); Sem Vínculo; Família Acolhedora;17.02.2019;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;3;2; ; ; ; ; ; ; ;6;6
1721003308700;17; Feminino; Médio Completo; Profissional de nível médio; Sem Vínculo; Família Acolhedora;27.11.2023;17;Tocantins;Região Norte;Palmas;-;TO;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;2;3;2; ; ; ; ; ; ; ;6;6
2507503313587;25; Feminino; Fundamental Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;19.07.2022;25;Paraíba;Região Nordeste;Guarabira;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;3;11;4;1; ; ; ;1;1; ; ;17;18
2506003313041;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;10.06.2024;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Fundamental Incompleto; Sem formação profissional; Sem Vínculo; Família Acolhedora;16.06.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Médio Completo; Sem formação profissional; Sem Vínculo; Família Acolhedora;15.08.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Superior Completo; Advogada(o); Sem Vínculo; Família Acolhedora;30.10.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Superior Incompleto; Profissional de nível médio; Voluntária(o); Família Acolhedora;21.03.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Sem Escolaridade; Sem formação profissional; Sem Vínculo; Família Acolhedora;09.11.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
2506003313041;25; Feminino; Médio Completo; Sem formação profissional; Voluntária(o); Família Acolhedora;26.04.2023;25;Paraíba;Região Nordeste;Esperança;-;PB;-;-;completo;Estadual;31.08.2024;8/31/2024;61 a 80 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;10;8;2;1; ; ;1; ; ; ; ;20;20
